trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,pareto_peak_states
0,1.07,random,1.0700000000000003,-0.01449680525248773,0.49623338985060395,316
0,1.07,local,1.07,0.7011493323668585,0.48210144660590637,291
0,1.07,hot-cold,1.07,0.35908390487157055,0.7477320663415288,328
0,1.25,random,1.25,-0.0010211622581817244,0.5019845601471287,280
0,1.25,local,1.25,0.7845830789374144,0.7892108941663225,312
0,1.25,hot-cold,1.2499999999999998,0.4537843841244668,0.784416930277837,299
0,1.44,random,1.4400000000000004,0.09003385883559874,0.5312240382759497,274
0,1.44,local,1.4400000000000004,0.8190347063704749,0.7753039153588288,297
0,1.44,hot-cold,1.4400000000000004,0.3615469277178145,0.7877658790033863,295
0,2.48,random,2.48,-0.01475328061974189,0.46014468984478524,189
0,2.48,local,2.4800000000000004,0.5446005818772928,0.7278954656940392,230
0,2.48,hot-cold,2.4800000000000004,0.1172353240628342,0.9180237846432484,223
0,3.3,random,3.2999999999999994,0.09522291964893588,0.5254812042887704,145
0,3.3,local,3.2999999999999994,0.8687353222940635,0.7255209057670492,194
0,3.3,hot-cold,3.3,0.09828779096086984,0.9454258027598068,172
0,4.55,random,4.55,0.005385610891838472,0.2877212781819022,89
0,4.55,local,4.550000000000001,0.6146933441096927,0.16357064804232768,138
0,4.55,hot-cold,4.55,0.06411975148918247,0.9687340124572865,133
0,9.19,random,9.19,-0.01102011503332528,0.7488621955808009,75
0,9.19,local,9.19,0.05898621089759148,0.15095948665977554,59
0,9.19,hot-cold,9.189999999999998,0.023154903733336184,0.9755068338015509,65
1,1.07,random,1.0699999999999998,-0.05388419370290334,0.45766470305022167,301
1,1.07,local,1.0699999999999998,0.9063894366929243,0.5940013216644291,326
1,1.07,hot-cold,1.0699999999999998,0.4488964245497735,0.7876711088276286,304
1,1.25,random,1.2500000000000002,-0.06278570998160808,0.4884634158198798,256
1,1.25,local,1.2500000000000002,0.8237748519420777,0.5184620292979228,255
1,1.25,hot-cold,1.2500000000000002,0.4169610623385083,0.8009102045326372,286
1,1.44,random,1.4400000000000002,-0.03343687333273397,0.4636982273118567,261
1,1.44,local,1.4400000000000002,0.6227179450081515,0.4572158921517447,241
