trial,target_cv,spatial_mode,coverage_target,exact_achieved,exact_rows,exact_chunks,exact_aff_ms
0,1.07,random,0.1,0.10024798319186182,16,1,0.013237889458506534
0,1.07,random,0.3,0.30214060962303296,62,1,0.019669274935972994
0,1.07,random,0.5,0.5027267184118395,107,1,0.02596084768566844
0,1.07,random,0.7,0.7016284290207224,176,1,0.03560792590186813
0,1.07,random,0.9,0.9010537380340652,226,1,0.042598562290418626
0,1.07,random,0.95,0.9505089469471824,241,1,0.044695753206983775
0,1.07,random,0.99,0.9905576257323252,252,1,0.046233693212464885
0,1.07,local,0.1,0.10826349299621597,6,1,0.011839762180796434
0,1.07,local,0.3,0.30269111964801626,30,1,0.015195267647300673
0,1.07,local,0.5,0.5015212520583353,83,1,0.0226053422191642
0,1.07,local,0.7,0.7041087926831872,128,1,0.028896914968859648
0,1.07,local,0.9,0.9000871335506662,190,1,0.03756530409066227
0,1.07,local,0.95,0.9549172298266297,222,1,0.04203931137933459
0,1.07,local,0.99,0.9910615127230586,244,1,0.04511519139029681
0,1.07,hot-cold,0.1,0.10552753906088932,10,1,0.012399013091880472
0,1.07,hot-cold,0.3,0.30340002928504683,39,1,0.01645358219723976
0,1.07,hot-cold,0.5,0.5054544596160647,71,1,0.02092758948591208
0,1.07,hot-cold,0.7,0.7002249819052387,108,1,0.02610066041343945
0,1.07,hot-cold,0.9,0.9039517190090506,183,1,0.0365866149962652
0,1.07,hot-cold,0.95,0.9513044625390746,214,1,0.04092080955716651
0,1.07,hot-cold,0.99,0.9901348354499059,249,1,0.04581425502915185
0,1.25,random,0.1,0.11001306697838228,10,1,0.012399013091880472
0,1.25,random,0.3,0.3001843017324954,62,1,0.019669274935972994
0,1.25,random,0.5,0.5000493714614377,119,1,0.027638600418920557
0,1.25,random,0.7,0.7007487449545111,169,1,0.034629236807471056
0,1.25,random,0.9,0.901462708798503,221,1,0.041899498651563574
0,1.25,random,0.95,0.9505305815307217,236,1,0.04399668956812872
0,1.25,random,0.99,0.9919296338010009,249,1,0.04581425502915185
0,1.25,local,0.1,0.10732516076083093,4,1,0.011560136725254414
0,1.25,local,0.3,0.30333477823936517,24,1,0.014356391280674613
0,1.25,local,0.5,0.5074335442781229,56,1,0.018830398569346932
0,1.25,local,0.7,0.7002959885837696,107,1,0.02596084768566844
0,1.25,local,0.9,0.9009221672222976,208,1,0.040081933190540445
0,1.25,local,0.95,0.9518774953399076,237,1,0.044136502295899736
0,1.25,local,0.99,0.9926537333684514,253,1,0.04637350594023589
0,1.25,hot-cold,0.1,0.11160302701830395,8,1,0.012119387636338453
0,1.25,hot-cold,0.3,0.30301563336700077,31,1,0.015335080375071683
0,1.25,hot-cold,0.5,0.5012698130672867,62,1,0.019669274935972994
0,1.25,hot-cold,0.7,0.7037467689755175,113,1,0.0267997240522945
0,1.25,hot-cold,0.9,0.9028201785369472,183,1,0.0365866149962652
0,1.25,hot-cold,0.95,0.9511714491665559,214,1,0.04092080955716651
0,1.25,hot-cold,0.99,0.9902237028742633,245,1,0.045255004118067814
0,1.44,random,0.1,0.10264972623812581,14,1,0.012958264002964513
0,1.44,random,0.3,0.3044913069221365,67,1,0.02036833857482804
0,1.44,random,0.5,0.5001617805715141,117,1,0.027358974963378538
0,1.44,random,0.7,0.7054446355716073,173,1,0.0351884877185551
0,1.44,random,0.9,0.9016397025053541,228,1,0.042878187745960646
0,1.44,random,0.95,0.9506581121131934,239,1,0.044416127751441756
0,1.44,random,0.99,0.9921994807789272,250,1,0.045954067756922866
0,1.44,local,0.1,0.10345530122143545,3,1,0.011420323997483403
0,1.44,local,0.3,0.30143574733956896,20,1,0.013797140369590573
0,1.44,local,0.5,0.505406484235491,61,1,0.01952946220820198
0,1.44,local,0.7,0.7072147101892492,106,1,0.02582103495789743
0,1.44,local,0.9,0.9032948433248251,188,1,0.03728567863512025
0,1.44,local,0.95,0.9512778746890853,208,1,0.040081933190540445
0,1.44,local,0.99,0.9905019593514122,241,1,0.044695753206983775
0,1.44,hot-cold,0.1,0.10203959001577144,5,1,0.011699949453025424
0,1.44,hot-cold,0.3,0.30586205251507664,30,1,0.015195267647300673
0,1.44,hot-cold,0.5,0.5044703417166175,55,1,0.018690585841575923
0,1.44,hot-cold,0.7,0.7007726048771973,97,1,0.02456272040795834
0,1.44,hot-cold,0.9,0.9018075376464675,171,1,0.034908862263013075
0,1.44,hot-cold,0.95,0.9501564288251335,202,1,0.039243056823914386
0,1.44,hot-cold,0.99,0.9906941118098901,244,1,0.04511519139029681
0,2.48,random,0.1,0.10167704128135638,1,1,0.011140698541941383
0,2.48,random,0.3,0.30009815263838896,54,1,0.018550773113804913
0,2.48,random,0.5,0.502717283734052,103,1,0.025401596774584402
0,2.48,random,0.7,0.7028457968468883,154,1,0.03253204589090591
0,2.48,random,0.9,0.9159348848308982,215,1,0.041060622284937516
0,2.48,random,0.95,0.950259883625555,230,1,0.043157813201502665
0,2.48,random,0.99,0.9921407092300526,248,1,0.045674442301380846
0,2.48,local,0.1,0.10167704128135638,1,1,0.011140698541941383
0,2.48,local,0.3,0.30912453280296387,9,1,0.012259200364109463
0,2.48,local,0.5,0.5042275346703978,37,1,0.01617395674169774
0,2.48,local,0.7,0.7071019772614803,117,1,0.027358974963378538
0,2.48,local,0.9,0.9004713021004978,192,1,0.03784492954620429
0,2.48,local,0.95,0.9535445847561599,229,1,0.04301800047373165
0,2.48,local,0.99,0.990010971056782,241,1,0.044695753206983775
0,2.48,hot-cold,0.1,0.10167704128135638,1,1,0.011140698541941383
0,2.48,hot-cold,0.3,0.300373768970346,12,1,0.012678638547422494
0,2.48,hot-cold,0.5,0.5033845322979134,36,1,0.01603414401392673
0,2.48,hot-cold,0.7,0.7081754840797857,62,1,0.019669274935972994
0,2.48,hot-cold,0.9,0.9008828021637418,132,1,0.029456165879943687
0,2.48,hot-cold,0.95,0.9543692000080526,170,1,0.03476904953524207
0,2.48,hot-cold,0.99,0.9908098557239768,227,1,0.04273837501818963
0,3.3,random,0.1,0.17513120657040018,1,1,0.011140698541941383
0,3.3,random,0.3,0.3052688259393295,29,1,0.015055454919529664
0,3.3,random,0.5,0.5005792219903414,76,1,0.02162665312476713
0,3.3,random,0.7,0.7009908176000856,122,1,0.02805803860223359
0,3.3,random,0.9,0.9004978624365303,196,1,0.03840418045728833
0,3.3,random,0.95,0.9506498005158421,224,1,0.04231893683487661
0,3.3,random,0.99,0.9900764195517758,252,1,0.046233693212464885
0,3.3,local,0.1,0.17513120657040018,1,1,0.011140698541941383
0,3.3,local,0.3,0.3008243329516201,8,1,0.012119387636338453
0,3.3,local,0.5,0.5570587256730297,26,1,0.014636016736216633
0,3.3,local,0.7,0.7052452484158913,40,1,0.016593394925010774
0,3.3,local,0.9,0.9022990485076207,88,1,0.023304405858019253
0,3.3,local,0.95,0.9511897192639606,146,1,0.03141354406873783
0,3.3,local,0.99,0.9912888159757569,244,1,0.04511519139029681
0,3.3,hot-cold,0.1,0.17513120657040018,1,1,0.011140698541941383
0,3.3,hot-cold,0.3,0.31155461159208303,12,1,0.012678638547422494
0,3.3,hot-cold,0.5,0.5033995880706811,37,1,0.01617395674169774
0,3.3,hot-cold,0.7,0.7003506018316432,72,1,0.02106740221368309
0,3.3,hot-cold,0.9,0.9011224991774658,155,1,0.03267185861867692
0,3.3,hot-cold,0.95,0.9500571284614014,167,1,0.03434961135192904
0,3.3,hot-cold,0.99,0.9912027848985852,218,1,0.04148006046825055
0,4.55,random,0.1,0.19680049585926257,1,1,0.011140698541941383
0,4.55,random,0.3,0.31046913565025824,34,1,0.015754518558384712
0,4.55,random,0.5,0.5034583218003086,78,1,0.02190627858030915
0,4.55,random,0.7,0.700072818175176,152,1,0.03225242043536389
0,4.55,random,0.9,0.9042088447933334,211,1,0.04050137137385348
0,4.55,random,0.95,0.950700807737758,224,1,0.04231893683487661
0,4.55,random,0.99,0.991193995150498,239,1,0.044416127751441756
0,4.55,local,0.1,0.19680049585926257,1,1,0.011140698541941383
0,4.55,local,0.3,0.305156805412444,3,1,0.011420323997483403
0,4.55,local,0.5,0.5069856739507566,7,1,0.011979574908567443
0,4.55,local,0.7,0.7075426926796836,14,1,0.012958264002964513
0,4.55,local,0.9,0.9007639282104641,75,2,0.032487726211166496
0,4.55,local,0.95,0.950618484254499,125,2,0.039478362599716994
0,4.55,local,0.99,0.9907247006240864,243,1,0.044975378662525795
0,4.55,hot-cold,0.1,0.19680049585926257,1,1,0.011140698541941383
0,4.55,hot-cold,0.3,0.3081498723356812,9,1,0.012259200364109463
0,4.55,hot-cold,0.5,0.5003316502351643,28,1,0.014915642191758654
0,4.55,hot-cold,0.7,0.7309264436482302,38,1,0.016313769469468754
0,4.55,hot-cold,0.9,0.9019421036379551,74,1,0.02134702766922511
0,4.55,hot-cold,0.95,0.9566360031906874,123,1,0.028197851330004603
0,4.55,hot-cold,0.99,0.9901727455848826,187,1,0.03714586590734924
0,9.19,random,0.1,0.4680890463633398,1,1,0.011140698541941383
0,9.19,random,0.3,0.4680890463633398,1,1,0.011140698541941383
0,9.19,random,0.5,0.7596776896435024,5,1,0.011699949453025424
0,9.19,random,0.7,0.7596776896435024,5,1,0.011699949453025424
0,9.19,random,0.9,0.9342180710738999,47,1,0.01757208401940784
0,9.19,random,0.95,0.95100229754828,65,1,0.02008871311928602
0,9.19,random,0.99,0.9909614883697366,169,1,0.034629236807471056
0,9.19,local,0.1,0.4680890463633398,1,1,0.011140698541941383
0,9.19,local,0.3,0.4680890463633398,1,1,0.011140698541941383
0,9.19,local,0.5,0.7596738177648216,2,1,0.011280511269712393
0,9.19,local,0.7,0.7596738177648216,2,1,0.011280511269712393
0,9.19,local,0.9,0.9294573753962148,3,1,0.011420323997483403
0,9.19,local,0.95,0.9530812130274877,15,1,0.013098076730735523
0,9.19,local,0.99,0.9926359736898329,85,1,0.02288496767470622
0,9.19,hot-cold,0.1,0.4680890463633398,1,1,0.011140698541941383
0,9.19,hot-cold,0.3,0.4680890463633398,1,1,0.011140698541941383
0,9.19,hot-cold,0.5,0.7596745147317083,3,1,0.011420323997483403
0,9.19,hot-cold,0.7,0.7596745147317083,3,1,0.011420323997483403
0,9.19,hot-cold,0.9,0.9316529237806161,22,1,0.014076765825132592
0,9.19,hot-cold,0.95,0.956584879981323,28,1,0.014915642191758654
0,9.19,hot-cold,0.99,0.9905023861141012,64,1,0.019948900391515013
1,1.07,random,0.1,0.10152478522081472,14,1,0.012958264002964513
1,1.07,random,0.3,0.30057812740574025,64,1,0.019948900391515013
1,1.07,random,0.5,0.5000858952404087,120,1,0.02777841314669157
1,1.07,random,0.7,0.7013314817663064,176,1,0.03560792590186813
1,1.07,random,0.9,0.9082605157943927,228,1,0.042878187745960646
1,1.07,random,0.95,0.9583629213795011,240,1,0.04455594047921276
1,1.07,random,0.99,0.9904606082960831,251,1,0.04609388048469387
1,1.07,local,0.1,0.11075794126815029,4,1,0.011560136725254414
1,1.07,local,0.3,0.30187673035257423,22,1,0.014076765825132592
1,1.07,local,0.5,0.5013246294899042,54,1,0.018550773113804913
1,1.07,local,0.7,0.7015757884711012,127,1,0.028757102241088642
1,1.07,local,0.9,0.9009019282324053,223,1,0.042179124107105594
1,1.07,local,0.95,0.9523298131612242,236,1,0.04399668956812872
1,1.07,local,0.99,0.9912468332412644,250,1,0.045954067756922866
1,1.07,hot-cold,0.1,0.1008643868160329,9,1,0.012259200364109463
1,1.07,hot-cold,0.3,0.3019962487728818,35,1,0.015894331286155722
1,1.07,hot-cold,0.5,0.5005521543398729,69,1,0.020647964030370062
1,1.07,hot-cold,0.7,0.7035933097820081,115,1,0.02707934950783652
1,1.07,hot-cold,0.9,0.9008197377475337,186,1,0.03700605317957823
1,1.07,hot-cold,0.95,0.9512406699118632,214,1,0.04092080955716651
1,1.07,hot-cold,0.99,0.9906180825812431,246,1,0.04539481684583883
1,1.25,random,0.1,0.10109774618992577,11,1,0.012538825819651484
1,1.25,random,0.3,0.30051882984414746,64,1,0.019948900391515013
1,1.25,random,0.5,0.5020446805923889,125,1,0.028477476785546622
1,1.25,random,0.7,0.70366816141798,180,1,0.036167176812952166
1,1.25,random,0.9,0.900262057771844,229,1,0.04301800047373165
1,1.25,random,0.95,0.9533059047675838,242,1,0.04483556593475478
1,1.25,random,0.99,0.9922616364461894,251,1,0.04609388048469387
1,1.25,local,0.1,0.10059845800901875,4,1,0.011560136725254414
1,1.25,local,0.3,0.30978686478808337,21,1,0.013936953097361583
1,1.25,local,0.5,0.5113315096591398,67,1,0.02036833857482804
1,1.25,local,0.7,0.7014819240905107,106,1,0.02582103495789743
1,1.25,local,0.9,0.9000576095913173,174,1,0.03532830044632611
1,1.25,local,0.95,0.9513572114025409,237,1,0.044136502295899736
1,1.25,local,0.99,0.9948172316558819,255,1,0.04665313139577791
1,1.25,hot-cold,0.1,0.10399886408747908,8,1,0.012119387636338453
1,1.25,hot-cold,0.3,0.3027522070634342,29,1,0.015055454919529664
1,1.25,hot-cold,0.5,0.5088672724806245,56,1,0.018830398569346932
1,1.25,hot-cold,0.7,0.7067887789422288,99,1,0.02484234586350036
1,1.25,hot-cold,0.9,0.9021263456454015,175,1,0.03546811317409712
1,1.25,hot-cold,0.95,0.9516600762510627,210,1,0.040361558646082464
1,1.25,hot-cold,0.99,0.990519753704969,241,1,0.044695753206983775
1,1.44,random,0.1,0.10502000946068417,12,1,0.012678638547422494
1,1.44,random,0.3,0.3024541707275945,58,1,0.019110024024888952
1,1.44,random,0.5,0.5016675192382508,108,1,0.02610066041343945
1,1.44,random,0.7,0.7132924583876505,159,1,0.03323110952976096
1,1.44,random,0.9,0.9051170268618409,223,1,0.042179124107105594
1,1.44,random,0.95,0.9575822457623209,237,1,0.044136502295899736
1,1.44,random,0.99,0.9902451035674793,252,1,0.046233693212464885
1,1.44,local,0.1,0.10266986980057,3,1,0.011420323997483403
1,1.44,local,0.3,0.30299353494679204,22,1,0.014076765825132592
1,1.44,local,0.5,0.5171162455312532,94,1,0.02414328222464531
1,1.44,local,0.7,0.7033217651318768,111,1,0.02652009859675248
1,1.44,local,0.9,0.9039169195880139,229,1,0.04301800047373165
1,1.44,local,0.95,0.9535383817540369,245,1,0.045255004118067814
1,1.44,local,0.99,0.9921094491983955,252,1,0.046233693212464885
1,1.44,hot-cold,0.1,0.12226881180720062,5,1,0.011699949453025424
1,1.44,hot-cold,0.3,0.33185765736834083,28,1,0.014915642191758654
1,1.44,hot-cold,0.5,0.5000809098945883,62,1,0.019669274935972994
1,1.44,hot-cold,0.7,0.7008081390271419,102,1,0.02526178404681339
1,1.44,hot-cold,0.9,0.9020322982828938,168,1,0.03448942407970005
1,1.44,hot-cold,0.95,0.9527545875092823,200,1,0.03896343136837237
1,1.44,hot-cold,0.99,0.9901352513060568,243,1,0.044975378662525795
1,2.48,random,0.1,0.10627972980147352,4,1,0.011560136725254414
1,2.48,random,0.3,0.30078905226061836,29,1,0.015055454919529664
1,2.48,random,0.5,0.5045682748847448,81,1,0.022325716763622182
1,2.48,random,0.7,0.7152507657940665,165,1,0.03406998589638702
1,2.48,random,0.9,0.9000663718050145,201,1,0.03910324409614338
1,2.48,random,0.95,0.9518126431669391,228,1,0.042878187745960646
1,2.48,random,0.99,0.9940810291965028,254,1,0.046513318668006905
