trial,target_cv,spatial_mode,coverage_target,target_importance,single_importance,single_overshoot,single_rows,single_chunks,single_aff_ms,single_runtime_ms,quant_importance,quant_overshoot,quant_rows,quant_chunks,quant_aff_ms,quant_solve_ms,single_extra_vs_quant_pct,quant_beats_single,quant_build_ms,quant_single_query_ms,quant_amortized_ms,quant_full_mask
0,1.07,random,0.1,0.1,0.10007822830212545,7.822830212544929e-05,442,1,0.1191460307450466,1.400457,0.10064862286506818,0.0006486228650681714,395,2,0.11864731970005139,1.708312,0.4203306456951328,True,45.227753,46.936065,4.9388657857142855,False
0,1.07,random,0.3,0.3,0.30016010664282317,0.00016010664282317677,1398,1,0.35305272430594625,1.237702,0.3008099856508715,0.0008099856508715364,1345,2,0.3510859796193555,1.735713,0.5601888998025828,True,45.227753,46.963466,4.966266785714286,False
0,1.07,random,0.5,0.5,0.5000378999295596,3.789992955960386e-05,2352,1,0.5864700733196474,1.058137,0.5001974273459774,0.00019742734597738565,2354,1,0.5869594178668459,1.502928,-0.0833694003883445,False,45.227753,46.730681,4.733481785714286,False
0,1.07,random,0.7,0.7,0.70011865416719,0.00011865416719003541,3333,1,0.8264935737205288,0.858474,0.7002913263750086,0.0002913263750086159,3336,1,0.8272275905413266,1.697241,-0.08873214931304219,False,45.227753,46.924994,4.927794785714285,False
0,1.07,random,0.9,0.9,0.9001627510570621,0.0001627510570620938,4358,1,1.077282654159778,0.677826,0.9004003254603439,0.0004003254603438533,4360,1,1.0777719987069765,1.445019,-0.04540334577123328,False,45.227753,46.672772,4.6755727857142855,False
0,1.07,random,0.95,0.95,0.9511284394667403,0.0011284394667403497,4619,1,1.1411421175691867,0.639064,0.9511284394667403,0.0011284394667403497,4619,1,1.1411421175691867,1.306481,0.0,False,45.227753,46.534234,4.537034785714286,False
0,1.07,random,0.99,0.99,0.9900943676785422,9.436767854220651e-05,4814,1,1.188853210921044,0.622263,0.9903641604622084,0.00036416046220844045,4817,1,1.1895872277418418,1.263821,-0.061703488712738785,False,45.227753,46.491574,4.494374785714285,False
0,1.07,local,0.1,0.1,0.10042867931086026,0.00042867931086025546,266,1,0.07608371059157551,1.435482,0.10054757949566434,0.0005475794956643354,94,3,0.05600185116084226,1.770007,35.85927788896901,True,42.887471,44.657478,4.833397785714286,False
0,1.07,local,0.3,0.3,0.30003471281153465,3.47128115346651e-05,1198,1,0.3041182695860928,1.241239,0.300838857183017,0.0008388571830170166,569,8,0.22722561019134618,1.742366,33.83978563419654,True,42.887471,44.629836999999995,4.805756785714285,False
0,1.07,local,0.5,0.5,0.5002339885026875,0.00023398850268752103,2138,1,0.5341102067694042,1.062165,0.5001294264831645,0.00012942648316449645,1392,9,0.4395917771777137,1.486737,21.501409830393527,True,42.887471,44.374207999999996,4.5501277857142854,False
0,1.07,local,0.7,0.7,0.7000576244626433,5.762446264334642e-05,3233,1,0.8020263463606021,0.976685,0.7003756893836313,0.0003756893836313058,2486,7,0.6852614728669715,1.441654,17.039462762310876,True,42.887471,44.329125,4.5050447857142855,False
0,1.07,local,0.9,0.9,0.900079643924626,7.9643924626005e-05,4250,1,1.050858048611057,0.686993,0.900516385210476,0.0005163852104759226,3838,5,0.9940566151448404,1.533355,5.714104468581027,True,42.887471,44.420826,4.596745785714286,False
0,1.07,local,0.95,0.95,0.9501217953081229,0.0001217953081229517,4496,1,1.1110474279164768,0.64762,0.9501968971471031,0.00019689714710313666,4336,3,1.0939016357689348,1.279451,1.567397980485663,True,42.887471,44.166922,4.342841785714286,False
0,1.07,local,0.99,0.99,0.9901559164191022,0.00015591641910217557,4787,1,1.1822470595338637,0.592397,0.9903946104570172,0.0003946104570171638,4801,1,1.1856724713642535,1.275153,-0.2889003424738745,False,42.887471,44.162624,4.338543785714286,False
0,1.07,hot-cold,0.1,0.1,0.10011004737862683,0.00011004737862682634,194,1,0.05846730689242826,1.301741,0.10094528382491313,0.000945283824913129,196,1,0.05895665143962679,1.808419,-0.8300073617641512,False,47.780002,49.588421000000004,5.221276285714286,False
0,1.07,hot-cold,0.3,0.3,0.30037235675643503,0.00037235675643504385,683,1,0.17811204868247005,1.062485,0.30037235675643503,0.00037235675643504385,683,1,0.17811204868247005,1.669119,0.0,False,47.780002,49.449121000000005,5.081976285714286,False
0,1.07,hot-cold,0.5,0.5,0.5001291741692678,0.00012917416926783165,1271,1,0.3219793455588393,0.93132,0.5000414763093335,4.1476309333488004e-05,1271,1,0.3219793455588393,1.635085,0.0,False,47.780002,49.415087,5.047942285714286,False
0,1.07,hot-cold,0.7,0.7,0.7001104299325731,0.00011042993257315281,2125,1,0.5309294672126137,0.801727,0.7003854622785052,0.00038546227850522197,2128,1,0.5316634840334115,1.549556,-0.13806041656824197,False,47.780002,49.329558000000006,4.962413285714286,False
0,1.07,hot-cold,0.9,0.9,0.9000243856093504,2.4385609350363602e-05,3550,1,0.8795874570915698,0.662327,0.9003986077173494,0.00039860771734934186,3554,1,0.880566146185967,1.431635,-0.11114316609106556,False,47.780002,49.211637,4.844492285714286,False
0,1.07,hot-cold,0.95,0.95,0.950010120832913,1.0120832913074196e-05,4113,1,1.0173379471279573,0.620359,0.9502503090454575,0.00025030904545753074,4119,1,1.018805980769553,1.374117,-0.14409354374685934,False,47.780002,49.154119,4.786974285714286,False
0,1.07,hot-cold,0.99,0.99,0.9901001730511427,0.00010017305114273789,4693,1,1.1592478658155325,0.598007,0.9902579628460394,0.00025796284603940567,4701,1,1.1612052440043268,1.364008,-0.16856436008197972,False,47.780002,49.14401,4.776865285714286,False
0,1.25,random,0.1,0.1,0.10120809012455001,0.0012080901245500042,416,1,0.11278455163146564,1.410256,0.10120809012455001,0.0012080901245500042,416,1,0.11278455163146564,1.625737,0.0,False,50.303486,51.929223,5.218843142857143,False
0,1.25,random,0.3,0.3,0.3002551640756952,0.0002551640756952023,1388,1,0.3506060015699536,1.200674,0.30108370831963344,0.0010837083196334474,1318,2,0.34447982823217527,1.498579,1.7783837646508927,True,50.303486,51.802065,5.091685142857143,False
0,1.25,random,0.5,0.5,0.5002766950067553,0.000276695006755312,2355,1,0.5872040901404453,1.028592,0.5000283335288379,2.8333528837909405e-05,2280,2,0.5798545554346706,1.545156,1.2674789974298495,True,50.303486,51.848642,5.138262142857142,False
0,1.25,random,0.7,0.7,0.7000776330044686,7.763300446861354e-05,3300,1,0.818419388691753,0.853455,0.7002241727553767,0.0002241727553767836,3302,1,0.8189087332389515,1.482951,-0.05975568794620578,False,50.303486,51.786437,5.076057142857143,False
0,1.25,random,0.9,0.9,0.9001726204097928,0.000172620409792823,4353,1,1.0760592927917816,0.676403,0.9007482745771367,0.000748274577136665,4308,2,1.0760499262939849,1.274191,0.0008704519714131109,True,50.303486,51.577677,4.867297142857143,False
0,1.25,random,0.95,0.95,0.9500163776876265,1.637768762652314e-05,4600,1,1.1364933443708007,0.641138,0.9503017705874767,0.0003017705874767129,4606,1,1.1379613780123963,1.250627,-0.129005576987129,False,50.303486,51.554113,4.843733142857142,False
0,1.25,random,0.99,0.99,0.9900648565583922,6.485655839216786e-05,4815,1,1.1890978831946433,0.591946,0.9905546443959921,0.0005546443959920655,4821,1,1.1905659168362388,1.492859,-0.12330553233849129,False,50.303486,51.796345,5.085965142857143,False
0,1.25,local,0.1,0.1,0.10006457680123867,6.457680123866938e-05,132,1,0.04329762592927368,1.404906,0.10025684671860413,0.00025684671860412567,70,2,0.03912883078028947,1.748287,10.654024323885935,True,32.656004,34.404291,4.080858714285714,False
0,1.25,local,0.3,0.3,0.30032446734737606,0.0003244673473760673,1167,1,0.29653342910451547,1.199993,0.3008326518437803,0.0008326518437802854,428,6,0.17072504798550872,1.466349,73.69064036208997,True,32.656004,34.122353000000004,3.798920714285714,False
0,1.25,local,0.5,0.5,0.5001744580875768,0.00017445808757676762,2319,1,0.5783958882908716,1.007963,0.5001224441930759,0.00012244419307594345,1112,10,0.3820844263840892,1.488321,51.379079687859594,True,32.656004,34.144325,3.8208927142857143,False
0,1.25,local,0.7,0.7,0.7000500021708216,5.0002170821628056e-05,3315,1,0.822089472795742,0.867511,0.700368018178289,0.00036801817828902017,2311,8,0.6534447108012701,1.497417,25.808574039519815,True,32.656004,34.153421,3.8299887142857143,False
0,1.25,local,0.9,0.9,0.9003188168438906,0.0003188168438905681,4303,1,1.0638256791118181,0.641408,0.9001781181561077,0.00017811815610768722,3864,5,1.0004180942584213,1.533255,6.33810855854211,True,32.656004,34.189259,3.8658267142857143,False
0,1.25,local,0.95,0.95,0.9500228243873073,2.282438730738523e-05,4516,1,1.1159408733884622,0.733891,0.9503176362587676,0.000317636258767684,4365,3,1.1009971317033136,1.395768,1.3572916091098008,True,32.656004,34.051772,3.728339714285714,False
0,1.25,local,0.99,0.99,0.990015756842745,1.5756842745018318e-05,4816,1,1.1893425554682424,0.606333,1.0,0.010000000000000009,4864,1,1.2010868246010074,0.220241,-0.9778035103054528,False,32.656004,32.876245000000004,2.5528127142857144,True
0,1.25,hot-cold,0.1,0.1,0.10012562949904277,0.00012562949904276755,177,1,0.05430787824124071,1.253101,0.10012562949904277,0.00012562949904276755,177,1,0.05430787824124071,1.830149,0.0,False,43.644825,45.474973999999996,4.9476365,False
0,1.25,hot-cold,0.3,0.3,0.30010642224557127,0.00010642224557128044,620,1,0.16269769544571622,1.028983,0.30093156272816,0.0009315627281600292,621,1,0.16294236771931547,1.644392,-0.1501587813064864,False,43.644825,45.289217,4.7618795,False
