trial,target_cv,spatial_mode,actual_cv,lag1_corr,first_half_mass,quant_build_ms,quant_peak_states
0,1.07,random,1.07,0.022341000296395557,0.49783554420497284,73.957801,2005
0,1.07,local,1.07,0.922593859441369,0.5182050830783673,50.041758,1136
0,1.07,hot-cold,1.0699999999999998,0.3785527954638517,0.7575968558261393,83.210319,1948
0,1.25,random,1.25,-0.007987104133475802,0.49763523231693085,74.956768,1984
0,1.25,local,1.2500000000000002,0.9419405482094984,0.47835746462308965,52.43029,1302
0,1.25,hot-cold,1.2500000000000002,0.3024661090642148,0.7867045601457443,79.078459,1860
0,1.44,random,1.44,0.005659492067059664,0.508858755980368,75.581506,1939
0,1.44,local,1.44,0.9170003029681986,0.5227345278000028,57.517825,1276
0,1.44,hot-cold,1.4399999999999997,0.3142631054380898,0.8096538631304735,84.026755,1857
0,2.48,random,2.4800000000000013,0.006547822882908016,0.48190572328313375,77.036023,1951
0,2.48,local,2.480000000000001,0.723816374390457,0.5754862681562785,58.323621,1294
0,2.48,hot-cold,2.4800000000000004,0.17264013818116222,0.8704933100940018,86.831725,1752
0,3.3,random,3.3000000000000007,0.012279615632811706,0.5032823889123512,79.88704,1924
0,3.3,local,3.3000000000000007,0.81421053864852,0.5392275234463613,57.419793,1306
0,3.3,hot-cold,3.3000000000000007,0.11791513113482135,0.9144819325353968,87.921351,1733
0,4.55,random,4.550000000000002,-0.005614930035561241,0.5255091629892171,77.343357,1803
0,4.55,local,4.550000000000002,0.5869703257223942,0.6109579099171041,60.1056,1326
0,4.55,hot-cold,4.550000000000001,0.06640615789929162,0.9211867651424828,85.342953,1633
0,9.19,random,9.190000000000001,-0.000593758831270135,0.5607244924685628,58.965079,1279
0,9.19,local,9.190000000000001,0.5248834779874398,0.7631447290262903,56.8833,1028
0,9.19,hot-cold,9.190000000000001,0.022696475235947196,0.9806752426474812,81.138067,1423
1,1.07,random,1.07,-0.005903398389388109,0.4994323729162739,75.147925,1925
1,1.07,local,1.07,0.9078773274574514,0.4626821548065166,56.767123,1320
1,1.07,hot-cold,1.07,0.3602910308428608,0.7606238280490816,79.296216,1939
1,1.25,random,1.2500000000000002,0.006577684318117705,0.5056534633300164,70.657155,1926
1,1.25,local,1.2500000000000002,0.9222294530355037,0.44530849185470156,52.857849,1328
1,1.25,hot-cold,1.25,0.3191588921406494,0.7751834899382426,80.180408,1938
1,1.44,random,1.4400000000000002,0.010418389809884694,0.48992530261222017,75.061985,1853
1,1.44,local,1.4400000000000002,0.909973257793034,0.4739106802868594,53.381357,1310
1,1.44,hot-cold,1.4400000000000004,0.2857438709523571,0.8044955784123805,80.56156,1842
1,2.48,random,2.4800000000000004,-0.006415510739110137,0.492674491522973,77.809097,1915
1,2.48,local,2.4800000000000004,0.7169952887495765,0.4193917281945589,53.323689,1297
1,2.48,hot-cold,2.4800000000000004,0.14780484362079283,0.8624204005723778,86.301194,1800
1,3.3,random,3.3000000000000003,0.0037922696790178914,0.4824195804513838,74.960345,1894
1,3.3,local,3.3000000000000003,0.7342144241519855,0.3054132995418021,51.066391,1274
1,3.3,hot-cold,3.3000000000000003,0.14502454413022695,0.9038512008429641,89.825599,1775
1,4.55,random,4.550000000000002,-0.003974574466703363,0.5180639655902672,79.20759,1756
1,4.55,local,4.550000000000002,0.7850081738815732,0.6052763923938927,56.760581,1272
1,4.55,hot-cold,4.550000000000002,0.07739118143807827,0.9380597167703422,88.557208,1722
1,9.19,random,9.190000000000003,-0.0026525113221246887,0.4651415807845272,64.419892,1264
1,9.19,local,9.190000000000003,0.683030484089067,0.6568947976054346,52.529155,988
1,9.19,hot-cold,9.19,0.015989839865538508,0.9865085878814259,78.762519,1435
2,1.07,random,1.0700000000000003,0.006173463603066325,0.4959400155864557,74.523869,1968
2,1.07,local,1.07,0.9327632301325115,0.4719131600464512,53.401585,1092
2,1.07,hot-cold,1.0700000000000003,0.37908536916495783,0.7608904953406497,79.10019,1900
2,1.25,random,1.25,-0.006606408575539625,0.49683749221726153,71.673614,1887
2,1.25,local,1.25,0.911346019797261,0.45321022303112407,50.940206,1084
2,1.25,hot-cold,1.25,0.3390857510508098,0.7805100423449831,81.812257,1912
2,1.44,random,1.44,0.014749056440314563,0.5033661751736368,80.526033,1966
2,1.44,local,1.44,0.9144750978212062,0.4655850237695892,54.229692,1264
2,1.44,hot-cold,1.4399999999999997,0.273569343212672,0.800234130582214,84.14753,1884
2,2.48,random,2.48,-0.0019076012700961237,0.48322600075837885,81.930978,1996
2,2.48,local,2.48,0.7353827252963048,0.5355713734563464,55.338423,1282
2,2.48,hot-cold,2.48,0.18182760876532145,0.8547166237726534,84.899284,1773
2,3.3,random,3.3,-0.006718756031554876,0.49477071001456024,78.728115,1882
2,3.3,local,3.3,0.7522762246819128,0.5875267637607207,60.282881,1334
2,3.3,hot-cold,3.3000000000000003,0.10320691414179152,0.906994614659637,92.146735,1721
2,4.55,random,4.550000000000001,-0.00252199671505964,0.48693054618556636,72.537748,1658
2,4.55,local,4.550000000000001,0.8199328203754042,0.4626511434503596,53.493255,1188
2,4.55,hot-cold,4.550000000000001,0.07407435446602939,0.928336704256066,87.901454,1637
2,9.19,random,9.190000000000001,-0.0013170203846152005,0.45927045818854306,69.0276,1445
2,9.19,local,9.19,0.574483205865073,0.7031813273407677,52.514607,978
2,9.19,hot-cold,9.190000000000001,0.08639724228785152,0.958022475621732,83.324372,1482
3,1.07,random,1.0700000000000003,-0.008867104355306174,0.5090049569113149,68.740444,1853
3,1.07,local,1.0700000000000003,0.8949117183859334,0.5375958431222445,58.337046,1322
3,1.07,hot-cold,1.0700000000000003,0.33538997798725556,0.7510457065150745,80.189735,1934
3,1.25,random,1.2500000000000002,0.005074092097163882,0.49924376667778125,75.709474,1961
3,1.25,local,1.2500000000000002,0.917939294613887,0.5213435631391236,57.320377,1207
3,1.25,hot-cold,1.25,0.3195380675870016,0.7814776900039389,85.334678,1898
3,1.44,random,1.4399999999999997,-0.00504563806594374,0.5071395342189239,81.319576,1982
3,1.44,local,1.44,0.8870780719946542,0.46910590535674335,55.715368,1340
3,1.44,hot-cold,1.4399999999999997,0.2730446233438531,0.8067094406556012,83.581552,1900
3,2.48,random,2.48,0.005854696234056294,0.4929903617654083,76.214959,1902
3,2.48,local,2.48,0.8569315542663793,0.4719816765239602,50.377455,1230
3,2.48,hot-cold,2.4800000000000004,0.15397933080001536,0.855188057793634,86.146354,1804
3,3.3,random,3.3,0.019167732253026867,0.48041061268481977,75.602535,1793
3,3.3,local,3.3,0.7723304133844405,0.5205836041804355,59.825527,1394
3,3.3,hot-cold,3.3,0.1296348013903392,0.9076549378529442,89.896801,1763
3,4.55,random,4.550000000000002,-0.0005486583197633015,0.5061740197358497,77.096476,1870
3,4.55,local,4.550000000000002,0.8205763941962015,0.48837725710816365,54.665246,1156
3,4.55,hot-cold,4.550000000000002,0.061639065825532795,0.9199143103818632,89.645783,1676
3,9.19,random,9.190000000000001,-0.0005956703979989724,0.4800928311398365,60.846785,1270
3,9.19,local,9.190000000000001,0.7638915284408474,0.3753144457943048,43.809132,904
3,9.19,hot-cold,9.190000000000001,0.020391710340472234,0.9802358419018631,80.129884,1446
4,1.07,random,1.07,-0.004385621036661658,0.4879676828252504,72.262946,1951
4,1.07,local,1.0699999999999998,0.9114490691740661,0.4845332262631948,50.784756,1152
4,1.07,hot-cold,1.0700000000000003,0.36857963913393704,0.7641274130574909,78.826869,1942
4,1.25,random,1.2500000000000002,-0.0006908049768342565,0.49398383936289236,74.100037,1908
4,1.25,local,1.2500000000000002,0.8522049417639128,0.4484177349263343,49.506377,1092
4,1.25,hot-cold,1.2500000000000002,0.3039519139829393,0.775693412662589,82.679256,1902
4,1.44,random,1.44,-0.004755554019667465,0.5080237464429481,77.456649,2002
4,1.44,local,1.44,0.9341043344672705,0.4283281357992658,48.491972,1080
4,1.44,hot-cold,1.44,0.3032888952547777,0.8071044944155421,83.600608,1886
4,2.48,random,2.48,0.02482590280882235,0.4959722948206067,80.777563,1918
4,2.48,local,2.48,0.8532286007542774,0.4221670228758829,52.467309,1252
4,2.48,hot-cold,2.48,0.17900611035200836,0.8817734589801103,90.785232,1787
4,3.3,random,3.3000000000000007,-0.01662055386903968,0.4772754074869778,81.325838,1806
4,3.3,local,3.3000000000000003,0.8468639636551206,0.49703933892160357,62.917413,1348
4,3.3,hot-cold,3.3,0.12868433749816494,0.9105597904531024,88.359981,1679
4,4.55,random,4.550000000000002,0.0020935530367919464,0.5196317083016068,77.123316,1881
4,4.55,local,4.550000000000002,0.6763036297611781,0.4832532847533447,53.895247,1254
4,4.55,hot-cold,4.550000000000002,0.05937314362218344,0.9055817566804525,86.614839,1579
4,9.19,random,9.190000000000001,-0.0035354149874660423,0.4090767036062784,56.806967,1193
4,9.19,local,9.19,0.6906990773740775,0.515211857813577,50.260055,1026
4,9.19,hot-cold,9.190000000000001,0.009318331353744306,0.9711754470352233,85.61409,1418
5,1.07,random,1.07,-0.013767009999904446,0.4938792913111558,75.816855,1957
5,1.07,local,1.0700000000000003,0.8938970241795832,0.4517010377794885,59.165724,1526
5,1.07,hot-cold,1.07,0.3522388000133082,0.7606778058824685,80.016171,1978
5,1.25,random,1.2500000000000002,-0.0004921024867298862,0.5048591599645197,75.784585,1984
5,1.25,local,1.2500000000000002,0.9107422452434205,0.5164994769671859,51.447905,1068
5,1.25,hot-cold,1.2500000000000002,0.323818791243234,0.7776001615722925,81.178994,1904
5,1.44,random,1.4400000000000006,0.008390499825260182,0.507590370061474,78.160463,2013
5,1.44,local,1.4400000000000006,0.9284997102210122,0.5426787936628708,58.20038,1225
5,1.44,hot-cold,1.4400000000000004,0.2623836526696432,0.7958480058715467,84.418215,1898
5,2.48,random,2.4800000000000004,-0.007688844116373915,0.5043104537752978,81.892316,1991
5,2.48,local,2.48,0.8589217040673951,0.4726720581748287,54.428193,1329
5,2.48,hot-cold,2.4800000000000004,0.18525866729441595,0.8780640387860125,88.364589,1744
5,3.3,random,3.3000000000000007,-0.0012316871679138532,0.5092605031664587,77.685056,1875
5,3.3,local,3.3000000000000003,0.8227025351017327,0.46283030218286253,56.351085,1241
5,3.3,hot-cold,3.3,0.1193045995570499,0.9098266789269812,86.523088,1620
5,4.55,random,4.550000000000002,-0.008854483418500014,0.5005608747651082,74.982486,1792
5,4.55,local,4.550000000000002,0.7111207537886745,0.5979962104860567,57.187368,1228
5,4.55,hot-cold,4.550000000000002,0.08362909559969922,0.9348478990580703,88.647327,1706
5,9.19,random,9.190000000000001,-0.004861074648342777,0.5379984088460416,61.987837,1303
5,9.19,local,9.190000000000001,0.6344418838966902,0.28866913154072976,45.551828,966
5,9.19,hot-cold,9.190000000000003,0.07406766945239367,0.9743381182262941,79.505907,1390
6,1.07,random,1.07,-0.00815735521215423,0.4994538514341769,70.504079,1845
6,1.07,local,1.07,0.9388936168451454,0.47652439055871565,49.239979,1231
6,1.07,hot-cold,1.07,0.3541115081540887,0.762322083416006,83.332608,1930
6,1.25,random,1.2500000000000002,-0.011440843591981237,0.49966217668580115,75.598528,2029
6,1.25,local,1.2500000000000002,0.9161466030086542,0.4422664911867388,55.431347,1282
6,1.25,hot-cold,1.2500000000000002,0.324667638548214,0.7857541968831381,80.666686,1900
6,1.44,random,1.44,0.019395873556518783,0.5024996835939424,76.499811,1982
6,1.44,local,1.4399999999999997,0.8860624220465994,0.42449525206495303,52.882595,1263
6,1.44,hot-cold,1.44,0.27884880624601904,0.798878553947008,82.924866,1844
6,2.48,random,2.4800000000000004,-0.008558718664326498,0.49715058769519466,80.134212,1980
6,2.48,local,2.4800000000000004,0.7533934144209937,0.501274781525625,61.360024,1386
6,2.48,hot-cold,2.4800000000000004,0.19526530109111778,0.8784750656756145,89.286903,1791
6,3.3,random,3.3,-0.0006221186423405598,0.5012766852022424,79.488535,1891
6,3.3,local,3.3000000000000003,0.6345871092764611,0.5212347816946101,55.056767,1296
6,3.3,hot-cold,3.3000000000000003,0.10957253284080143,0.8905133511234522,88.699364,1746
6,4.55,random,4.550000000000002,0.0003923620473604313,0.5052715923556875,76.522234,1783
6,4.55,local,4.550000000000002,0.7996945700716992,0.46658097516921426,55.202009,1228
6,4.55,hot-cold,4.55,0.07047226114342628,0.9221685461825962,90.004984,1734
6,9.19,random,9.190000000000005,-0.0007688705517465031,0.43406688569934676,66.395893,1408
6,9.19,local,9.190000000000005,0.4505892537129139,0.6909435118662284,51.828205,1046
6,9.19,hot-cold,9.190000000000005,0.026060761574091977,0.9495221961705952,88.695787,1534
7,1.07,random,1.0699999999999998,0.00749033220226718,0.4995821841706267,72.936443,1972
7,1.07,local,1.0699999999999998,0.8912558216135226,0.5424863833914564,55.725847,1066
7,1.07,hot-cold,1.0699999999999998,0.37426520263899427,0.7494430173980717,79.633136,1966
7,1.25,random,1.2500000000000002,0.021612863772221172,0.5017615910652125,72.840143,1961
7,1.25,local,1.25,0.8720808557181701,0.4906993100298734,58.6817,1404
7,1.25,hot-cold,1.2500000000000002,0.3243275991567251,0.7726982663923015,81.967106,1914
7,1.44,random,1.4400000000000002,0.0016190122836489322,0.4788219386257579,77.507965,1961
7,1.44,local,1.4400000000000002,0.91263576279451,0.4835436656744951,54.991716,1244
7,1.44,hot-cold,1.44,0.29274282988987205,0.802995781507182,86.55092,1872
7,2.48,random,2.4800000000000004,-0.007270387426804448,0.5171803780811435,83.377431,1931
7,2.48,local,2.4800000000000004,0.7746285571444026,0.5524194342205077,60.947293,1364
7,2.48,hot-cold,2.4800000000000004,0.1664598945037343,0.8737825463731798,89.279578,1761
7,3.3,random,3.3000000000000003,-0.0022668456684495973,0.5100085717168409,79.843278,1890
