trial,target_cv,spatial_mode,q,top_build_ms,quant_build_ms,quant_peak_states,quant_state_slots
0,1.07,random,1024,1.261998,899.84997,2,2050
0,1.07,random,2048,1.261998,132.814644,1632,4098
0,1.07,random,4096,1.261998,673.224858,8115,8194
0,1.07,random,8192,1.261998,1493.940251,15981,16386
0,1.07,random,16384,1.261998,3478.381861,30696,32770
0,1.07,random,32768,1.261998,6781.273881,46452,65538
0,1.07,random,65536,1.261998,14298.570091,81404,131074
0,1.07,random,131072,1.261998,31029.240483,124919,262146
0,1.07,local,1024,1.256317,41.349768,60,2050
0,1.07,local,2048,1.256317,127.5569,1238,4098
0,1.07,local,4096,1.256317,454.071096,5936,8194
0,1.07,local,8192,1.256317,1352.193599,14905,16386
0,1.07,local,16384,1.256317,2902.542534,26362,32770
0,1.07,local,32768,1.256317,5196.840461,40649,65538
0,1.07,local,65536,1.256317,10077.564451,61169,131074
0,1.07,local,131072,1.256317,20059.553069,84654,262146
0,1.07,hot-cold,1024,1.29503,73.081316,536,2050
0,1.07,hot-cold,2048,1.29503,244.721753,2680,4098
0,1.07,hot-cold,4096,1.29503,649.099241,7378,8194
0,1.07,hot-cold,8192,1.29503,1824.359994,15700,16386
0,1.07,hot-cold,16384,1.29503,4741.291644,25855,32770
0,1.07,hot-cold,32768,1.29503,8855.696407,35359,65538
0,1.07,hot-cold,65536,1.29503,13261.577472,41688,131074
0,1.07,hot-cold,131072,1.29503,26128.435068,43863,262146
0,1.25,random,1024,1.288207,38.997423,28,2050
0,1.25,random,2048,1.288207,129.323411,1366,4098
0,1.25,random,4096,1.288207,675.887052,8124,8194
0,1.25,random,8192,1.288207,1526.998507,15979,16386
0,1.25,random,16384,1.288207,3462.261806,29663,32770
0,1.25,random,32768,1.288207,6328.445216,43458,65538
0,1.25,random,65536,1.288207,13074.424071,79617,131074
0,1.25,random,131072,1.288207,27746.018919,120806,262146
0,1.25,local,1024,1.229227,43.504454,180,2050
0,1.25,local,2048,1.229227,137.058864,1520,4098
0,1.25,local,4096,1.229227,434.442963,5904,8194
0,1.25,local,8192,1.229227,1226.621066,14485,16386
0,1.25,local,16384,1.229227,2648.423523,24792,32770
0,1.25,local,32768,1.229227,4870.11493,37217,65538
0,1.25,local,65536,1.229227,9304.436543,55817,131074
0,1.25,local,131072,1.229227,17219.778041,79633,262146
0,1.25,hot-cold,1024,1.258191,69.817648,482,2050
0,1.25,hot-cold,2048,1.258191,258.115869,2790,4098
0,1.25,hot-cold,4096,1.258191,669.284356,7197,8194
0,1.25,hot-cold,8192,1.258191,1837.354163,15377,16386
0,1.25,hot-cold,16384,1.258191,4560.941513,25277,32770
0,1.25,hot-cold,32768,1.258191,8580.123121,34888,65538
0,1.25,hot-cold,65536,1.258191,13031.609886,41914,131074
0,1.25,hot-cold,131072,1.258191,22111.867628,45302,262146
0,1.44,random,1024,1.290692,40.919004,62,2050
0,1.44,random,2048,1.290692,153.091299,1652,4098
0,1.44,random,4096,1.290692,672.376283,8035,8194
0,1.44,random,8192,1.290692,1534.885394,15914,16386
0,1.44,random,16384,1.290692,3554.445383,29831,32770
0,1.44,random,32768,1.290692,6673.82424,46744,65538
0,1.44,random,65536,1.290692,13503.672849,81884,131074
0,1.44,random,131072,1.290692,28280.270245,126368,262146
0,1.44,local,1024,1.198168,48.318509,256,2050
