trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,top_fixed_importance,top_fixed_rows,top_fixed_chunks,top_fixed_aff_ms,top_fixed_runtime_ms,top_fixed_importance_gain_pct
0,1.07,random,0.125,608,0.15995080747460738,606,6,0.21427671268617832,4.197794,0.3964288307804892,608,530,5.979230223858653,0.031609,147.84421975701707
0,1.07,random,0.25,1216,0.3069973146739562,1212,12,0.42855342537235663,4.126169,0.5878201044944129,1216,907,10.275324918149238,0.035817,91.47402156227396
0,1.07,random,0.375,1824,0.4441593789896893,1824,17,0.6332972858859602,9.978233,0.7188304412943075,1824,1145,13.04229648427014,0.044012,61.84065344503158
0,1.07,random,0.5,2432,0.5705283815701494,2430,22,0.8365731127579681,19.195636,0.8165204277776607,2432,1211,13.917115690353741,0.0427,43.11653094812169
0,1.07,random,0.625,3040,0.6900105483407007,3036,26,1.0288480538158058,38.502028,0.8898137454780055,3040,1140,13.284813539896,0.044503,28.95654242066015
0,1.07,random,0.75,3648,0.8053878904199128,3648,30,1.222591028515239,31.024627,0.9437874912825428,3648,901,10.804362572657634,0.041227,17.18421676174835
0,1.07,random,0.875,4256,0.9074707449383999,4254,28,1.3488606546880542,38.587448,0.9810197945224756,4256,529,6.86079379213461,0.037911,8.104839742141579
0,1.07,local,0.125,608,0.33325826904371847,606,9,0.24727937012868945,3.263718,0.3964288307804892,608,108,1.336856410278755,0.031779,18.9554371503033
0,1.07,local,0.25,1216,0.5372470640652373,1212,18,0.4945587402573789,5.933537,0.5878201044944129,1216,183,2.3106835886898875,0.023584,9.41336748245769
0,1.07,local,0.375,1824,0.6653035833818168,1824,23,0.6993026007709824,7.190384,0.7188304412943074,1824,246,3.152500137330976,0.024235,8.04547867312051
0,1.07,local,0.5,2432,0.7643889423377359,2430,29,0.9135793134571607,9.041243,0.8165204277776608,2432,227,3.092244049210093,0.025588,6.82002087582414
0,1.07,local,0.625,3040,0.8471253911633393,3036,31,1.0838524828866576,10.250643,0.8898137454780055,3040,210,3.053989732717551,0.028864,5.039201369710233
0,1.07,local,0.75,3648,0.9103609441937257,3648,34,1.2665945717719205,12.233097,0.9437874912825428,3648,212,3.224752246694247,0.034044,3.6717905465970757
0,1.07,local,0.875,4256,0.9577228979737933,4254,38,1.458869512829758,13.67474,0.9810197945224755,4256,132,2.4934421239089715,0.042069,2.43252997270611
0,1.07,hot-cold,0.125,608,0.28541047959636157,606,4,0.19227494105783757,3.156026,0.3964288307804891,608,397,4.516112410573993,0.028563,38.89778376082545
0,1.07,hot-cold,0.25,1216,0.49196648990888997,1212,7,0.3735489963015048,4.744434,0.5878201044944129,1216,590,6.78804411505723,0.030116,19.483769027291807
