trial,target_cv,spatial_mode,budget_fraction,budget_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_runtime_ms,dpr_importance,dpr_rows,dpr_chunks,dpr_aff_ms,dpr_runtime_ms,top_importance,top_rows,top_chunks,top_aff_ms,top_runtime_ms,paper_cover_importance,paper_cover_rows,paper_cover_chunks,paper_cover_aff_ms,paper_cover_runtime_ms,dpr_cover_importance,dpr_cover_rows,dpr_cover_chunks,dpr_cover_aff_ms,dpr_cover_runtime_ms,top_cover_importance,top_cover_rows,top_cover_chunks,top_cover_aff_ms,top_cover_runtime_ms,paper_cover_ratio,dpr_cover_ratio,top_cover_ratio,paper_ratio,dpr_ratio,top_ratio,dpr_gain_over_paper_pct,top_importance_gain_over_paper_pct,dpr_iterations,dpr_residual
0,1.07,random,0.125,608,0.1554175526105011,606,5,0.20327582687200796,3.393244,0.14821991029264336,608,2,0.17076251397669537,266.692809,0.38148673876922545,608,534,6.023233767115334,0.040746,0.15569968248289007,644,2,0.179570715826269,14.041994,0.14821991029264336,608,2,0.17076251397669537,9.981712,0.3816932188742377,1719,2,0.4425934099454815,8.18819,1.1320098933540654,1.0,13.60895492740679,0.7645648526047286,0.8679885698618347,0.06333586799370204,13.527134670755657,145.45923697903444,5,-1.1102230246251565e-16
0,1.07,random,0.25,1216,0.3035647835948994,1212,12,0.42855342537235663,2.855268,0.2751426111695855,1216,2,0.31952325632505,310.348722,0.5691183285525785,1216,916,10.374332890476772,0.035216,0.3037345285318752,1346,2,0.35133065189295476,14.608462,0.27514261116958577,1216,2,0.31952325632505,8.296542,0.5691961154977966,2690,1,0.6691693017961998,8.057355,1.2198008430614546,1.0,15.503300678363079,0.7083475842740995,0.8611035526305596,0.054858306029008055,21.56511460584727,87.47837671185682,5,1.1102230246251565e-16
0,1.07,random,0.375,1824,0.43937998604335127,1824,17,0.6332972858859602,2.753397,0.40391731490277116,1824,2,0.46828399867340464,351.15736,0.7031148399366467,1824,1128,12.855281425429245,0.044954,0.4396566824349814,2033,1,0.5084196180414812,8.468563,0.40391731490277055,1824,2,0.46828399867340464,11.330014,0.7031283736618211,3321,2,0.834558392251508,7.575704,1.2456192944039592,1.0,15.403693192453206,0.6937973615798375,0.8625477617151622,0.054694628352966554,24.32272151497741,60.024321150411744,5,-2.7755575615628914e-16
0,1.07,random,0.5,2432,0.5687722118795482,2430,22,0.8365731127579681,4.008956,0.5180739296494343,2432,1,0.6060438552075889,400.840461,0.8045524452532803,2432,1203,13.829108603840378,0.043942,0.5688896833944216,2644,2,0.6689152630248039,14.372472,0.5180739296494332,2432,1,0.6060438552075889,8.821633,0.8047456453936146,3869,1,0.9576379123697362,10.166969,1.2506413876326026,1.0,14.440853296648799,0.6798834473707281,0.8548456109203152,0.05817818547103275,25.734140789308448,41.45424626048091,5,-9.992007221626409e-16
0,1.07,random,0.625,3040,0.689506010423617,3036,25,1.0178471680016354,6.361915,0.6474389615807,3040,2,0.7658054833701138,433.99525,0.8807117924752651,3040,1122,13.086797595240933,0.04272,0.6896273416225587,3251,2,0.8174313330995592,12.530258,0.6474389615806988,3040,2,0.7658054833701138,10.561958,0.8807585890242263,4217,2,1.0537847493964516,9.444659,1.245177578576703,1.0,12.418852714215413,0.6774160523306669,0.845435264750896,0.0672977316311165,24.802957036839434,27.73083615821934,5,-8.881784197001252e-16
0,1.07,random,0.75,3648,0.8055903503890303,3648,30,1.222591028515239,8.605309,0.7606016552383073,3648,1,0.9035653399042981,464.391301,0.9379120123541236,3648,901,10.804362572657634,0.040225,0.8059020354670062,3873,1,0.9586166014641332,10.637589,0.7606016552383063,3648,1,0.9035653399042981,7.410566,0.93810264886178,4532,1,1.1198556297660505,5.633192,1.275370180996164,1.0,9.64799594293666,0.6589205479181127,0.8417782551496132,0.08680863919984295,27.751101071175754,16.42542787425314,5,-1.3322676295501878e-15
0,1.07,random,0.875,4256,0.9092773998510222,4254,31,1.3818633121305652,10.74515,0.8882101028245617,4256,2,1.063326968066823,375.443598,0.9780227206049219,4256,523,6.794788477249587,0.036429,0.9093066617225237,4400,1,1.0875588896509472,9.303895,0.8882330772326315,4299,1,1.0628469900174211,6.521844,0.9782057858666701,4751,1,1.17343885768429,7.049751,1.270610102386341,1.0004515965646137,5.790492135788555,0.658008206650405,0.8353123070313624,0.14393718419337884,26.94557584373074,7.560434336668109,4,5.551115123125783e-16
0,1.07,local,0.125,608,0.3145534629638002,606,10,0.2582802559428598,2.802129,0.28647361814510314,608,4,0.1927642856050361,207.054645,0.3814867387692255,608,130,1.5788758981905031,0.027501,0.3147027702952817,669,5,0.21869018010876182,9.080087,0.28647361814510325,608,4,0.1927642856050361,13.642597,0.3816222649774863,885,6,0.28254027702037393,12.342116,1.1810327094449715,1.0,5.588144511080276,1.2178765342147946,1.4861343077424234,0.24161920465467535,22.026680537086097,21.27882337544895,4,-8.326672684688674e-17
0,1.07,local,0.25,1216,0.5073519103616267,1212,16,0.4725569686290382,4.808731,0.46177043297406506,1216,6,0.3635267995817315,242.889705,0.5691183285525784,1216,190,2.3876897893890803,0.030427,0.507585319173701,1319,8,0.4107298153907968,18.099901,0.46179956208033596,1168,7,0.36278341626313704,16.39294,0.5692072721658383,1551,9,0.47849466867999724,14.513124,1.150529985702194,1.0020491105306073,4.990002910535864,1.0736312107163166,1.270251418892283,0.23835522147045504,18.313570452630866,12.174275277080593,4,0.0
0,1.07,local,0.375,1824,0.6466288026345968,1824,23,0.6993026007709824,6.377543,0.6014345862833885,1824,7,0.5232884277442564,349.44042,0.7031148399366467,1824,229,2.9654850784900795,0.032361,0.6466574855434102,1944,9,0.5746508722045093,17.811341,0.6014420533520968,1706,9,0.5164188710878836,12.551537,0.7032358846308718,2295,8,0.6495299544236818,15.673495,1.2169173224923107,1.0133022959480575,4.565586326378604,0.9246766734768144,1.1493366839316461,0.23709943612147527,24.29606119619119,8.73546570643089,5,5.551115123125783e-16
0,1.07,local,0.5,2432,0.750318882730123,2430,29,0.9135793134571607,9.342527,0.7170359076990027,2432,7,0.6720491700926111,307.354593,0.8045524452532803,2432,238,3.2132537931659675,0.033553,0.7503879021006054,2541,9,0.7207202195432719,15.395865,0.7171805065531787,2378,8,0.669837753132421,15.367171,0.8045812800660993,2930,8,0.8048968481592166,6.640275,1.2675921788847628,1.0033014217993068,3.9921311662663563,0.8212958324228811,1.0669396520498526,0.250385589511922,29.90929820041883,7.228068461481607,4,2.220446049250313e-16
0,1.07,local,0.625,3040,0.8362503954496652,3036,33,1.1058542545149983,10.518697,0.7958528251728891,3040,5,0.798808140812625,415.619533,0.880711792475265,3040,227,3.2410047915584475,0.033072,0.836346463792485,3181,7,0.8553087030184624,10.416295,0.7958808357927966,2828,9,0.7909411620662617,12.759927,0.8808386418843216,3581,5,0.9311758408298286,9.45579,1.2929299685743145,1.0099463514148277,3.4805507718823403,0.7562030819481044,0.9963003436135123,0.271740354956949,31.750368042256262,5.31675647240708,5,3.3306690738754696e-16
0,1.07,local,0.75,3648,0.9022125503297093,3648,33,1.2555936859577501,12.401847,0.8892072547730765,3648,5,0.9475688831609796,352.46763,0.9379120123541236,3648,187,2.9497301013399877,0.031769,0.9022126350095073,3748,5,0.9720361105209063,13.621518,0.889207254773077,3648,5,0.9475688831609796,14.950191,0.9379289585432796,4033,5,1.0417677084966974,11.93216,1.2917150632242331,1.0,2.831466244616603,0.7185545454869929,0.9384090914918866,0.31796536636624956,30.59677896211617,3.956879341943109,4,9.992007221626409e-16
0,1.07,local,0.875,4256,0.9579423342489883,4254,34,1.4148659695730763,12.759245,0.9500694381387307,4256,3,1.0743278538809933,368.907167,0.978022720604922,4256,122,2.383433265767268,0.031469,0.9580222077078987,4246,4,1.082882016959171,12.08782,0.950181211183284,4178,4,1.0662443023544208,8.45041,0.9780382281019052,4445,4,1.1315717994054253,5.32741,1.3065744443204863,1.007581331509789,2.10630316787642,0.6770551803843577,0.8843384584199498,0.41034197795761645,30.615418660251503,2.096199910788621,4,1.7763568394002505e-15
0,1.07,hot-cold,0.125,608,0.2846406720071315,606,5,0.20327582687200796,3.023383,0.28348674412651587,608,1,0.159761628162525,210.603411,0.38148673876922545,608,392,4.461107981503141,0.030867,0.2846753020602651,612,1,0.16074031725692206,10.310668,0.28348674412651576,608,1,0.159761628162525,14.464584,0.3816859748953161,896,1,0.23022724295911404,15.233542,1.2646225311792718,1.0,19.376976956177977,1.4002681793854155,1.7744357477261417,0.08551389931626044,26.72113626869319,34.02397348178954,4,0.0
0,1.07,hot-cold,0.25,1216,0.4799481081989538,1212,9,0.39555076792984556,4.841582,0.48332668486686103,1216,1,0.3085223705108796,248.971246,0.5691183285525784,1216,589,6.777043229243059,0.033112,0.48010505308067913,1203,1,0.3053416309540891,10.057675,0.48332668486686087,1216,1,0.3085223705108796,8.368547,0.5692823919692886,1542,1,0.3882855317042408,15.684815,1.29543674307982,1.0,17.453761924884624,1.2133666449715421,1.5665855414844778,0.08397737911672497,29.110648292233222,18.579137792259125,4,0.0
0,1.07,hot-cold,0.375,1824,0.6309267435626669,1824,13,0.5892937426292787,5.566107,0.6377332366921857,1824,1,0.45728311285923423,283.259424,0.7031148399366467,1824,668,7.7948739509108735,0.030417,0.6312630336387651,1801,1,0.4516556505664511,8.099463,0.6377332366921864,1824,1,0.45728311285923423,15.911529,0.7032843777019613,2169,1,0.5416950472509815,13.180543,1.3047412157695948,1.0,14.389782573181446,1.0706489784663797,1.394613574738544,0.09020220780535956,30.258712499424224,11.441597160132066,4,1.4432899320127035e-15
0,1.07,hot-cold,0.5,2432,0.7432760672690228,2430,17,0.7815686836871163,6.34837,0.7500503400240754,2432,1,0.6060438552075889,314.210301,0.8045524452532803,2432,682,8.097647094657614,0.030598,0.7433427663607596,2391,1,0.5960122919900188,9.76639,0.7500503400240756,2432,1,0.6060438552075889,14.701808,0.8046280139214559,2779,1,0.6909451341465346,6.825451,1.3113298067688257,1.0,11.719667299864474,0.9510054366080217,1.2376172674288726,0.09935632361455714,30.1377699630317,8.244094042931028,4,8.881784197001252e-16
0,1.07,hot-cold,0.625,3040,0.831595098655787,3036,21,0.9738436247449539,8.169094,0.8415574894675971,3040,1,0.7548045975559434,342.206175,0.8807117924752651,3040,663,8.037391006536732,0.039955,0.8316951971012594,2964,1,0.7362095047623991,13.978034,0.8415574894675962,3040,1,0.7548045975559434,12.278697,0.8807392846491681,3351,1,0.8308976746453156,10.956255,1.3227805651045592,1.0,9.673141774006822,0.8539308339915237,1.1149342388646803,0.10957682558419651,30.564935060741405,5.9063231491950585,4,-4.440892098500626e-16
0,1.07,hot-cold,0.75,3648,0.8944120927687398,3648,23,1.1455848278160463,8.895642,0.9113382905172718,3648,1,0.9035653399042981,264.358164,0.9379120123541236,3648,574,7.207072911423922,0.035216,0.8944682681278691,3473,1,0.8607476920244262,16.068373,0.9113382905172717,3648,1,0.9035653399042981,8.403792,0.9379465213024997,3941,1,0.9752543160688835,8.088252,1.330918268420448,1.0,7.38994208246588,0.7807471529400886,1.0086025329543926,0.13013771664047416,29.184272930904775,4.8635209583007155,3,5.551115123125783e-16
