scope,n,spatial_mode,target_cv,budget_fraction,cases,affine_latency_ratio_mean,affine_latency_ratio_median,affine_saving_pct_mean,lookup_latency_ratio_mean,lookup_saving_pct_mean,affine_strict_win_rate,lookup_strict_win_rate,paper_chunks_mean,refined_chunks_mean,refined_row_ratio_mean,post_runtime_ms_mean,total_runtime_ms_mean
N,4864,,,,2520,0.8396613559994277,0.8327631523731704,16.033864400057247,0.9605137555789797,3.9486244421020102,0.9246031746031746,0.8031746031746032,24.987301587301587,9.664285714285715,1.0061496611119571,1.4432920706349206,8.81109549484127
N,8960,,,,2520,0.8943211931904043,0.9009393445403868,10.56788068095958,0.9927043935056031,0.7295606494396792,0.9773809523809524,0.676984126984127,57.20515873015873,27.81547619047619,1.0140147316367023,2.545865799603175,17.10909560555556
N,14336,,,,2520,0.9104305480879092,0.9098748299206441,8.956945191209062,0.9914640636356936,0.8535936364306377,0.9996031746031746,0.85,207.3031746031746,110.66825396825396,1.0047703253858589,4.1668320436507935,17.654289798412698
N,18944,,,,2520,0.919076677575833,0.9176205305384717,8.092332242416706,0.9869043097746621,1.309569022533784,0.9988095238095238,0.9182539682539682,241.05238095238096,140.7345238095238,1.0012460778699617,5.279806836904762,25.54133368293651
N-ordering,4864,hot-cold,,,840,0.7741561359870412,0.7800909449657154,22.58438640129588,0.9419597261068721,5.804027389312785,0.9988095238095238,0.9416666666666667,17.63095238095238,2.2142857142857144,0.9751895561461492,1.4407075809523808,8.629956791666666
N-ordering,4864,local,,,840,0.8516201894992497,0.8535872456312696,14.837981050075026,0.9493468580569671,5.0653141943032995,0.9404761904761905,0.9095238095238095,31.01904761904762,14.040476190476191,1.0190372582887346,1.4795157785714286,9.895816351190476
N-ordering,4864,random,,,840,0.8932077425119918,0.9116955334868364,10.67922574880083,0.9902346825731005,0.9765317426899475,0.8345238095238096,0.5583333333333333,26.311904761904763,12.738095238095237,1.0242221689009876,1.4096528523809524,7.907513341666666
N-ordering,8960,hot-cold,,,840,0.8548610608728582,0.8551065639980366,14.513893912714186,0.9869711791505024,1.3028820849497567,1.0,0.8690476190476191,34.32261904761905,6.5928571428571425,1.0002050787576937,2.4476624011904766,16.557220511904763
N-ordering,8960,local,,,840,0.9340906037799658,0.9296306404990304,6.59093962200343,0.9948486340291497,0.5151365970850134,0.986904761904762,0.6630952380952381,57.82142857142857,38.46904761904762,1.0112438578109815,2.475744426190476,18.356065764285713
N-ordering,8960,random,,,840,0.8940119149183887,0.8985638686552565,10.59880850816113,0.9962933673371572,0.3706632662842674,0.9452380952380952,0.4988095238095238,79.47142857142858,38.38452380952381,1.0305952583414317,2.7141905714285715,16.414000540476188
N-ordering,14336,hot-cold,,,840,0.8828890019320794,0.880770568169591,11.711099806792056,0.992018140802369,0.7981859197631006,1.0,0.9130952380952381,138.42380952380952,42.99166666666667,1.0028227670346412,4.020278303571429,17.135867942857143
