n,model,shape,trial,target_cv,actual_cv,spatial_mode,lag1_corr,first_half_mass,budget_fraction,budget_rows,row_size_kib,a_ms_per_chunk,c_ms_per_row,profitable_gap_rows,paper_importance,paper_rows,paper_chunks,paper_aff_ms,paper_lookup_ms,paper_runtime_ms,merge_importance,merge_rows,merge_chunks,merge_aff_ms,merge_lookup_ms,merge_affine_ratio,merge_lookup_ratio,merge_affine_saving_pct,merge_lookup_saving_pct,refined_importance,refined_rows,refined_chunks,refined_aff_ms,refined_lookup_ms,refined_affine_ratio,refined_lookup_ratio,refined_affine_saving_pct,refined_lookup_saving_pct,refined_affine_strict_win,refined_affine_nonworse,refined_lookup_strict_win,refined_lookup_nonworse,refined_row_ratio,chunk_reduction_pct,importance_overshoot,post_runtime_ms,total_runtime_ms,runtime_overhead_pct
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.125,1120,3.0,0.011000885814170374,0.0004194381833130299,26,0.17070363369112082,1120,18,0.6677867099656603,0.6678025795646697,4.085476,0.17070363369112082,1120,18,0.6677867099656603,0.6678025795646697,1.0,1.0,0.0,0.0,0.17070363369112082,1120,18,0.6677867099656603,0.6678025795646697,1.0,1.0,0.0,0.0,False,True,False,True,1.0,0.0,0.0,0.688076,4.773552,16.842003232915825
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.25,2240,3.0,0.011000885814170374,0.0004194381833130299,26,0.32757218365558427,2240,37,1.3465743057454906,1.3398181591248945,5.636776,0.3283911533660071,2250,36,1.3397678017644508,1.3409725933104277,0.9949453186860924,1.0008616349746202,0.5054681313907627,-0.08616349746202179,0.3276005152018744,2227,36,1.330120723548251,1.3326779055637608,0.9877811553903588,0.9946707293728595,1.2218844609641177,0.5329270627140503,True,True,True,True,0.9941964285714285,2.7027027027026973,2.8331546290116805e-05,1.329215,6.965991000000001,23.581121548913778
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.375,3360,3.0,0.011000885814170374,0.0004194381833130299,26,0.46708704012823354,3360,55,2.014361015711151,1.9975634273072198,6.483478,0.47240823141804655,3425,48,1.9646182969273056,2.016413919071602,0.9753059563822604,1.009436742536778,2.4694043617739636,-0.9436742536778064,0.46715023239988585,3339,48,1.9285466131623847,1.9908087072468852,0.9573986977113581,0.9966185203593559,4.26013022886419,0.33814796406440584,True,True,True,True,0.99375,12.727272727272732,6.319227165230146e-05,1.593989,8.077467,24.58539999673015
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.5,4480,3.0,0.011000885814170374,0.0004194381833130299,26,0.594334304750818,4480,70,2.6491450682343,2.651867139187695,10.565779,0.612832050848306,4715,51,2.538696210843625,2.735940993124154,0.9583077353086251,1.0317036448372794,4.169226469137488,-3.1703644837279388,0.5944614705382077,4510,51,2.452711383264454,2.6476840040996876,0.9258501592361749,0.9984225698843688,7.414984076382513,0.1577430115631162,True,True,True,True,1.0066964285714286,27.142857142857146,0.00012716578738969364,2.320868,12.886647,21.96589574701496
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.625,5600,3.0,0.011000885814170374,0.0004194381833130299,26,0.7146762823018902,5600,86,3.2949300065716196,3.3181111386986446,14.454057,0.7535402689076491,6095,49,3.0955191321872655,3.5124376759525435,0.9394794809034983,1.0585654093943682,6.052051909650169,-5.856540939436816,0.7148105026257512,5715,49,2.936132622528314,3.3252339490947356,0.8911062197595405,1.0021466461183348,10.889378024045948,-0.21466461183348162,True,True,False,False,1.0205357142857143,43.02325581395349,0.0001342203238610118,3.204339,17.658396,22.169132168221005
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.75,6720,3.0,0.011000885814170374,0.0004194381833130299,26,0.8246583987966831,6720,98,3.896711401652258,3.974471264441622,19.05685,0.8796922814901971,7450,36,3.520846354992206,4.261074017547888,0.9035430115505397,1.0721109133862443,9.645698844946027,-7.211091338624431,0.8247988066899459,6898,35,3.2783155919892435,3.981543620980909,0.8413031538848871,1.001779445885686,15.869684611511293,-0.1779445885685904,True,True,False,False,1.0264880952380953,64.28571428571428,0.0001404078932627506,4.8904,23.94725,25.662163474026396
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.07,random,0.021478470604377735,0.507790172303318,0.875,7840,3.0,0.011000885814170374,0.0004194381833130299,26,0.9207764577882365,7840,84,4.212469765564466,4.567948376276862,24.672226,0.9773092275326392,8630,10,3.729760380133152,4.916409904474611,0.8854094124598111,1.0762840337704878,11.45905875401889,-7.628403377048776,0.9208734389114219,8091,10,3.5036831993274284,4.609347918552036,0.8317408537786715,1.0090630495060273,16.825914622132853,-0.9063049506027321,True,True,False,False,1.032015306122449,88.09523809523809,9.698112318545782e-05,5.26418,29.936405999999998,21.336461493178607
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.125,1120,3.0,0.011000885814170374,0.0004194381833130299,26,0.3381069799086547,1120,26,0.7557937964790231,0.7372184587232212,5.319964,0.3433486159854338,1165,23,0.7416658572855984,0.7311800916161101,0.9813071511578398,0.9918092567601076,1.869284884216016,0.819074323989244,0.3381583501138331,1121,23,0.7232105772198251,0.7182601741801999,0.9568887447727253,0.9742840343744853,4.311125522727465,2.5715965625514703,True,True,True,True,1.0008928571428573,11.538461538461542,5.137020517842483e-05,0.62027,5.940233999999999,11.659289423763019
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.25,2240,3.0,0.011000885814170374,0.0004194381833130299,26,0.5266356940916328,2240,48,1.4675840497013648,1.4345836848966314,7.480692,0.5372788555849007,2345,41,1.4346188582500403,1.4537922184619494,0.9775377829583032,1.0133896222071577,2.246221704169682,-1.338962220715767,0.5267079443187567,2236,41,1.3889000962689202,1.421913064069976,0.9463853852537741,0.9911677367029527,5.361461474622587,0.8832263297047338,True,True,True,True,0.9982142857142857,14.583333333333337,7.225022712387119e-05,1.211415,8.692107,16.1938895492556
8960,NVILA-Lite-2B,8960x1536,0,1.07,1.0700000000000003,local,0.89850065301267,0.49652286373558335,0.375,3360,3.0,0.011000885814170374,0.0004194381833130299,26,0.6653636869172328,3360,65,2.1243698738528547,2.1029909882115723,12.025267,0.6848355502270005,3590,51,2.0668282546164662,2.1675211430297985,0.9729135590065452,1.030684941200392,2.708644099345481,-3.0684941200392,0.6653977012425086,3356,51,1.9686797197212176,2.088895169447879,0.9267123131202806,0.9932972519413025,7.328768687971943,0.6702748058697527,True,True,True,True,0.9988095238095238,21.53846153846154,3.4014325275832924e-05,1.884082,13.909348999999999,15.667693698609769
