trial,target_cv,spatial_mode,distinct_exact_states,max_exact_rows,max_exact_chunks,reconstruction_ms,reconstruction_buffer_gib
0,1.07,random,28,4801,2,150.59178,0.06548658572137356
0,1.07,local,28,4667,9,329.196611,0.21219726651906967
0,1.07,hot-cold,28,4684,1,105.893978,0.04259401001036167
0,1.25,random,28,4813,3,169.054984,0.08753364533185959
0,1.25,local,28,4696,10,343.310378,0.23486709874123335
0,1.25,hot-cold,28,4624,1,110.458378,0.04204851575195789
0,1.44,random,28,4796,3,179.344824,0.08722453191876411
0,1.44,local,28,4618,11,372.376276,0.2519637979567051
0,1.44,hot-cold,28,4638,1,106.653887,0.04217579774558544
0,2.48,random,28,4834,5,234.861555,0.13187323696911335
0,2.48,local,28,4556,14,440.668583,0.3107271669432521
0,2.48,hot-cold,28,4627,2,159.572533,0.06311368569731712
0,3.3,random,28,4825,7,287.627936,0.1755036860704422
0,3.3,local,28,4631,15,468.563885,0.33689725399017334
0,3.3,hot-cold,27,4649,1,112.233394,0.0422758050262928
0,4.55,random,28,4853,9,346.367591,0.22065242752432823
0,4.55,local,28,4602,15,471.769675,0.3347880095243454
0,4.55,hot-cold,28,4691,2,166.61779,0.06398647651076317
0,9.19,random,28,4859,20,644.140176,0.46394286677241325
0,9.19,local,28,4588,17,529.166731,0.37549097277224064
0,9.19,hot-cold,27,4813,3,187.776653,0.08753364533185959
1,1.07,random,28,4806,2,157.099371,0.06555477250367403
1,1.07,local,28,4742,9,325.438949,0.21560660563409328
1,1.07,hot-cold,28,4675,1,114.970029,0.042512185871601105
1,1.25,random,28,4803,3,179.745253,0.08735181391239166
1,1.25,local,28,4615,7,268.154875,0.1678667664527893
1,1.25,hot-cold,28,4644,1,111.980893,0.04223034717142582
1,1.44,random,28,4799,4,187.39012,0.10909885168075562
1,1.44,local,28,4583,8,273.891796,0.1875409260392189
1,1.44,hot-cold,28,4624,1,114.130541,0.04204851575195789
1,2.48,random,28,4807,5,228.513823,0.13113681972026825
1,2.48,local,28,4568,12,375.496307,0.27000602055341005
1,2.48,hot-cold,28,4592,1,110.829481,0.04175758548080921
1,3.3,random,28,4850,11,402.361885,0.26461926475167274
1,3.3,local,28,4629,12,384.171279,0.2736108284443617
1,3.3,hot-cold,28,4667,2,157.924895,0.0636591799557209
1,4.55,random,28,4843,12,403.185423,0.28625720366835594
1,4.55,local,28,4606,16,472.68176,0.35602137353271246
1,4.55,hot-cold,28,4723,2,160.923639,0.06442287191748619
1,9.19,random,28,4850,14,485.980544,0.33077408093959093
1,9.19,local,28,4714,20,583.786035,0.4501009499654174
1,9.19,hot-cold,28,4728,3,182.010726,0.08598807826638222
2,1.07,random,28,4813,3,178.019558,0.08753364533185959
2,1.07,local,28,4703,9,317.876496,0.213833749294281
2,1.07,hot-cold,28,4691,1,110.477363,0.042657651007175446
2,1.25,random,28,4812,4,193.304041,0.109394327737391
2,1.25,local,28,4649,12,368.872078,0.2747927326709032
2,1.25,hot-cold,27,4660,1,112.533215,0.04237581230700016
2,1.44,random,27,4797,4,181.275843,0.10905339382588863
2,1.44,local,28,4613,11,367.568091,0.2516910508275032
2,1.44,hot-cold,28,4572,1,113.025375,0.041575754061341286
2,2.48,random,28,4844,6,275.091448,0.15417031478136778
2,2.48,local,28,4517,16,472.841418,0.34914360009133816
2,2.48,hot-cold,28,4686,2,160.67852,0.0639182897284627
2,3.3,random,28,4829,9,340.280906,0.21956143900752068
2,3.3,local,28,4647,13,423.204476,0.29580335319042206
2,3.3,hot-cold,28,4667,3,181.905399,0.08487890660762787
2,4.55,random,28,4852,9,339.504125,0.22060696966946125
2,4.55,local,28,4576,20,570.473666,0.43692726362496614
2,4.55,hot-cold,28,4739,2,165.602983,0.0646410696208477
2,9.19,random,28,4857,15,468.195416,0.35333481431007385
2,9.19,local,28,4625,17,541.164262,0.3785184659063816
2,9.19,hot-cold,28,4743,2,159.142219,0.06469561904668808
