spatial_mode,method,label,cases,chunks,mean_chunks_per_case,global_rows_per_chunk,run_length_mean,run_length_median,run_length_p05,run_length_p95,case_mean_run_length_median,mean_case_chunk_fraction_beyond_profile,mean_case_row_fraction_beyond_profile,global_chunk_fraction_beyond_profile,global_row_fraction_beyond_profile,lookup_over_affine_mean,lookup_over_affine_median
all,paper,Paper greedy,378,9542,25.243386243386244,96.26283797945923,96.26283797945923,84.0,24.0,216.0,94.03589743589743,0.11009641280831821,0.208256393711589,0.11045902326556277,0.2700960219478738,1.0091587384923124,0.9941353484272335
all,paper_cover,Matched affine DP-Cover (Paper importance),378,1786,4.724867724867725,525.6825307950728,525.6825307950728,206.5,28.0,2378.5,678.6833333333334,0.7982660073303348,0.9031340881964991,0.6052631578947368,0.9471300042923986,1.2472984066834958,1.2758729101275195
all,dpr,DP-R exact,378,1126,2.9788359788359786,816.4262877442274,816.4262877442274,423.0,48.25,3232.0,912.0,0.871162971361384,0.9525883367479545,0.7673179396092362,0.9774087997772208,1.2693255489869448,1.2944032629009508
all,dpr_cover,Matched affine DP-Cover (DP-R importance),378,1793,4.743386243386244,488.6887897378695,488.6887897378695,179.0,26.0,2354.1999999999894,608.0,0.7611600871463149,0.8721844371779884,0.5554935861684328,0.9369369986270556,1.2357122142888242,1.264693203281843
all,top,Top-R,378,210828,557.7460317460317,4.360407536000911,4.360407536000911,2.0,1.0,14.0,4.585218702865761,0.00396797968845721,0.05952080515442045,0.0014751361299258164,0.0964390142021721,1.0118850921432834,1.022352885462677
all,top_cover,Matched affine DP-Cover (Top-R importance),378,1471,3.8915343915343916,838.3528212100612,838.3528212100612,333.0,32.0,3946.0,1479.75,0.8728660779256018,0.9480198670131658,0.69068660774983,0.9733128881616131,1.2823700487337166,1.3181648127599523
random,paper,Paper greedy,126,3345,26.547619047619047,91.53363228699551,91.53363228699551,84.0,24.0,150.0,92.85451505016722,0.03778337048168167,0.07626058942690529,0.05291479820627803,0.12245737801293356,0.9888273395159105,0.9865953133542976
random,paper_cover,Matched affine DP-Cover (Paper importance),126,495,3.9285714285714284,674.5333333333333,674.5333333333333,365.0,22.400000000000006,2355.3999999999996,727.2,0.8580183925422021,0.9458102565426189,0.7313131313131314,0.9746686074023493,1.260056841198316,1.284414857806956
random,dpr,DP-R exact,126,386,3.0634920634920637,793.8652849740932,793.8652849740932,524.0,34.5,2443.75,810.6666666666666,0.8849993701184177,0.9657535766499583,0.810880829015544,0.9842412019632414,1.2676337735520142,1.2868456471884313
random,dpr_cover,Matched affine DP-Cover (DP-R importance),126,505,4.007936507936508,594.7306930693069,594.7306930693069,330.0,15.400000000000006,2017.999999999998,608.0,0.8358110584301061,0.9313325136564756,0.699009900990099,0.9684323381245858,1.2483965626898488,1.264693203281843
