trial,target_cv,spatial_mode,q,lambda_min_positive,lambda_max,unique_supported_solutions,build_runtime_ms
0,1.07,random,131072,0.0019496789305076033,497823.7103412486,241,726.503623
0,1.07,local,131072,0.0019496789305076033,497823.7103412486,539,760.375752
0,1.07,hot-cold,131072,0.0019496789305076033,497823.7103412486,224,794.866217
0,1.25,random,131072,0.003385751719374437,1023632.6205103326,249,737.052697
0,1.25,local,131072,0.003385751719374437,1023632.6205103326,552,863.943377
0,1.25,hot-cold,131072,0.003385751719374437,1023632.6205103326,240,745.249655
0,1.44,random,131072,0.001671905053750371,2394737.3543426073,243,737.973318
0,1.44,local,131072,0.001671905053750371,2394737.3543426073,515,784.934117
0,1.44,hot-cold,131072,0.001671905053750371,2394737.3543426073,227,728.298837
0,2.48,random,131072,0.0009958685952780408,10716273.847235413,276,768.903638
0,2.48,local,131072,0.0009958685952780408,10716273.847235413,614,731.137292
0,2.48,hot-cold,131072,0.0009958685952780408,10716273.847235413,263,727.521765
0,3.3,random,131072,0.00042768629925609764,51560707.58169492,294,786.224478
0,3.3,local,131072,0.00042768629925609764,51560707.58169492,614,783.551542
0,3.3,hot-cold,131072,0.00042768629925609764,51560707.58169492,250,802.136474
0,4.55,random,131072,0.00027587903678198493,384203743.1825892,312,769.575845
0,4.55,local,131072,0.00027587903678198493,384203743.1825892,673,775.090621
0,4.55,hot-cold,131072,0.00027587903678198493,384203743.1825892,269,746.186285
1,1.07,random,131072,0.003275548672529151,453143.29482769204,224,752.913857
1,1.07,local,131072,0.003275548672529151,453143.29482769204,487,744.067205
1,1.07,hot-cold,131072,0.003275548672529151,453143.29482769204,235,730.539675
1,1.25,random,131072,0.003605796984672398,823683.1705477836,245,731.262405
1,1.25,local,131072,0.003605796984672398,823683.1705477836,527,745.756042
1,1.25,hot-cold,131072,0.003605796984672398,823683.1705477836,225,774.82778
1,1.44,random,131072,0.001422937970231962,1471488.720548943,249,745.472361
1,1.44,local,131072,0.001422937970231962,1471488.720548943,514,748.315524
1,1.44,hot-cold,131072,0.001422937970231962,1471488.720548943,245,741.835735
1,2.48,random,131072,0.0004270513887413172,7161679.908911374,263,744.55099
1,2.48,local,131072,0.0004270513887413172,7161679.908911374,583,721.928743
1,2.48,hot-cold,131072,0.0004270513887413172,7161679.908911374,250,742.376425
1,3.3,random,131072,0.0006707156583912613,55488727.04155053,314,738.272005
1,3.3,local,131072,0.0006707156583912613,55488727.04155053,648,741.97736
1,3.3,hot-cold,131072,0.0006707156583912613,55488727.04155053,281,740.229243
1,4.55,random,131072,0.00032747662480631155,85429303.44367422,331,736.041537
1,4.55,local,131072,0.00032747662480631155,85429303.44367422,672,727.494324
1,4.55,hot-cold,131072,0.00032747662480631155,85429303.44367422,264,726.568474
2,1.07,random,131072,0.004441389729089942,965602.5831506369,239,735.216195
2,1.07,local,131072,0.004441389729089942,965602.5831506369,553,737.972966
2,1.07,hot-cold,131072,0.004441389729089942,965602.5831506369,223,751.736337
2,1.25,random,131072,0.0029886905889746134,1710854.249251801,236,747.782738
2,1.25,local,131072,0.0029886905889746134,1710854.249251801,578,793.245278
2,1.25,hot-cold,131072,0.0029886905889746134,1710854.249251801,221,780.56957
2,1.44,random,131072,0.003122224629345826,1594381.2977899902,245,838.187735
2,1.44,local,131072,0.003122224629345826,1594381.2977899902,545,744.100918
2,1.44,hot-cold,131072,0.003122224629345826,1594381.2977899902,239,788.426984
2,2.48,random,131072,0.0012319187472708839,23978615.184714023,280,799.213511
2,2.48,local,131072,0.0012319187472708839,23978615.184714023,644,742.403727
2,2.48,hot-cold,131072,0.0012319187472708839,23978615.184714023,255,741.782656
2,3.3,random,131072,0.0006406299378487972,39087800.38077978,311,747.204208
2,3.3,local,131072,0.0006406299378487972,39087800.38077978,601,793.129471
2,3.3,hot-cold,131072,0.0006406299378487972,39087800.38077978,275,773.172827
2,4.55,random,131072,0.0004795428948969859,68079694.02582607,313,790.328758
2,4.55,local,131072,0.0004795428948969859,68079694.02582607,659,819.998294
2,4.55,hot-cold,131072,0.0004795428948969859,68079694.02582607,288,811.326027
