trial,target_cv,spatial_mode,supported_points,scalarized_solve_calls,global_build_runtime_ms
0,1.07,hot-cold,225,449,27.256922
0,1.07,local,541,1081,66.946014
0,1.07,random,243,485,30.37481
0,1.25,hot-cold,242,483,29.56698
0,1.25,local,557,1113,64.05546
0,1.25,random,251,501,32.229467
0,1.44,hot-cold,229,457,29.171532
0,1.44,local,519,1037,68.634561
0,1.44,random,243,485,32.95302
0,2.48,hot-cold,264,527,32.351626
0,2.48,local,625,1249,74.285504
0,2.48,random,276,551,35.749758
0,3.3,hot-cold,252,503,30.944265
0,3.3,local,621,1241,71.768408
0,3.3,random,295,589,36.669096
0,4.55,hot-cold,270,539,32.768716
0,4.55,local,681,1361,76.705708
0,4.55,random,317,633,39.3137
1,1.07,hot-cold,236,471,29.528057
1,1.07,local,492,983,57.756345
1,1.07,random,226,451,28.284823
1,1.25,hot-cold,226,451,28.060865
1,1.25,local,529,1057,63.041675
1,1.25,random,247,493,31.594009
1,1.44,hot-cold,246,491,29.62062
1,1.44,local,521,1041,60.659081
1,1.44,random,253,505,32.837194
1,2.48,hot-cold,252,503,30.591015
1,2.48,local,592,1183,68.091285
1,2.48,random,267,533,33.96992
1,3.3,hot-cold,282,563,33.649612
1,3.3,local,650,1299,74.903509
1,3.3,random,316,631,40.362451
1,4.55,hot-cold,264,527,31.810133
1,4.55,local,680,1359,76.399805
1,4.55,random,337,673,43.028655
2,1.07,hot-cold,225,449,27.120517
2,1.07,local,560,1119,65.257517
2,1.07,random,242,483,30.462334
2,1.25,hot-cold,222,443,27.647202
2,1.25,local,582,1163,67.593605
2,1.25,random,237,473,29.918197
2,1.44,hot-cold,239,477,29.130173
2,1.44,local,549,1097,62.619616
2,1.44,random,248,495,32.295661
2,2.48,hot-cold,257,513,30.799605
2,2.48,local,651,1301,74.77011
2,2.48,random,282,563,35.200972
2,3.3,hot-cold,277,553,33.270323
2,3.3,local,605,1209,69.919062
2,3.3,random,315,629,39.559199
2,4.55,hot-cold,288,575,34.743537
2,4.55,local,663,1325,74.137416
2,4.55,random,314,627,38.80027
