n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,0,random,3.3,supported,0.05,0.20179989521571245,0.009870079165726455,1,1
256,0,random,3.3,supported,0.1,0.20179989521571245,0.009870079165726455,1,1
256,0,random,3.3,supported,0.15,0.20179989521571245,0.009870079165726455,1,1
256,0,random,3.3,supported,0.2,0.20179989521571245,0.009870079165726455,1,1
256,0,random,3.3,supported,0.25,0.40472372725350325,0.022469126015000306,53,1
256,0,random,3.3,supported,0.3,0.40472372725350325,0.022469126015000306,53,1
256,0,random,3.3,supported,0.35,0.40472372725350325,0.022469126015000306,53,1
256,0,random,3.3,supported,0.39999999999999997,0.40472372725350325,0.022469126015000306,53,1
256,0,random,3.3,supported,0.44999999999999996,0.5220050116964415,0.031232378568139964,89,1
256,0,random,3.3,supported,0.49999999999999994,0.5220050116964415,0.031232378568139964,89,1
256,0,random,3.3,supported,0.5499999999999999,0.6659255622850674,0.04458062689243029,135,1
256,0,random,3.3,supported,0.6,0.6659255622850674,0.04458062689243029,135,1
256,0,random,3.3,supported,0.65,0.6659255622850674,0.04458062689243029,135,1
256,0,random,3.3,supported,0.7,0.7369146561999255,0.051509315820345215,155,1
256,0,random,3.3,supported,0.75,0.7531952959485658,0.05317090665325957,160,1
256,0,random,3.3,supported,0.7999999999999999,0.8402841807157012,0.0631404516507457,190,1
256,0,random,3.3,supported,0.85,0.8998003492521943,0.07045145131556885,212,1
256,0,random,3.3,supported,0.9,0.931312652526531,0.07442414359666943,217,2
256,0,random,3.3,supported,0.95,0.9691708350631522,0.07942404181330635,239,1
256,0,random,3.3,supported,0.99,0.9974273750028252,0.08407649614546654,253,1
256,0,random,3.3,paper,0.05,0.2876837675242137,0.027581481496467893,12,2
256,0,random,3.3,paper,0.1,0.3318096489186709,0.030292445021603973,24,2
256,0,random,3.3,paper,0.15,0.369471771263225,0.03271783549704399,36,2
256,0,random,3.3,paper,0.2,0.4150419214132206,0.03469514049026021,48,2
256,0,random,3.3,paper,0.25,0.4466838514794804,0.03682664568780897,60,2
256,0,random,3.3,paper,0.3,0.4724764472781543,0.0391034585499318,72,2
256,0,random,3.3,paper,0.35,0.5346737888126818,0.04389060864783764,90,2
256,0,random,3.3,paper,0.39999999999999997,0.5698918875430256,0.0471454744760446,102,2
256,0,random,3.3,paper,0.44999999999999996,0.615892281020511,0.05075375220486243,114,2
256,0,random,3.3,paper,0.49999999999999994,0.6618433827622474,0.06634602862762666,126,3
256,0,random,3.3,paper,0.5499999999999999,0.693847916444226,0.06847598029356358,138,3
256,0,random,3.3,paper,0.6,0.727463057362667,0.0707610274279235,150,3
256,0,random,3.3,paper,0.65,0.7590105212809879,0.05999891639620351,162,2
256,0,random,3.3,paper,0.7,0.7835591983273434,0.07522606915571499,174,3
256,0,random,3.3,paper,0.75,0.8509289109402685,0.07970557823943916,192,3
256,0,random,3.3,paper,0.7999999999999999,0.8805598407707143,0.07031774518443915,204,2
256,0,random,3.3,paper,0.85,0.9041822628283764,0.07178072398190045,216,1
