n,trial,spatial_mode,cv,supported_points,scalarized_solve_calls
256,0,random,3.3,17,33
256,0,local,3.3,20,39
256,0,hot-cold,3.3,16,31
256,1,random,3.3,12,23
256,1,local,3.3,16,31
256,1,hot-cold,3.3,15,29
256,2,random,3.3,13,25
256,2,local,3.3,28,55
256,2,hot-cold,3.3,14,27
512,0,random,3.3,36,71
512,0,local,3.3,47,93
512,0,hot-cold,3.3,29,57
512,1,random,3.3,23,45
512,1,local,3.3,51,101
512,1,hot-cold,3.3,29,57
512,2,random,3.3,31,61
512,2,local,3.3,51,101
512,2,hot-cold,3.3,19,37
1024,0,random,3.3,58,115
1024,0,local,3.3,92,183
1024,0,hot-cold,3.3,44,87
1024,1,random,3.3,67,133
1024,1,local,3.3,110,219
1024,1,hot-cold,3.3,48,95
1024,2,random,3.3,57,113
1024,2,local,3.3,107,213
1024,2,hot-cold,3.3,61,121
2048,0,random,3.3,108,215
2048,0,local,3.3,226,451
2048,0,hot-cold,3.3,89,177
2048,1,random,3.3,107,213
2048,1,local,3.3,200,399
2048,1,hot-cold,3.3,87,173
2048,2,random,3.3,125,249
2048,2,local,3.3,207,413
2048,2,hot-cold,3.3,93,185
4096,0,random,3.3,241,481
4096,0,local,3.3,432,863
4096,0,hot-cold,3.3,181,361
4096,1,random,3.3,242,483
4096,1,local,3.3,410,819
4096,1,hot-cold,3.3,210,419
4096,2,random,3.3,207,413
4096,2,local,3.3,405,809
4096,2,hot-cold,3.3,170,339
4864,0,random,3.3,297,593
4864,0,local,3.3,538,1075
4864,0,hot-cold,3.3,222,443
4864,1,random,3.3,227,453
4864,1,local,3.3,461,921
4864,1,hot-cold,3.3,196,391
4864,2,random,3.3,274,547
4864,2,local,3.3,511,1021
4864,2,hot-cold,3.3,246,491
8192,0,random,3.3,469,937
8192,0,local,3.3,838,1675
8192,0,hot-cold,3.3,390,779
8192,1,random,3.3,474,947
8192,1,local,3.3,824,1647
8192,1,hot-cold,3.3,378,755
8192,2,random,3.3,458,915
8192,2,local,3.3,822,1643
8192,2,hot-cold,3.3,360,719
