n,trial,spatial_mode,cv,method,control,importance_fraction,latency_ms,rows,chunks
256,0,random,3.3,supported,0.05,0.2617021552057418,0.012782694408884928,7,1
256,0,random,3.3,supported,0.1,0.2617021552057418,0.012782694408884928,7,1
256,0,random,3.3,supported,0.15,0.2617021552057418,0.012782694408884928,7,1
256,0,random,3.3,supported,0.2,0.2617021552057418,0.012782694408884928,7,1
256,0,random,3.3,supported,0.25,0.2617021552057418,0.012782694408884928,7,1
256,0,random,3.3,supported,0.3,0.3062878948400623,0.015700541594138234,19,1
256,0,random,3.3,supported,0.35,0.5351764029621136,0.033450778637762496,92,1
256,0,random,3.3,supported,0.39999999999999997,0.5351764029621136,0.033450778637762496,92,1
256,0,random,3.3,supported,0.44999999999999996,0.5351764029621136,0.033450778637762496,92,1
256,0,random,3.3,supported,0.49999999999999994,0.5351764029621136,0.033450778637762496,92,1
256,0,random,3.3,supported,0.5499999999999999,0.6710933309189822,0.0442434551832745,136,1
256,0,random,3.3,supported,0.6,0.6710933309189822,0.0442434551832745,136,1
256,0,random,3.3,supported,0.65,0.6710933309189822,0.0442434551832745,136,1
256,0,random,3.3,supported,0.7,0.7335083157686508,0.05009920660459024,154,1
256,0,random,3.3,supported,0.75,0.7531952959485653,0.05205112374502882,160,1
256,0,random,3.3,supported,0.7999999999999999,0.8402841807157009,0.06181070944722173,190,1
256,0,random,3.3,supported,0.85,0.8998003492521942,0.0689677389621632,212,1
256,0,random,3.3,supported,0.9,0.969170835063152,0.0777513660941368,239,1
256,0,random,3.3,supported,0.95,0.969170835063152,0.0777513660941368,239,1
256,0,random,3.3,supported,0.99,0.9974273750028251,0.08230583942182683,253,1
256,0,random,3.3,paper,0.05,0.2876837675242137,0.025079080953560973,12,2
256,0,random,3.3,paper,0.1,0.3318096489186709,0.027996928138814277,24,2
256,0,random,3.3,paper,0.15,0.369471771263225,0.030914775324067577,36,2
256,0,random,3.3,paper,0.2,0.4150419214132206,0.033832622509320884,48,2
256,0,random,3.3,paper,0.25,0.4466838514794804,0.036750469694574184,60,2
256,0,random,3.3,paper,0.3,0.4724764472781543,0.03966831687982749,72,2
256,0,random,3.3,paper,0.35,0.5346737888126818,0.04404508765770745,90,2
256,0,random,3.3,paper,0.39999999999999997,0.5698918875430256,0.04696293484296075,102,2
256,0,random,3.3,paper,0.44999999999999996,0.615892281020511,0.04988078202821405,114,2
256,0,random,3.3,paper,0.49999999999999994,0.6618433827622474,0.06387924609762119,126,3
256,0,random,3.3,paper,0.5499999999999999,0.6820991892187818,0.05571647639872066,138,2
256,0,random,3.3,paper,0.6,0.7280502909605185,0.0697149404681278,150,3
256,0,random,3.3,paper,0.65,0.7600548246424972,0.0726327876533811,162,3
256,0,random,3.3,paper,0.7,0.793669965560938,0.0755506348386344,174,3
256,0,random,3.3,paper,0.75,0.8386671423183565,0.07992740561651436,192,3
256,0,random,3.3,paper,0.7999999999999999,0.8746648659800205,0.07176463591761384,204,2
256,0,random,3.3,paper,0.85,0.9171358191385395,0.08576309998702097,216,3
256,0,random,3.3,paper,0.9,0.9412465416155096,0.08868094717227427,228,3
256,0,random,3.3,paper,0.95,0.9775312477171675,0.09159879435752757,240,3
256,0,local,3.3,supported,0.05,0.2204875989944779,0.01181007868046716,3,1
256,0,local,3.3,supported,0.1,0.2204875989944779,0.01181007868046716,3,1
256,0,local,3.3,supported,0.15,0.2204875989944779,0.01181007868046716,3,1
256,0,local,3.3,supported,0.2,0.2204875989944779,0.01181007868046716,3,1
