n,trial,spatial_mode,cv,supported_points,scalarized_solve_calls
256,0,random,3.3,16,31
256,0,local,3.3,18,35
256,0,hot-cold,3.3,16,31
256,1,random,3.3,11,21
256,1,local,3.3,16,31
256,1,hot-cold,3.3,22,43
256,2,random,3.3,12,23
256,2,local,3.3,26,51
256,2,hot-cold,3.3,20,39
512,0,random,3.3,31,61
512,0,local,3.3,73,145
512,0,hot-cold,3.3,34,67
512,1,random,3.3,28,55
512,1,local,3.3,81,161
512,1,hot-cold,3.3,33,65
512,2,random,3.3,32,63
512,2,local,3.3,62,123
512,2,hot-cold,3.3,20,39
1024,0,random,3.3,63,125
1024,0,local,3.3,99,197
1024,0,hot-cold,3.3,60,119
1024,1,random,3.3,70,139
1024,1,local,3.3,150,299
1024,1,hot-cold,3.3,55,109
1024,2,random,3.3,66,131
1024,2,local,3.3,154,307
1024,2,hot-cold,3.3,58,115
2048,0,random,3.3,143,285
2048,0,local,3.3,307,613
2048,0,hot-cold,3.3,101,201
2048,1,random,3.3,115,229
2048,1,local,3.3,280,559
2048,1,hot-cold,3.3,99,197
2048,2,random,3.3,136,271
2048,2,local,3.3,296,591
2048,2,hot-cold,3.3,108,215
4096,0,random,3.3,259,517
4096,0,local,3.3,548,1095
4096,0,hot-cold,3.3,217,433
4096,1,random,3.3,257,513
4096,1,local,3.3,561,1121
4096,1,hot-cold,3.3,223,445
4096,2,random,3.3,256,511
4096,2,local,3.3,523,1045
4096,2,hot-cold,3.3,230,459
4864,0,random,3.3,305,609
4864,0,local,3.3,664,1327
4864,0,hot-cold,3.3,271,541
4864,1,random,3.3,273,545
4864,1,local,3.3,579,1157
4864,1,hot-cold,3.3,242,483
4864,2,random,3.3,302,603
4864,2,local,3.3,663,1325
4864,2,hot-cold,3.3,274,547
8192,0,random,3.3,521,1041
8192,0,local,3.3,1075,2149
8192,0,hot-cold,3.3,455,909
8192,1,random,3.3,512,1023
8192,1,local,3.3,1139,2277
8192,1,hot-cold,3.3,438,875
8192,2,random,3.3,533,1065
8192,2,local,3.3,1086,2171
8192,2,hot-cold,3.3,437,873
