latency_model,target_cv,spatial_mode,method,method_label,points,coverage_success_rate,fallback_rate,mean_saving_vs_paper_pct,mean_saving_vs_supported_pct,strict_win_rate_vs_paper,strict_win_rate_vs_supported
lookup,1.25,hot-cold,paper,Paper,60,1.0,0.05,0.0,-7.2081736149165785,0.0,0.13333333333333333
lookup,1.25,hot-cold,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,-0.05699213172887999,-7.271039056859843,0.25,0.13333333333333333
lookup,1.25,hot-cold,paper_bucket256,Paper bucket 256,60,1.0,0.05,-0.2575154943770395,-7.380135966584674,0.4166666666666667,0.13333333333333333
lookup,1.25,hot-cold,paper_bucket64,Paper bucket 64,60,1.0,0.05,-1.136272466776984,-8.187236917339442,0.3333333333333333,0.13333333333333333
lookup,1.25,hot-cold,supported_full,Full supported,60,1.0,0.0,5.9371578690665565,0.0,0.8666666666666667,0.0
lookup,1.25,hot-cold,td_2l_c16,TD-2L (16),60,1.0,0.0,5.9371578690665565,0.0,0.8666666666666667,0.0
lookup,1.25,hot-cold,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,11.163903659155043,4.910205631865754,1.0,1.0
lookup,1.25,hot-cold,td_2l_c32,TD-2L (32),60,1.0,0.0,5.9371578690665565,0.0,0.8666666666666667,0.0
lookup,1.25,hot-cold,td_2l_c4,TD-2L (4),60,1.0,0.0,-72.34003230150148,-78.23814623853809,0.18333333333333332,0.0
lookup,1.25,hot-cold,td_2l_c8,TD-2L (8),60,1.0,0.0,5.323688455906973,-0.6889218969527936,0.85,0.0
lookup,1.25,hot-cold,td_2l_c8_trim64,TD-2L (8) + trim 64,60,1.0,0.0,10.497091480283455,4.251056951422661,1.0,0.9
lookup,1.25,hot-cold,tiles_2s,Tiles (2s),60,1.0,0.0,-0.7315980725982708,-7.466959164673278,0.6666666666666666,0.11666666666666667
lookup,1.25,hot-cold,tiles_half_s,Tiles (s/2),60,1.0,0.0,4.779757219988229,-1.5093200628676833,0.9,0.31666666666666665
lookup,1.25,hot-cold,tiles_s,Tiles (s),60,1.0,0.0,2.9250827737072473,-3.838835792972601,0.8333333333333334,0.25
lookup,1.25,local,paper,Paper,60,1.0,0.05,0.0,-5.951545030353461,0.0,0.16666666666666666
lookup,1.25,local,paper_bucket1024,Paper bucket 1024,60,1.0,0.05,-0.002833529762567011,-5.952986885772223,0.23333333333333334,0.16666666666666666
lookup,1.25,local,paper_bucket256,Paper bucket 256,60,1.0,0.05,-0.4035171822068842,-6.4029993104215,0.3333333333333333,0.16666666666666666
lookup,1.25,local,paper_bucket64,Paper bucket 64,60,1.0,0.05,-1.5589646716046153,-7.638471746594367,0.3,0.16666666666666666
lookup,1.25,local,supported_full,Full supported,60,1.0,0.0,4.9880687442215175,0.0,0.8333333333333334,0.0
lookup,1.25,local,td_2l_c16,TD-2L (16),60,1.0,0.0,4.9880687442215175,0.0,0.8333333333333334,0.0
lookup,1.25,local,td_2l_c16_trim256,TD-2L (16) + trim 256,60,1.0,0.0,8.715218481662868,3.664031684475117,0.95,0.9166666666666666
lookup,1.25,local,td_2l_c32,TD-2L (32),60,1.0,0.0,4.9880687442215175,0.0,0.8333333333333334,0.0
lookup,1.25,local,td_2l_c4,TD-2L (4),60,1.0,0.0,-84.58696440156798,-93.01801799589862,0.16666666666666666,0.0
lookup,1.25,local,td_2l_c8,TD-2L (8),60,1.0,0.0,3.5145813135379713,-1.6040600094385067,0.7666666666666667,0.05
