latency_model,method,method_label,points,coverage_success_rate,fallback_rate,mean_saving_vs_paper_pct,median_saving_vs_paper_pct,strict_win_rate_vs_paper,mean_saving_vs_supported_pct,strict_win_rate_vs_supported
lookup,paper,Paper,540,1.0,0.037037037037037035,0.0,0.0,0.0,-9.392076993041774,0.1259259259259259
lookup,supported_full,Full supported,540,1.0,0.0,7.328492678217953,8.202274588673024,0.8740740740740741,0.0,0.0
lookup,td_2l_c4,TD-2L (4),540,1.0,0.0,-84.66675274151397,-33.848356278188504,0.17037037037037037,-99.1777833181873,0.0
lookup,td_2l_c8,TD-2L (8),540,1.0,0.0,6.37767137260679,7.301968502537209,0.8462962962962963,-1.0623002560510617,0.018518518518518517
lookup,td_2l_c16,TD-2L (16),540,1.0,0.0,7.328492678217953,8.202274588673024,0.8740740740740741,0.0,0.0
lookup,td_2l_c32,TD-2L (32),540,1.0,0.0,7.328492678217953,8.202274588673024,0.8740740740740741,0.0,0.0
lookup,td_2l_c8_trim64,TD-2L (8) + trim 64,540,1.0,0.0,11.147358868926942,10.390581115241249,0.9574074074074074,3.631698918104884,0.7962962962962963
lookup,td_2l_c16_trim256,TD-2L (16) + trim 256,540,1.0,0.0,12.167793511935377,11.036491854042662,0.9740740740740741,4.600091543885197,0.9388888888888889
lookup,tiles_half_s,Tiles (s/2),540,1.0,0.0,-4.149733878408497,-2.0834599013406896,0.4388888888888889,-13.098815303141917,0.10925925925925926
lookup,tiles_s,Tiles (s),540,1.0,0.0,-17.708869801346655,-7.428782517391596,0.3425925925925926,-27.929090872595033,0.08148148148148149
lookup,tiles_2s,Tiles (2s),540,1.0,0.0,-43.06335767421345,-16.04359350660726,0.24444444444444444,-55.56847672392517,0.04814814814814815
lookup,paper_bucket64,Paper bucket 64,540,1.0,0.05,-3.3554997351199836,-1.2402124324154218,0.2611111111111111,-13.047840773997338,0.12222222222222222
lookup,paper_bucket256,Paper bucket 256,540,1.0,0.04259259259259259,-1.0053758406968814,0.0,0.3388888888888889,-10.397469911951285,0.11666666666666667
lookup,paper_bucket1024,Paper bucket 1024,540,1.0,0.03888888888888889,-0.06519075719139139,0.0,0.23333333333333334,-9.465743046726963,0.12222222222222222
two_line,paper,Paper,540,1.0,0.037037037037037035,0.0,0.0,0.0,-12.676813790142548,0.08518518518518518
two_line,supported_full,Full supported,540,1.0,0.0,9.965508805248035,10.938951671015989,0.9148148148148149,0.0,0.0
two_line,td_2l_c4,TD-2L (4),540,1.0,0.0,-80.83143195176137,-29.754224375530658,0.21481481481481482,-101.19681984212426,0.0
two_line,td_2l_c8,TD-2L (8),540,1.0,0.0,9.043336393095853,9.74539185000815,0.8981481481481481,-1.0622222335998512,0.0
two_line,td_2l_c16,TD-2L (16),540,1.0,0.0,9.965508805248035,10.938951671015989,0.9148148148148149,0.0,0.0
two_line,td_2l_c32,TD-2L (32),540,1.0,0.0,9.965508805248035,10.938951671015989,0.9148148148148149,0.0,0.0
two_line,td_2l_c8_trim64,TD-2L (8) + trim 64,540,1.0,0.0,13.836731572810898,13.099718177406238,0.9740740740740741,3.8051662156024593,0.8148148148148148
two_line,td_2l_c16_trim256,TD-2L (16) + trim 256,540,1.0,0.0,14.777076671230235,13.788274497530395,0.9925925925925926,4.734561126230694,0.9574074074074074
two_line,tiles_half_s,Tiles (s/2),540,1.0,0.0,-3.5082515069436964,0.4815506216631793,0.5148148148148148,-15.50723391447273,0.09814814814814815
two_line,tiles_s,Tiles (s),540,1.0,0.0,-14.288607241573722,-2.5499222527700316,0.43333333333333335,-27.670185243184964,0.08333333333333333
two_line,tiles_2s,Tiles (2s),540,1.0,0.0,-38.752881753829065,-10.922031802488164,0.3037037037037037,-54.82338215804603,0.04814814814814815
two_line,paper_bucket64,Paper bucket 64,540,1.0,0.05,-3.491641447149506,-1.9362612651941835,0.22962962962962963,-16.512854806775348,0.08888888888888889
two_line,paper_bucket256,Paper bucket 256,540,1.0,0.04259259259259259,-1.154314967110532,0.0,0.31851851851851853,-13.875292358915802,0.07777777777777778
two_line,paper_bucket1024,Paper bucket 1024,540,1.0,0.03888888888888889,-0.08644025324980893,0.0,0.22962962962962963,-12.775574463984691,0.08333333333333333
