n,trial,spatial_mode,scenario,track,target_fraction,target_importance,row_budget_fraction,row_budget,top_row_budget_importance,row_budget_intrinsically_feasible,method,method_label,family,repetition,runtime_ms,deadline_met,valid,error
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,0,4.533354,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,1,4.322991,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,2,4.391379,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,3,4.444508,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,4,4.442374,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,5,4.425863,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,6,3.84128,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,7,3.354551,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,8,3.402942,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,9,3.759387,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,10,4.851809,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,11,4.339752,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,12,3.934284,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,13,3.991722,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,14,5.913243,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,15,3.997563,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,16,4.141862,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,17,3.661825,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,18,4.978286,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,19,4.852461,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,20,4.167811,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,21,3.882687,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,22,4.326548,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,23,4.045182,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,24,3.791217,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,25,4.856277,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,26,11.746417,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,27,8.742231,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,28,7.88533,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,paper,Paper,paper,29,8.10989,False,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,0,1.361185,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,1,1.238105,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,2,1.366254,True,True,
4864,0,random,0,coverage,0.5,0.5,0.25,1216,0.8216668501228495,True,incumbent_td16_trim256,TD-2L (16) + trim 256,incumbent,3,1.884452,True,True,
