track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,coverage_success_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_saving_vs_paper_pct_mean_valid,lookup_saving_vs_paper_pct_median_valid,lookup_saving_vs_paper_pct_weighted_valid,lookup_win_rate_valid,lookup_nonregression_rate_valid,lookup_regression_cases_valid,lookup_saving_vs_paper_pct_min_valid,two_line_saving_vs_paper_pct_mean_valid,lookup_trim_gain_pct_mean_valid,two_line_trim_gain_pct_mean_valid,trim_lookup_regression_rate_valid,rows_delta_vs_paper_mean_valid,trim_deletions_mean,scalarized_calls_median
host,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2016445,0.3149308625,0.6452053999999985,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,,,0.0,0.0,0.0
host,896x896,896,896,1.75,predict_correct_c8,Predicted-lambda TD-2L(8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.09580625000000001,0.1781549374999999,0.4798059499999999,-4.219923737840268,-0.8340718133987512,-2.4505373308846945,0.4479166666666667,0.4479166666666667,53,-37.07493201201388,-1.1262882876985227,,,,51.479166666666664,0.0,6.0
host,896x896,896,896,1.75,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20192,0.320059725,0.5357635499999991,3.475073729877755,3.968232781495723,3.5933918270272924,0.7916666666666666,0.7916666666666666,20,-18.82478040727229,5.948514588184987,6.909486133290507,6.580289405351588,0.010416666666666666,17.9375,33.541666666666664,6.0
host,896x896,896,896,1.75,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.19614674999999998,0.4329252,0.6668889499999998,5.255081354090401,5.025848061521804,5.096260885105231,0.9270833333333334,0.9270833333333334,7,-2.89355157388107,7.525814580823918,8.388457666894835,7.937253517991241,0.010416666666666666,9.208333333333334,42.270833333333336,6.0
cuda,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.22843174999999993,0.38335202499999965,0.4530126499999992,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,,,0.0,0.0,0.0
cuda,896x896,896,896,1.75,predict_correct_c8,Predicted-lambda TD-2L(8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1520564999999999,0.3512181749999995,0.5969548999999983,-4.219923737840268,-0.8340718133987512,-2.4505373308846945,0.4479166666666667,0.4479166666666667,53,-37.07493201201388,-1.1262882876985227,,,,51.479166666666664,0.0,6.0
cuda,896x896,896,896,1.75,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.26867725,0.39939984999999995,0.5707900999999996,3.475073729877755,3.968232781495723,3.5933918270272924,0.7916666666666666,0.7916666666666666,20,-18.82478040727229,5.948514588184987,6.909486133290507,6.580289405351588,0.010416666666666666,17.9375,33.541666666666664,6.0
cuda,896x896,896,896,1.75,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.27209099999999997,0.5665069874999998,0.61038825,5.255081354090401,5.025848061521804,5.096260885105231,0.9270833333333334,0.9270833333333334,7,-2.89355157388107,7.525814580823918,8.388457666894835,7.937253517991241,0.010416666666666666,9.208333333333334,42.270833333333336,6.0
host,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.13842874999999993,0.2120270374999999,0.478860549999999,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,,,0.0,0.0,0.0
host,896x128,896,128,0.25,predict_correct_c8,Predicted-lambda TD-2L(8),96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.052330249999999995,0.0920139374999999,0.1087111499999999,-48.0232361047351,-18.6137089259258,-30.182979993446946,0.3020833333333333,0.3020833333333333,67,-127.47757690069702,-42.98851790779065,,,,433.6770833333333,0.0,2.0
host,896x128,896,128,0.25,predict_correct_c8_trim64,Predicted-lambda TD-2L(8) + trim 64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.207831,0.26738375,0.4861326999999987,-38.446499102332524,-10.474784040058182,-21.784792463316304,0.3020833333333333,0.3020833333333333,67,-112.64685083711652,-35.39205943399228,6.44454651479754,5.331980593895638,0.0,369.6770833333333,64.0,2.0
host,896x128,896,128,0.25,predict_correct_c8_trim256,Predicted-lambda TD-2L(8) + trim 256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6000840000000001,0.7388947499999998,0.9524322499999994,-11.36811003135282,13.079843951701564,0.8935351418204451,0.625,0.625,36,-66.69151931751446,-14.404706783298918,23.82235406822242,19.40619164348713,0.0,200.36458333333334,233.3125,2.0
cuda,896x128,896,128,0.25,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.159508,0.24876549999999992,0.5583521499999982,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,,,,0.0,0.0,0.0
