shape,n,d,start_kib,jump_kib,row_size_kib,a_ms,c1_ms_per_row,c2_ms_per_row,d_ms_per_excess_row,saturation_kib,saturation_rows,short_max_rows,r_squared,mape_pct
3584x3584,3584,3584,20.0,20.0,7.0,0.011080616884153835,0.0009726157284177679,0.0013012780936257206,0.0003286623652079527,236.0,33.714285714285715,33,0.9876264166468851,4.107508659415217
8960x1536,8960,1536,16.0,16.0,3.0,0.011080616884153844,0.00041683531217904325,0.0005576906115538802,0.000140855299374837,236.0,78.66666666666667,78,0.9876264166468851,4.107508659415214
896x4864,896,4864,8.0,8.0,9.5,0.011080616884153838,0.001319978488566971,0.0017660202699206213,0.0004460417813536503,236.0,24.842105263157894,24,0.9876264166468851,4.107508659415217
4096x1024,4096,1024,12.0,12.0,2.0,0.011080616884153831,0.00027789020811936233,0.0003717937410359202,9.390353291655789e-05,236.0,118.0,118,0.9876264166468851,4.1075086594152195
3584x18944,3584,18944,8.0,8.0,37.0,0.011080616884153835,0.0051409688502082,0.0068781842091645215,0.0017372153589563216,236.0,6.378378378378378,6,0.9876264166468851,4.107508659415216
4096x4096,4096,4096,20.0,20.0,8.0,0.011080616884153831,0.0011115608324774493,0.0014871749641436809,0.00037561413166623155,236.0,29.5,29,0.9876264166468851,4.1075086594152195
18944x3584,18944,3584,32.0,32.0,7.0,0.011080616884153835,0.0009726157284177679,0.0013012780936257206,0.0003286623652079527,236.0,33.714285714285715,33,0.9876264166468851,4.107508659415217
1536x1536,1536,1536,16.0,12.0,3.0,0.011080616884153844,0.00041683531217904325,0.0005576906115538802,0.000140855299374837,236.0,78.66666666666667,78,0.9876264166468851,4.107508659415214
1536x256,1536,256,8.0,8.0,0.5,0.011080616884153831,6.947255202984058e-05,9.294843525898005e-05,2.347588322913947e-05,236.0,472.0,472,0.9876264166468851,4.1075086594152195
896x128,896,128,8.0,8.0,0.25,0.011080616884153831,3.473627601492029e-05,4.647421762949003e-05,1.1737941614569736e-05,236.0,944.0,944,0.9876264166468851,4.1075086594152195
14336x4096,14336,4096,32.0,32.0,8.0,0.011080616884153831,0.0011115608324774493,0.0014871749641436809,0.00037561413166623155,236.0,29.5,29,0.9876264166468851,4.1075086594152195
4864x896,4864,896,12.0,16.0,1.75,0.011080616884153835,0.00024315393210444196,0.00032531952340643014,8.216559130198818e-05,236.0,134.85714285714286,134,0.9876264166468851,4.107508659415217
3584x512,3584,512,8.0,12.0,1.0,0.011080616884153831,0.00013894510405968117,0.0001858968705179601,4.695176645827894e-05,236.0,236.0,236,0.9876264166468851,4.1075086594152195
896x896,896,896,8.0,8.0,1.75,0.011080616884153835,0.00024315393210444196,0.00032531952340643014,8.216559130198818e-05,236.0,134.85714285714286,134,0.9876264166468851,4.107508659415217
4096x14336,4096,14336,8.0,8.0,28.0,0.011080616884153835,0.0038904629136710714,0.005205112374502882,0.0013146494608318108,236.0,8.428571428571429,8,0.9876264166468851,4.107508659415217
1536x8960,1536,8960,8.0,8.0,17.5,0.011080616884153844,0.0024315393210444193,0.0032531952340643018,0.0008216559130198825,236.0,13.485714285714286,13,0.9876264166468851,4.107508659415214
