track,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
host,paper,Paper,432,432,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.29176250000000004,0.5493497125,0.9161850999999984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375
host,top_r,Top-R,432,432,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0310505,0.14905299749999995,0.19081905,-62.21820334238736,-70.33379140637777,0.0,-60.54739411759577,0.0,14.143965271409728,1.0,-779.967818355149,-149.44190784957598,0.0,0.0,-6.25415222448421,-0.25842575,0.018518518518518517,0.0,0.0,0.0,0.0,0.4375
host,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",432,432,1.0,1.0,0.9282407407407407,0.9282407407407407,1.0,0.0,0.0,0.42799475,2.2820767399999986,3.8833744,3.709177393139996,4.29027131315226,0.8148148148148148,5.804828514716316,0.8564814814814815,0.6763016033733273,0.3287037037037037,-8.932787340198688,5.4798387186440145,0.8611111111111112,0.2222222222222222,0.22933155769477429,0.12135950000000001,0.47685185185185186,4.0,660.1851851851852,0.0,0.0023148148148148147,0.4375
host,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",432,432,1.0,1.0,0.8773148148148148,0.8773148148148148,1.0,0.0,0.0,0.60604525,3.0843531699999978,4.71705915,2.7732483852672516,4.170839675271054,0.8078703703703703,4.942928075657853,0.8495370370370371,1.672348157895885,0.3611111111111111,-12.6164021945003,5.417599013278085,0.8402777777777778,0.23148148148148148,0.22672682253469198,0.27689975,0.3125,8.0,631.7893518518518,0.0,0.0,0.4375
host,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",432,432,1.0,1.0,0.8379629629629629,0.8379629629629629,1.0,0.0,0.0,0.8070735,4.099446344999998,6.6119597,7.401901183453055,5.2841433792292,0.8726851851851852,9.50131057717756,0.9143518518518519,-3.022466501955862,0.19212962962962962,8.788589656690801,7.133912234203832,0.9537037037037037,0.18055555555555555,0.2985546270844646,0.49066725,0.24074074074074073,8.0,1441.798611111111,0.0,0.0,0.4375
cuda,paper,Paper,432,432,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.30937575,0.5756987299999999,0.7956485999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375
cuda,top_r,Top-R,432,432,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0629075,0.21240885999999998,0.2526441,-62.21820334238736,-70.33379140637777,0.0,-60.54739411759577,0.0,14.143965271409728,1.0,-779.967818355149,-149.44190784957598,0.0,0.0,-6.25415222448421,-0.24603499999999995,0.011574074074074073,0.0,0.0,0.0,0.0,0.4375
cuda,fixed_r_mu4,"Fixed-R 2L (rho1, mu4)",432,432,1.0,1.0,0.9143518518518519,0.9143518518518519,1.0,0.0,0.0,0.497778,2.382696177499999,4.07775815,3.709177393139996,4.29027131315226,0.8148148148148148,5.804828514716316,0.8564814814814815,0.6763016033733273,0.3287037037037037,-8.932787340198688,5.4798387186440145,0.8611111111111112,0.2222222222222222,0.22933155769477429,0.17401275,0.35648148148148145,4.0,660.1851851851852,0.0,0.0023148148148148147,0.4375
cuda,fixed_r_mu8,"Fixed-R 2L (rho1, mu8)",432,432,1.0,1.0,0.8657407407407407,0.8657407407407407,1.0,0.0,0.0,0.68783375,3.1926250274999988,5.0769241,2.7732483852672516,4.170839675271054,0.8078703703703703,4.942928075657853,0.8495370370370371,1.672348157895885,0.3611111111111111,-12.6164021945003,5.417599013278085,0.8402777777777778,0.23148148148148148,0.22672682253469198,0.36155574999999995,0.26157407407407407,8.0,631.7893518518518,0.0,0.0,0.4375
cuda,fixed_r_d2_mu4,"Fixed-R 2L (rho2, mu4)",432,432,1.0,1.0,0.8379629629629629,0.8379629629629629,1.0,0.0,0.0,0.8916692500000001,4.2968583675,6.91455665,7.401901183453055,5.2841433792292,0.8726851851851852,9.50131057717756,0.9143518518518519,-3.022466501955862,0.19212962962962962,8.788589656690801,7.133912234203832,0.9537037037037037,0.18055555555555555,0.2985546270844646,0.5632275,0.2037037037037037,8.0,1441.798611111111,0.0,0.0,0.4375
