track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean,frontier_candidates_mean,eligible_candidates_mean,trim_work_deletions_mean,minimum_overfill_median
host,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.20513125,0.332218,0.5966650499999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x896,896,896,1.75,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010304,0.0150405124999999,0.0175530999999999,-88.61820565014204,-89.98313878656751,0.0,-88.54975240767764,0.0,24.257214403393576,1.0,-1152.1851666791572,-996.515379574992,0.0,0.0,-1.6237841940458662,-0.195583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x896,896,896,1.75,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25677,0.4016270999999999,0.6519506499999996,0.9824764583486534,1.6129290635391258,0.6458333333333334,2.3783000145251223,0.6770833333333334,-3.6630070832557258,0.125,4.16710303155553,3.953283634949245,0.78125,0.09375,0.006441726452579746,0.05076700000000001,0.09375,8.0,486.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x896,896,896,1.75,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.697368,0.9313128124999995,1.3487948499999998,1.792015368794144,4.794494126575122,0.8020833333333334,3.9550108769991303,0.8229166666666666,0.15958501451957613,0.4583333333333333,-2.0956311182344254,-0.028197246503736118,0.7916666666666666,0.2708333333333333,-4.594634877376549e-05,0.4944592499999999,0.0,32.0,47.354166666666664,0.0,0.0,0.0,3.3854166666666665,3.3854166666666665,87.875,6.0
host,896x896,896,896,1.75,frontier16_trim256,Frontier16 + adaptive trim256,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8042805,1.0706075625,1.387296,5.689698007776048,5.313038934466608,0.90625,7.937963398414698,0.9479166666666666,-2.0476314546243404,0.28125,7.131470317968067,6.571543370827326,0.9479166666666666,0.25,0.010708081856787151,0.5972255000000002,0.0,32.0,142.0625,0.0,0.0,0.0,5.927083333333333,5.927083333333333,449.1354166666667,6.0
host,896x896,896,896,1.75,frontier24_trim256_rho3,Frontier24 + adaptive trim256 + rho3,96,96,1.0,1.0,0.9895833333333334,0.9895833333333334,1.0,0.0,0.0,1.3954102499999999,1.7999306499999996,2.25739135,6.012333647393981,5.844798846993815,0.9375,8.251271902203877,0.96875,-2.4097041882777526,0.25,7.773859748714003,6.919992762366601,0.96875,0.22916666666666666,0.011275866986854774,1.1839197500000003,0.0,72.0,208.60416666666666,0.0,0.0,0.0,8.572916666666666,8.572916666666666,697.1458333333334,5.5
cuda,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.22498775,0.3094892374999999,0.3839671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x896,896,896,1.75,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.036342999999999945,0.05045857499999998,0.2690305499999998,-88.61820565014204,-89.98313878656751,0.0,-88.54975240767764,0.0,24.257214403393576,1.0,-1152.1851666791572,-996.515379574992,0.0,0.0,-1.6237841940458662,-0.18894524999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x896,896,896,1.75,legacy_rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.328148,0.46998548749999997,0.6282694499999985,0.9824764583486534,1.6129290635391258,0.6458333333333334,2.3783000145251223,0.6770833333333334,-3.6630070832557258,0.125,4.16710303155553,3.953283634949245,0.78125,0.09375,0.006441726452579746,0.10058550000000001,0.0,8.0,486.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuda,896x896,896,896,1.75,frontier16_trim64,Frontier16 + adaptive trim64,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7884985,1.005597575,1.1878780999999985,1.792015368794144,4.794494126575122,0.8020833333333334,3.9550108769991303,0.8229166666666666,0.15958501451957613,0.4583333333333333,-2.0956311182344254,-0.028197246503736118,0.7916666666666666,0.2708333333333333,-4.594634877376549e-05,0.5597235,0.0,32.0,47.354166666666664,0.0,0.0,0.0,3.3854166666666665,3.3854166666666665,87.875,6.0
