logical_request_kb,latency_ms,logical_throughput_mib_s
1,0.0106055308,92.0804925
2,0.00931466027,209.682902
3,0.0127402792,229.954733
4,0.00915012573,426.906702
5,0.0115431772,423.004205
6,0.0115343656,507.992829
7,0.0121407004,563.059565
8,0.0116777412,669.007803
9,0.0127099094,691.5126
10,0.0124746575,782.837121
11,0.0128642124,835.044323
12,0.0123990898,945.129856
13,0.0133086281,953.915943
14,0.0132404537,1032.58357
15,0.013690519,1069.96948
16,0.0136447339,1145.13043
17,0.0141177999,1175.93128
18,0.0141008671,1246.59887
19,0.0146288971,1268.3586
20,0.0141691846,1378.43147
21,0.0150815142,1359.79797
22,0.0151008831,1422.72309
23,0.015416357,1456.95494
24,0.0148552187,1577.72837
25,0.0156542822,1559.57726
26,0.0157764255,1609.4029
27,0.0163907559,1608.66208
28,0.0159298572,1716.50942
29,0.0161865816,1749.61664
30,0.0162447374,1803.46867
31,0.0167266237,1809.89529
32,0.0172978073,1806.58735
33,0.0166058963,1940.66986
34,0.0168727254,1967.85784
35,0.0170302397,2006.99979
36,0.0168227311,2089.80634
37,0.0177976245,2030.20423
38,0.0170858398,2171.93743
39,0.0174100598,2187.58223
40,0.0175949219,2220.1008
41,0.0176258331,2271.61249
42,0.0175118249,2342.16738
43,0.0179688532,2336.9431
44,0.0180498568,2380.55905
45,0.0185836469,2364.73028
46,0.0187709576,2393.15841
47,0.0186466363,2461.48618
48,0.0190818542,2456.52228
49,0.0188561038,2537.72269
50,0.0200595948,2434.15311
51,0.0200872323,2479.4201
52,0.0203587203,2494.32426
53,0.0212310729,2437.83311
54,0.0210190166,2508.88878
55,0.0204571276,2625.53662
56,0.0203254591,2690.59113
57,0.0201180213,2766.87562
58,0.0199799113,2834.87871
59,0.0193895966,2971.55164
60,0.0192592113,3042.37537
61,0.0205796548,2894.62157
62,0.0198607508,3048.56929
63,0.019888084,3093.48239
64,0.0197695608,3161.42582
65,0.0204159515,3109.16504
66,0.0203783005,3162.83123
67,0.0201121063,3253.24889
68,0.0203081321,3269.93392
69,0.0210651742,3198.77784
70,0.0210018197,3254.92629
71,0.0213057948,3254.32298
72,0.020802736,3379.96406
73,0.0214125082,3329.31863
74,0.0221383334,3264.27576
75,0.0222886078,3286.08175
76,0.0214738356,3456.24095
77,0.0218774737,3437.11132
78,0.0220451183,3455.27178
79,0.0225045814,3428.12143
80,0.0221749998,3523.11165
81,0.0227288159,3480.23245
82,0.0227503143,3519.86896
83,0.0232684745,3483.45516
84,0.0230313098,3561.72753
85,0.0241341451,3439.43455
86,0.024483765,3430.20671
87,0.0243067047,3495.37045
88,0.0244760333,3511.08772
89,0.0249755306,3479.96862
90,0.0253036641,3473.4347
91,0.0254980268,3485.25744
92,0.0260584339,3447.78011
93,0.0263624189,3445.06749
94,0.0269885621,3401.32515
95,0.0273450937,3392.69043
96,0.0276794836,3386.98515
97,0.0278896217,3396.48072
98,0.0269393262,3552.54339
99,0.0267723429,3611.1777
100,0.026675088,3660.95325
101,0.0263224371,3747.10031
102,0.0265090903,3757.55538
103,0.0272739259,3687.98895
104,0.0264555408,3838.98786
105,0.0273584139,3747.99003
106,0.0261535983,3957.98787
107,0.0264498482,3950.57797
108,0.0265112445,3978.26476
109,0.0289043066,3682.68003
110,0.0277237005,3874.73076
111,0.0271368525,3994.51033
112,0.0263276964,4154.3703
113,0.0261142588,4225.72064
114,0.0262326871,4243.87043
115,0.0268762129,4178.59048
116,0.026699009,4242.90093
117,0.027246697,4193.45555
118,0.0271503877,4244.29943
119,0.0273686758,4246.12935
120,0.0271029493,4323.79143
121,0.028073685,4209.06848
122,0.0278312755,4280.81799
123,0.0275808311,4355.09674
124,0.0268822268,4504.60265
125,0.0278782977,4378.68602
126,0.0281537509,4370.53221
127,0.0280604401,4419.86787
128,0.0281456454,4441.18436
129,0.0288538364,4366.02471
130,0.0288256728,4404.16867
131,0.0291258453,4392.30815
132,0.028824748,4472.06858
133,0.0294158639,4415.40024
134,0.0298614519,4382.21743
135,0.0297982652,4424.2823
136,0.0291667737,4553.55472
137,0.0302335751,4425.18168
138,0.0314896843,4279.67533
139,0.0306811664,4424.2838
140,0.0298516292,4579.94266
141,0.030449092,4522.1484
142,0.0300097397,4620.89563
143,0.0310713006,4494.45098
144,0.0296599912,4741.23538
145,0.0303724193,4662.17593
146,0.0301655525,4726.52126
147,0.0302826776,4740.48859
148,0.0298295506,4845.23726
149,0.0300439814,4843.16012
150,0.0312175484,4692.3728
151,0.0318284461,4632.99204
152,0.0310415502,4781.89713
153,0.0316964027,4713.9123
154,0.0315092884,4772.89817
155,0.0312243788,4847.72455
156,0.0308733595,4934.47271
157,0.0312509971,4906.09346
158,0.0314889001,4900.04015
159,0.0320732539,4841.2125
160,0.0330714872,4724.61365
161,0.0323478693,4860.49209
162,0.0321950823,4913.891
163,0.0322767243,4931.71754
164,0.0319441378,5013.63509
165,0.033128101,4863.93146
166,0.0326595313,4963.61609
167,0.032649907,4994.98935
168,0.0319786246,5130.38012
169,0.0328720589,5020.64878
170,0.0331338392,5010.45544
171,0.0337132557,4953.30944
172,0.0343403011,4891.30103
173,0.0351183046,4810.74797
174,0.034565111,4915.99391
175,0.034115293,5009.43777
176,0.0338467459,5078.03618
177,0.0352496849,4903.63426
178,0.0357274286,4865.39703
179,0.0349298976,5004.44318
180,0.0344023615,5109.5693
181,0.0350093168,5048.87923
182,0.0350375181,5072.68735
183,0.0350117192,5104.31769
184,0.0344153549,5221.14331
185,0.0352639341,5123.19647
186,0.0351591493,5166.24061
187,0.0352566432,5179.65328
188,0.0344845016,5323.94964
189,0.0356301895,5180.16645
190,0.0356084695,5210.75119
191,0.0355004833,5254.1098
192,0.0353067935,5310.5927
193,0.0358237288,5261.22123
