track,method,method_label,rho_iterations,mu_calls,maximum_scalarized_calls,lookup_efficiency_delta_vs_rho2_mu4_pct_mean,lookup_efficiency_win_rate_vs_rho2_mu4,lookup_efficiency_equal_rate_vs_rho2_mu4,lookup_efficiency_loss_rate_vs_rho2_mu4
host,rho2_mu4,Exp24 rho2/mu4,2,4,8,0.0,0.0,1.0,0.0
host,rho2_mu8,Exp24 rho2/mu8,2,8,16,1.5191198533969346,0.4661458333333333,0.4375,0.09635416666666667
host,rho2_mu16,Exp24 rho2/mu16,2,16,32,2.9276590186410716,0.7135416666666666,0.22395833333333334,0.0625
host,rho3_mu8,Exp24 rho3/mu8,3,8,24,1.8803246450607851,0.4869791666666667,0.421875,0.09114583333333333
host,rho3_mu16,Exp24 rho3/mu16,3,16,48,4.177789018455676,0.7213541666666666,0.2552083333333333,0.0234375
host,rho4_mu16,Exp24 rho4/mu16,4,16,64,4.18696948973185,0.7213541666666666,0.2552083333333333,0.0234375
host,rho4_mu32,Exp24 rho4/mu32,4,32,128,4.208690557367455,0.7213541666666666,0.2552083333333333,0.0234375
cuda,rho2_mu4,Exp24 rho2/mu4,2,4,8,0.0,0.0,1.0,0.0
cuda,rho2_mu8,Exp24 rho2/mu8,2,8,16,1.5191198533969346,0.4661458333333333,0.4375,0.09635416666666667
cuda,rho2_mu16,Exp24 rho2/mu16,2,16,32,2.9276590186410716,0.7135416666666666,0.22395833333333334,0.0625
cuda,rho3_mu8,Exp24 rho3/mu8,3,8,24,1.8803246450607851,0.4869791666666667,0.421875,0.09114583333333333
cuda,rho3_mu16,Exp24 rho3/mu16,3,16,48,4.177789018455676,0.7213541666666666,0.2552083333333333,0.0234375
cuda,rho4_mu16,Exp24 rho4/mu16,4,16,64,4.18696948973185,0.7213541666666666,0.2552083333333333,0.0234375
cuda,rho4_mu32,Exp24 rho4/mu32,4,32,128,4.208690557367455,0.7213541666666666,0.2552083333333333,0.0234375
