track,shape,n,d,row_size_kib,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
host,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21343675,0.33985165,0.4390695499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
host,896x896,896,896,1.75,top_r,Top-R,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010399249999999999,0.0162867874999999,0.0180035,-88.61820565014204,-89.98313878656751,0.0,-88.54975240767764,0.0,24.257214403393576,1.0,-1152.1851666791572,-996.515379574992,0.0,0.0,-1.6237841940458662,-0.20338499999999998,0.0,0.0,0.0,0.0,0.0,0.0
host,896x896,896,896,1.75,rho2_mu4,Exp24 rho2/mu4,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25222375,0.42161669999999984,0.76345515,0.9824764583486534,1.6129290635391258,0.6458333333333334,2.3783000145251223,0.6770833333333334,-3.6630070832557258,0.125,4.16710303155553,3.953283634949245,0.78125,0.09375,0.006441726452579746,0.03710699999999999,0.13541666666666666,8.0,486.625,0.0,0.0,0.0
host,896x896,896,896,1.75,rho2_mu8,Exp24 rho2/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.3073795,0.5381040249999998,0.68023355,3.682338904191999,4.372917194584714,0.8020833333333334,5.560515369664407,0.8229166666666666,-2.2303961482693277,0.3020833333333333,5.360786179658084,5.26961840369693,0.84375,0.2708333333333333,0.008586644268576847,0.0964825,0.0,16.0,173.85416666666666,0.0,0.0,0.0
host,896x896,896,896,1.75,rho2_mu16,Exp24 rho2/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.46627125,0.7089586874999999,1.15590715,5.60064707091625,4.965590939939613,0.9166666666666666,7.801073876478822,0.9583333333333334,-1.7389214032622526,0.3020833333333333,6.757884971858295,6.350086521593878,0.9479166666666666,0.2604166666666667,0.010347226280627503,0.2604390000000001,0.0,32.0,54.729166666666664,0.0,0.0,0.0
host,896x896,896,896,1.75,rho3_mu8,Exp24 rho3/mu8,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.45769525,0.77000095,1.16391545,4.3754451461546795,4.70368515070223,0.8229166666666666,6.296317521021119,0.8645833333333334,-2.351444802534152,0.2916666666666667,6.167805197409218,5.7023415309284236,0.8854166666666666,0.2604166666666667,0.009291750269746931,0.24593749999999998,0.0,24.0,288.25,0.0,0.0,0.0
host,896x896,896,896,1.75,rho3_mu16,Exp24 rho3/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.7309485,0.9820909374999998,1.3080870999999998,5.9530893841428805,5.355350699122519,0.9479166666666666,8.168146850946393,0.9791666666666666,-2.451156634797197,0.23958333333333334,7.764207844046703,6.8937156523499965,0.9791666666666666,0.21875,0.011233049428004483,0.51470175,0.0,48.0,106.94791666666667,0.0,0.0,0.0
host,896x896,896,896,1.75,rho4_mu16,Exp24 rho4/mu16,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9218905,1.3043125,1.556136249999999,5.982694337656951,5.477858273199255,0.9479166666666666,8.203779873448172,0.9791666666666666,-2.425307183951102,0.23958333333333334,7.764336843009776,6.893785056594592,0.9791666666666666,0.21875,0.011233162519601136,0.7076470000000001,0.0,64.0,159.25,0.0,0.0,0.0
host,896x896,896,896,1.75,rho4_mu32,Exp24 rho4/mu32,96,96,1.0,1.0,0.9166666666666666,0.9166666666666666,1.0,0.0,0.0,1.517636,2.1465848625,2.698238449999999,5.982694337656951,5.477858273199255,0.9479166666666666,8.203779873448172,0.9791666666666666,-2.425307183951102,0.23958333333333334,7.764336843009776,6.893785056594592,0.9791666666666666,0.21875,0.011233162519601136,1.3057172500000003,0.0,128.0,158.54166666666666,0.0,0.0,0.0
cuda,896x896,896,896,1.75,paper,Paper,96,96,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23121724999999999,0.3563069749999999,0.56728705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
