track,method,method_label,cases,valid_cases,valid_rate,exact_row_match_rate,deadline_pass_rate,valid_and_deadline_pass_rate,deterministic_rate,fallback_rate,error_rate,runtime_median_ms,runtime_case_p95_ms,runtime_worst_case_p95_ms,lookup_efficiency_gain_pct_mean_valid,lookup_efficiency_gain_pct_median_valid,lookup_efficiency_win_rate_valid,two_line_efficiency_gain_pct_mean_valid,two_line_efficiency_win_rate_valid,importance_gain_pct_mean_valid,importance_nonregression_rate_valid,lookup_saving_pct_mean_valid,lookup_saving_pct_weighted_valid,lookup_nonregression_rate_valid,pareto_nonregression_rate_valid,lookup_saving_abs_ms_mean_valid,selector_overhead_median_ms_median_valid,mixed_net_win_rate_valid,scalarized_calls_median,repair_deletions_mean,repair_additions_mean,returned_top_r_rate,paper_underfill_rows_mean
host,paper,Paper,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.23905674999999993,0.40315008249999973,0.5143238499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
host,top_r,Top-R,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.010832999999999999,0.053168859999999915,0.0633088999999999,-86.5317718018518,-91.3132983445873,0.0,-85.8585576571137,0.0,25.567620185179322,1.0,-2295.855072596003,-873.3573289723668,0.0,0.0,-4.098658124095245,-0.21067899999999995,0.0,0.0,0.0,0.0,0.0,0.5
host,rho2_mu4,Exp24 rho2/mu4,384,384,1.0,1.0,0.9322916666666666,0.9322916666666666,1.0,0.0,0.0,0.273401,2.2497224249999994,2.8995242,3.4391418645981795,-0.08177220153200437,0.4895833333333333,4.812467746838654,0.5963541666666666,-3.519567965025791,0.09114583333333333,5.524945932829842,0.8416966238576684,0.7421875,0.046875,0.003950074718508302,0.08927699999999995,0.203125,8.0,1468.6640625,0.0,0.0,0.5
host,rho2_mu8,Exp24 rho2/mu8,384,384,1.0,1.0,0.8125,0.8125,1.0,0.0,0.0,0.32563875,2.5856346625,3.75952825,4.812387404907399,1.7916306063615717,0.6640625,6.304374963343257,0.734375,-1.9356184596078505,0.2552083333333333,5.142695966738452,1.1807292504380396,0.7890625,0.1953125,0.005541151799068306,0.13328175000000006,0.0625,16.0,710.6458333333334,0.0,0.0,0.5
host,rho2_mu16,Exp24 rho2/mu16,384,384,1.0,1.0,0.75,0.75,1.0,0.0,0.0,0.48694024999999996,3.3998341675,4.9220644,6.221048597202201,3.2474045446749478,0.8958333333333334,8.472173495110063,0.9088541666666666,-1.2169965515204961,0.3619791666666667,4.7579736320525265,3.6246145923117035,0.9479166666666666,0.3151041666666667,0.017010283823887796,0.26930325000000005,0.0,32.0,95.8671875,0.0,0.0,0.5
host,rho3_mu8,Exp24 rho3/mu8,384,384,1.0,1.0,0.75,0.75,1.0,0.0,0.0,0.4978205,3.798826224999999,4.6125348,5.153182481434386,1.814001177392166,0.671875,6.687585063837993,0.7447916666666666,-2.0527369936823425,0.23958333333333334,5.69292306314959,1.3040086283995111,0.8072916666666666,0.19270833333333334,0.0061197008158947915,0.29052249999999996,0.0,24.0,1245.7890625,0.0,0.0,0.5
host,rho3_mu16,Exp24 rho3/mu16,384,384,1.0,1.0,0.75,0.75,1.0,0.0,0.0,0.7485390000000001,4.8373318575,6.37674665,7.372324352906607,3.3154328420744172,0.90625,9.53202382674205,0.9140625,-2.087641965053923,0.2994791666666667,7.938963766555546,3.8788334944304115,0.9947916666666666,0.2942708333333333,0.018203330855042176,0.546867,0.0,48.0,231.94010416666666,0.0,0.0,0.5
host,rho4_mu16,Exp24 rho4/mu16,384,384,1.0,1.0,0.7473958333333334,0.7473958333333334,1.0,0.0,0.0,0.949547,6.336454345,8.35239175,7.381507171497287,3.3154328420744172,0.90625,9.545831769738792,0.9140625,-2.0834891207627266,0.296875,7.942996856880677,3.882374807271405,0.9947916666666666,0.2916666666666667,0.018219950204493077,0.756316,0.0,64.0,368.28125,0.0,0.0,0.5
host,rho4_mu32,Exp24 rho4/mu32,384,384,1.0,1.0,0.6927083333333334,0.6927083333333334,1.0,0.0,0.0,1.5482482499999999,9.279352442499999,13.337340099999995,7.4023478651508725,3.3640071747746636,0.90625,9.581038522297716,0.9140625,-2.0838572578315784,0.3072916666666667,7.962925573106883,3.914093482894121,0.9947916666666666,0.3020833333333333,0.018368805665154916,1.310657,0.0,128.0,345.8125,0.0,0.0,0.5
cuda,paper,Paper,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2674322499999999,0.4294059099999998,0.95576635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
cuda,top_r,Top-R,384,384,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.03861475,0.09575407,0.4269479499999992,-86.5317718018518,-91.3132983445873,0.0,-85.8585576571137,0.0,25.567620185179322,1.0,-2295.855072596003,-873.3573289723668,0.0,0.0,-4.098658124095245,-0.20663125,0.0,0.0,0.0,0.0,0.0,0.5
cuda,rho2_mu4,Exp24 rho2/mu4,384,384,1.0,1.0,0.90625,0.90625,1.0,0.0,0.0,0.35113375,2.4197428999999984,3.39379585,3.4391418645981795,-0.08177220153200437,0.4895833333333333,4.812467746838654,0.5963541666666666,-3.519567965025791,0.09114583333333333,5.524945932829842,0.8416966238576684,0.7421875,0.046875,0.003950074718508302,0.14424675000000003,0.07291666666666667,8.0,1468.6640625,0.0,0.0,0.5
cuda,rho2_mu8,Exp24 rho2/mu8,384,384,1.0,1.0,0.7708333333333334,0.7708333333333334,1.0,0.0,0.0,0.42015499999999995,2.8544329649999978,3.65059195,4.812387404907399,1.7916306063615717,0.6640625,6.304374963343257,0.734375,-1.9356184596078505,0.2552083333333333,5.142695966738452,1.1807292504380396,0.7890625,0.1953125,0.005541151799068306,0.19322325,0.0026041666666666665,16.0,710.6458333333334,0.0,0.0,0.5
cuda,rho2_mu16,Exp24 rho2/mu16,384,384,1.0,1.0,0.75,0.75,1.0,0.0,0.0,0.59917475,3.5544293999999996,7.419422849999996,6.221048597202201,3.2474045446749478,0.8958333333333334,8.472173495110063,0.9088541666666666,-1.2169965515204961,0.3619791666666667,4.7579736320525265,3.6246145923117035,0.9479166666666666,0.3151041666666667,0.017010283823887796,0.34675775,0.0026041666666666665,32.0,95.8671875,0.0,0.0,0.5
cuda,rho3_mu8,Exp24 rho3/mu8,384,384,1.0,1.0,0.75,0.75,1.0,0.0,0.0,0.602318,4.0340151575,5.28582945,5.153182481434386,1.814001177392166,0.671875,6.687585063837993,0.7447916666666666,-2.0527369936823425,0.23958333333333334,5.69292306314959,1.3040086283995111,0.8072916666666666,0.19270833333333334,0.0061197008158947915,0.3709785,0.0,24.0,1245.7890625,0.0,0.0,0.5
