model,shape,budget_index,policy,selected_method,calibration_cases,calibration_total_ms,calibration_relative_l2_error,calibration_importance_retention,paper_calibration_error
qwen05,4864x896,0,wave_dispatch,wave_k6,9,1.1987062222222222,0.7005060315132141,0.2896663687702098,0.6557063327895271
qwen05,4864x896,0,min_total_dispatch,tile8_ceil,9,1.0640567777777779,0.6883381108442942,0.2954776806084637,0.6557063327895271
qwen05,4864x896,0,error_guard_dispatch,paper,9,1.3259697777777777,0.6557063327895271,0.31101049886420656,0.6557063327895271
qwen05,4864x896,1,wave_dispatch,wave_k6,9,1.884058,0.521215965350469,0.5356496868819981,0.46778663496176404
qwen05,4864x896,1,min_total_dispatch,tile8_ceil,9,1.72717,0.4912186000082228,0.5551035380105369,0.46778663496176404
qwen05,4864x896,1,error_guard_dispatch,paper,9,1.8171642222222222,0.46778663496176404,0.5637998204147616,0.46778663496176404
qwen05,4864x896,2,wave_dispatch,wave_k24,9,2.3177511111111113,0.28444474107689327,0.7963172277880033,0.29299917817115784
qwen05,4864x896,2,min_total_dispatch,wave_k24,9,2.3177511111111113,0.28444474107689327,0.7963172277880033,0.29299917817115784
qwen05,4864x896,2,error_guard_dispatch,wave_k24,9,2.3177511111111113,0.28444474107689327,0.7963172277880033,0.29299917817115784
qwen05,896x128,0,wave_dispatch,wave_k1,18,0.3325938888888889,0.6352319561151994,0.2814591684682278,0.6347717352004515
qwen05,896x128,0,min_total_dispatch,tile8_ceil,18,0.2802245,0.637721921213799,0.2778727667906937,0.6347717352004515
qwen05,896x128,0,error_guard_dispatch,tile8_ceil,18,0.2802245,0.637721921213799,0.2778727667906937,0.6347717352004515
qwen05,896x128,1,wave_dispatch,wave_k1,18,0.3455037777777778,0.4941666357012259,0.5293245285089538,0.49176414652417105
qwen05,896x128,1,min_total_dispatch,tile8_ceil,18,0.2873630555555555,0.49925976774344843,0.5212626117611168,0.49176414652417105
qwen05,896x128,1,error_guard_dispatch,wave_k1,18,0.3455037777777778,0.4941666357012259,0.5293245285089538,0.49176414652417105
qwen05,896x128,2,wave_dispatch,wave_k1,18,0.38497766666666666,0.34286691988300944,0.7703644493671294,0.3476632689125836
qwen05,896x128,2,min_total_dispatch,tile8_ceil,18,0.3521056666666667,0.36596745325045454,0.7502385117652492,0.3476632689125836
qwen05,896x128,2,error_guard_dispatch,wave_k1,18,0.38497766666666666,0.34286691988300944,0.7703644493671294,0.3476632689125836
qwen05,896x4864,0,wave_dispatch,wave_k6,18,1.0884888333333333,0.6807026565074921,0.2956542467391414,0.6564333372645907
qwen05,896x4864,0,min_total_dispatch,tile8_ceil,18,1.0053017222222222,0.677762144141727,0.29522851328637434,0.6564333372645907
qwen05,896x4864,0,error_guard_dispatch,wave_k12,18,1.2811303333333333,0.6491752846373452,0.3113158752888921,0.6564333372645907
qwen05,896x4864,1,wave_dispatch,wave_k6,18,1.7339670555555555,0.5074280086490843,0.5429863170029846,0.47492938074800706
qwen05,896x4864,1,min_total_dispatch,tile8_ceil,18,1.5897677777777777,0.4968885944949256,0.5506058186609321,0.47492938074800706
qwen05,896x4864,1,error_guard_dispatch,paper,18,1.8993021666666665,0.47492938074800706,0.5615765524964216,0.47492938074800706
qwen05,896x4864,2,wave_dispatch,wave_k24,18,2.1915653333333336,0.3110849658648173,0.7931003033332542,0.31525051924917435
qwen05,896x4864,2,min_total_dispatch,wave_k24,18,2.1915653333333336,0.3110849658648173,0.7931003033332542,0.31525051924917435
