case_id,repetition,io_ms,upload_ms,read_wall_ms,direct
qwen05-000000,0,0.45431,0.063318,0.623967,True
qwen05-000000,1,0.390641,0.053359000000000004,0.524792,True
qwen05-000000,2,0.28196699999999997,0.047398,0.388637,True
qwen05-000001,0,0.37432,0.063509,0.504183,True
qwen05-000001,1,0.326841,0.061234000000000004,0.451654,True
qwen05-000001,2,0.31870600000000004,0.049533,0.424885,True
qwen05-000002,0,0.338944,0.05374,0.484476,True
qwen05-000002,1,0.32334500000000005,0.052497999999999996,0.42779,True
qwen05-000002,2,0.424454,0.052497999999999996,0.527827,True
qwen05-000003,0,0.437649,0.052127,0.536895,True
qwen05-000003,1,0.291505,0.068669,0.418793,True
qwen05-000003,2,0.45808699999999997,0.059662,0.582499,True
qwen05-000004,0,0.413404,0.05891,0.538577,True
qwen05-000004,1,0.40171100000000004,0.06319899999999999,0.525683,True
qwen05-000004,2,0.381103,0.066815,0.509704,True
qwen05-000005,0,0.389959,0.05373,0.502631,True
qwen05-000005,1,0.38005099999999997,0.05875,0.492301,True
qwen05-000005,2,0.416209,0.055695,0.530111,True
qwen05-000006,0,0.428762,0.055333,0.535632,True
qwen05-000006,1,0.457235,0.050634,0.561671,True
qwen05-000006,2,0.425936,0.058029000000000004,0.536995,True
qwen05-000007,0,0.30687400000000004,0.07803600000000001,0.432078,True
qwen05-000007,1,0.371255,0.077675,0.486881,True
qwen05-000007,2,0.341278,0.076704,0.45421,True
qwen05-000008,0,0.35231799999999996,0.097473,0.510244,True
qwen05-000008,1,0.413553,0.080821,0.553785,True
qwen05-000008,2,0.3207,0.083356,0.456344,True
qwen05-000009,0,0.450182,0.084448,0.587229,True
qwen05-000009,1,0.451615,0.071714,0.56152,True
qwen05-000009,2,0.38593099999999997,0.072816,0.499344,True
qwen05-000010,0,0.32728199999999996,0.08272499999999999,0.458778,True
qwen05-000010,1,0.301554,0.087173,0.436476,True
qwen05-000010,2,0.30788600000000005,0.083496,0.441817,True
qwen05-000011,0,0.47799400000000003,0.100378,0.635559,True
