model,budget_index,method,cases,actual_total_ms_mean,actual_total_ms_median,relative_l2_error_mean,relative_l2_error_median,cosine_error_mean,importance_retention_mean,row_match_rate,direct_rate,fallback_rate,method_label
qwen05,0,paper,63,0.8685585714285714,0.705309,0.5835466774564887,0.5594650506973267,0.2303939972605024,0.3101927477780655,0.8571428571428571,1.0,0.0,Paper
qwen05,0,tile8_ceil,63,0.6628088888888889,0.5479660000000001,0.6077786908736305,0.5932965874671936,0.24342694925883457,0.29920629665164356,1.0,1.0,0.0,Cell-8
qwen05,0,wave_k1,63,0.7678145238095239,0.6307,0.6409893168934754,0.7516068816184998,0.27287700062706355,0.28228039300367075,1.0,1.0,0.0,Wave K=1
qwen05,0,wave_k12,63,0.9404305555555555,0.702063,0.5445056160291036,0.5612307786941528,0.2003852460119459,0.35268305873831607,1.0,1.0,0.0,Wave K=12
qwen05,0,wave_k18,63,1.1244147301587302,0.832587,0.5231933021799676,0.5539168119430542,0.18667312746956233,0.3688997249538192,1.0,1.0,0.0,Wave K=18
qwen05,0,wave_k24,63,1.3362078888888889,1.055784,0.5121622224678359,0.5274980664253235,0.1797665584655035,0.3786825032251524,1.0,1.0,0.0,Wave K=24
qwen05,0,wave_k6,63,0.7720129365079365,0.617193,0.579869589635304,0.6001819968223572,0.22135661707984075,0.32972154101252543,1.0,1.0,0.0,Wave K=6
qwen05,1,paper,63,1.1321650952380953,0.7671950000000001,0.427513468655802,0.4249994456768036,0.11952384502168681,0.5656261961584215,0.8571428571428571,1.0,0.0,Paper
qwen05,1,tile8_ceil,63,0.9748402698412699,0.619329,0.4405100488710025,0.430409699678421,0.12533163362079194,0.5561557932941249,1.0,1.0,0.0,Cell-8
qwen05,1,wave_k1,63,1.124382126984127,0.814214,0.48428722309865174,0.5240286588668823,0.1470475944261702,0.5322549504799003,1.0,1.0,0.0,Wave K=1
qwen05,1,wave_k12,63,1.1945170793650794,0.884053,0.3999389379418322,0.4082010984420776,0.10396209217253181,0.5941024692080545,1.0,1.0,0.0,Wave K=12
qwen05,1,wave_k18,63,1.422182126984127,1.054883,0.385970721900877,0.3948500454425812,0.09728010211672097,0.6051984992145931,1.0,1.0,0.0,Wave K=18
qwen05,1,wave_k24,63,1.7092304761904762,1.053641,0.37387588035522235,0.3904911577701568,0.09211657350025476,0.6156966781941544,1.0,1.0,0.0,Wave K=24
qwen05,1,wave_k6,63,1.0771031587301587,0.646489,0.42044271985512405,0.4307402670383453,0.1130520351349361,0.5777242352167772,1.0,1.0,0.0,Wave K=6
qwen05,2,paper,63,1.4474022063492065,0.90939,0.28345277048056083,0.2776249051094055,0.052511807471986756,0.7912506823993752,1.0,1.0,0.0,Paper
qwen05,2,tile8_ceil,63,1.2774581746031746,0.750043,0.29053667476696393,0.2853195965290069,0.05595312421284021,0.7873238713700814,1.0,1.0,0.0,Cell-8
