case_id,repetition,runtime_ms
qwen05-000000,0,0.453207
qwen05-000000,1,0.251751
qwen05-000000,2,0.2299
qwen05-000001,0,0.202519
qwen05-000001,1,0.084388
qwen05-000001,2,0.078607
qwen05-000002,0,0.333934
qwen05-000002,1,0.129111
qwen05-000002,2,0.120836
qwen05-000003,0,0.154299
qwen05-000003,1,0.141685
qwen05-000003,2,0.130364
qwen05-000004,0,0.184054
qwen05-000004,1,0.184395
qwen05-000004,2,0.169927
qwen05-000005,0,0.213058
qwen05-000005,1,0.201006
qwen05-000005,2,0.198802
qwen05-000006,0,0.691824
qwen05-000006,1,0.570978
qwen05-000006,2,0.460391
qwen05-000007,0,0.227916
qwen05-000007,1,0.221705
qwen05-000007,2,0.215693
qwen05-000008,0,0.087524
qwen05-000008,1,0.080982
qwen05-000008,2,0.077095
qwen05-000009,0,0.127208
qwen05-000009,1,0.127999
qwen05-000009,2,0.127899
qwen05-000010,0,0.141715
qwen05-000010,1,0.126136
qwen05-000010,2,0.122068
qwen05-000011,0,0.216295
qwen05-000011,1,0.190857
qwen05-000011,2,0.188172
qwen05-000012,0,0.269073
qwen05-000012,1,0.247804
qwen05-000012,2,0.242884
qwen05-000013,0,0.386613
qwen05-000013,1,0.321451
qwen05-000013,2,0.408704
qwen05-000014,0,0.233717
qwen05-000014,1,0.230701
qwen05-000014,2,0.242423
qwen05-000015,0,0.091571
qwen05-000015,1,0.097964
qwen05-000015,2,0.085039
qwen05-000016,0,0.131105
qwen05-000016,1,0.118872
qwen05-000016,2,0.122028
qwen05-000017,0,0.129833
qwen05-000017,1,0.131766
qwen05-000017,2,0.117529
qwen05-000018,0,0.142967
qwen05-000018,1,0.128501
qwen05-000018,2,0.122359
qwen05-000019,0,0.461152
qwen05-000019,1,0.396231
qwen05-000019,2,0.449841
qwen05-000020,0,0.153046
qwen05-000020,1,0.135072
qwen05-000020,2,0.128551
qwen05-000021,0,0.343723
qwen05-000021,1,0.18176
qwen05-000021,2,0.178534
qwen05-000022,0,0.098043
qwen05-000022,1,0.071704
qwen05-000022,2,0.066414
qwen05-000023,0,0.176961
qwen05-000023,1,0.161222
qwen05-000023,2,0.134692
qwen05-000024,0,0.220061
qwen05-000024,1,0.248194
qwen05-000024,2,0.19763
qwen05-000025,0,0.176461
qwen05-000025,1,0.167203
qwen05-000025,2,0.155531
qwen05-000026,0,0.22413
qwen05-000026,1,0.195235
qwen05-000026,2,0.189946
qwen05-000027,0,0.49755
qwen05-000027,1,0.448409
qwen05-000027,2,0.45943
qwen05-000028,0,0.18181
qwen05-000028,1,0.176129
qwen05-000028,2,0.182061
qwen05-000029,0,0.076193
qwen05-000029,1,0.070532
qwen05-000029,2,0.073528
qwen05-000030,0,0.12854
qwen05-000030,1,0.117931
qwen05-000030,2,0.106119
qwen05-000031,0,0.147566
qwen05-000031,1,0.128761
qwen05-000031,2,0.122078
qwen05-000032,0,0.2138
qwen05-000032,1,0.197609
qwen05-000032,2,0.186028
qwen05-000033,0,0.269664
qwen05-000033,1,0.239378
qwen05-000033,2,0.229439
qwen05-000034,0,0.488033
qwen05-000034,1,0.426638
qwen05-000034,2,0.281817
qwen05-000035,0,0.224791
qwen05-000035,1,0.211075
qwen05-000035,2,0.19253
qwen05-000036,0,0.082044
qwen05-000036,1,0.083527
qwen05-000036,2,0.072225
qwen05-000037,0,0.129092
qwen05-000037,1,0.113763
qwen05-000037,2,0.10703
qwen05-000038,0,0.137747
qwen05-000038,1,0.120195
qwen05-000038,2,0.110456
qwen05-000039,0,0.152134
qwen05-000039,1,0.127118
qwen05-000039,2,0.120005
qwen05-000040,0,0.316782
qwen05-000040,1,0.296554
qwen05-000040,2,0.285154
qwen05-000041,0,0.14981
qwen05-000041,1,0.157926
qwen05-000041,2,0.133339
qwen05-000042,0,0.211605
qwen05-000042,1,0.20361
qwen05-000042,2,0.212177
qwen05-000043,0,0.07509
qwen05-000043,1,0.06911
qwen05-000043,2,0.064952
qwen05-000044,0,0.114935
qwen05-000044,1,0.114735
qwen05-000044,2,0.113002
qwen05-000045,0,0.138419
qwen05-000045,1,0.140843
qwen05-000045,2,0.131446
qwen05-000046,0,0.265597
qwen05-000046,1,0.17603
qwen05-000046,2,0.157715
qwen05-000047,0,0.228127
qwen05-000047,1,0.224861
qwen05-000047,2,0.260968
qwen05-000048,0,0.553195
qwen05-000048,1,0.506828
qwen05-000048,2,0.462255
qwen05-000049,0,0.220212
qwen05-000049,1,0.179927
qwen05-000049,2,0.163837
qwen05-000050,0,0.076954
qwen05-000050,1,0.070021
qwen05-000050,2,0.066194
qwen05-000051,0,0.169718
qwen05-000051,1,0.15003
qwen05-000051,2,0.105487
qwen05-000052,0,0.14445
qwen05-000052,1,0.136325
qwen05-000052,2,0.135654
qwen05-000053,0,0.281156
qwen05-000053,1,0.189755
qwen05-000053,2,0.196207
qwen05-000054,0,0.30478
qwen05-000054,1,0.292978
qwen05-000054,2,0.303387
qwen05-000055,0,0.322303
qwen05-000055,1,0.291044
qwen05-000055,2,0.297847
qwen05-000056,0,0.213239
qwen05-000056,1,0.205614
qwen05-000056,2,0.217627
qwen05-000057,0,0.078296
qwen05-000057,1,0.068869
qwen05-000057,2,0.066294
qwen05-000058,0,0.180568
qwen05-000058,1,0.159218
qwen05-000058,2,0.149419
qwen05-000059,0,0.129582
qwen05-000059,1,0.19751
qwen05-000059,2,0.196477
qwen05-000060,0,0.166552
qwen05-000060,1,0.1334
qwen05-000060,2,0.125485
qwen05-000061,0,0.318206
qwen05-000061,1,0.294812
qwen05-000061,2,0.279924
qwen05-000062,0,0.153367
qwen05-000062,1,0.145131
qwen05-000062,2,0.135473
qwen05-000063,0,0.285584
qwen05-000063,1,0.249497
qwen05-000063,2,0.231443
qwen05-000064,0,0.102872
qwen05-000064,1,0.08025
qwen05-000064,2,0.073457
qwen05-000065,0,0.125404
qwen05-000065,1,0.113382
qwen05-000065,2,0.124954
qwen05-000066,0,0.173634
qwen05-000066,1,0.142236
qwen05-000066,2,0.136645
qwen05-000067,0,0.185056
qwen05-000067,1,0.174456
qwen05-000067,2,0.157305
qwen05-000068,0,0.299991
qwen05-000068,1,0.284132
qwen05-000068,2,0.231413
qwen05-000069,0,0.494605
qwen05-000069,1,0.422179
qwen05-000069,2,0.420827
qwen05-000070,0,0.306012
qwen05-000070,1,0.281336
qwen05-000070,2,0.266618
qwen05-000071,0,0.084549
qwen05-000071,1,0.077215
qwen05-000071,2,0.072966
qwen05-000072,0,0.164648
qwen05-000072,1,0.206747
qwen05-000072,2,0.129191
qwen05-000073,0,0.153528
qwen05-000073,1,0.137036
qwen05-000073,2,0.123301
qwen05-000074,0,0.205114
qwen05-000074,1,0.194994
qwen05-000074,2,0.188011
qwen05-000075,0,0.281126
qwen05-000075,1,0.2671
qwen05-000075,2,0.257662
qwen05-000076,0,0.314979
qwen05-000076,1,0.306794
qwen05-000076,2,0.283129
qwen05-000077,0,0.297206
qwen05-000077,1,0.269524
qwen05-000077,2,0.266759
qwen05-000078,0,0.092733
qwen05-000078,1,0.102471
qwen05-000078,2,0.104665
qwen05-000079,0,0.122549
qwen05-000079,1,0.118171
qwen05-000079,2,0.11733
qwen05-000080,0,0.125194
qwen05-000080,1,0.119464
qwen05-000080,2,0.111429
qwen05-000081,0,0.134742
qwen05-000081,1,0.124854
qwen05-000081,2,0.120045
qwen05-000082,0,0.332833
qwen05-000082,1,0.328955
qwen05-000082,2,0.285664
qwen05-000083,0,0.150952
qwen05-000083,1,0.139751
qwen05-000083,2,0.143428
qwen05-000084,0,0.330658
qwen05-000084,1,0.319668
qwen05-000084,2,0.297476
qwen05-000085,0,0.098715
qwen05-000085,1,0.077375
qwen05-000085,2,0.074529
qwen05-000086,0,0.125204
qwen05-000086,1,0.114304
qwen05-000086,2,0.122008
qwen05-000087,0,0.161942
qwen05-000087,1,0.164898
qwen05-000087,2,0.149109
qwen05-000088,0,0.289181
qwen05-000088,1,0.268152
qwen05-000088,2,0.271387
qwen05-000089,0,0.386042
qwen05-000089,1,0.358351
qwen05-000089,2,0.373399
qwen05-000090,0,0.553355
qwen05-000090,1,0.784097
qwen05-000090,2,0.754231
qwen05-000091,0,0.322613
qwen05-000091,1,0.306874
qwen05-000091,2,0.460061
qwen05-000092,0,0.089999
qwen05-000092,1,0.076373
qwen05-000092,2,0.072034
qwen05-000093,0,0.12261
qwen05-000093,1,0.112731
qwen05-000093,2,0.116869
qwen05-000094,0,0.173725
qwen05-000094,1,0.157104
qwen05-000094,2,0.154459
qwen05-000095,0,0.233136
qwen05-000095,1,0.212557
qwen05-000095,2,0.200335
qwen05-000096,0,0.549307
qwen05-000096,1,0.49197
qwen05-000096,2,0.468446
qwen05-000097,0,0.840161
qwen05-000097,1,0.764841
qwen05-000097,2,0.941862
qwen05-000098,0,0.320249
qwen05-000098,1,0.2944
qwen05-000098,2,0.295112
qwen05-000099,0,0.115296
qwen05-000099,1,0.087925
qwen05-000099,2,0.080961
qwen05-000100,0,0.129172
qwen05-000100,1,0.116287
qwen05-000100,2,0.109064
qwen05-000101,0,0.130183
qwen05-000101,1,0.125444
qwen05-000101,2,0.121998
qwen05-000102,0,0.153046
qwen05-000102,1,0.136215
qwen05-000102,2,0.126767
qwen05-000103,0,0.357468
qwen05-000103,1,0.319217
qwen05-000103,2,0.306764
qwen05-000104,0,0.17113
qwen05-000104,1,0.158907
qwen05-000104,2,0.150302
qwen05-000105,0,0.301955
qwen05-000105,1,0.293298
qwen05-000105,2,0.28857
qwen05-000106,0,0.086582
qwen05-000106,1,0.076483
qwen05-000106,2,0.070742
qwen05-000107,0,0.127308
qwen05-000107,1,0.11779
qwen05-000107,2,0.113302
qwen05-000108,0,0.15471
qwen05-000108,1,0.142076
qwen05-000108,2,0.140012
qwen05-000109,0,0.308788
qwen05-000109,1,0.274674
qwen05-000109,2,0.256791
qwen05-000110,0,0.393526
qwen05-000110,1,0.357699
qwen05-000110,2,0.354022
qwen05-000111,0,0.495216
qwen05-000111,1,0.484627
qwen05-000111,2,0.442097
qwen05-000112,0,0.357769
qwen05-000112,1,0.34242
qwen05-000112,2,0.342842
qwen05-000113,0,0.086351
qwen05-000113,1,0.076383
qwen05-000113,2,0.072696
qwen05-000114,0,0.148929
qwen05-000114,1,0.118342
qwen05-000114,2,0.145192
qwen05-000115,0,0.175609
qwen05-000115,1,0.161031
qwen05-000115,2,0.172713
qwen05-000116,0,0.228156
qwen05-000116,1,0.215964
qwen05-000116,2,0.224891
qwen05-000117,0,0.559807
qwen05-000117,1,0.527526
qwen05-000117,2,0.488423
qwen05-000118,0,0.749933
qwen05-000118,1,0.694459
qwen05-000118,2,0.681674
qwen05-000119,0,0.446815
qwen05-000119,1,0.386703
qwen05-000119,2,0.302596
qwen05-000120,0,0.095508
qwen05-000120,1,0.082875
qwen05-000120,2,0.088896
qwen05-000121,0,0.135634
qwen05-000121,1,0.120736
qwen05-000121,2,0.115295
qwen05-000122,0,0.136155
qwen05-000122,1,0.186689
qwen05-000122,2,0.126737
qwen05-000123,0,0.151924
qwen05-000123,1,0.150131
qwen05-000123,2,0.139792
qwen05-000124,0,0.350686
qwen05-000124,1,0.327332
qwen05-000124,2,0.310571
qwen05-000125,0,0.166712
qwen05-000125,1,0.151613
qwen05-000125,2,0.157965
qwen05-000126,0,0.27792
qwen05-000126,1,0.281727
qwen05-000126,2,0.264305
qwen05-000127,0,0.130234
qwen05-000127,1,0.122599
qwen05-000127,2,0.115877
qwen05-000128,0,0.136224
qwen05-000128,1,0.127749
qwen05-000128,2,0.12846
qwen05-000129,0,0.281286
qwen05-000129,1,0.259916
qwen05-000129,2,0.330288
qwen05-000130,0,0.559667
qwen05-000130,1,0.547794
qwen05-000130,2,0.526735
qwen05-000131,0,1.190036
qwen05-000131,1,1.145943
qwen05-000131,2,1.328044
qwen05-000132,0,1.113974
qwen05-000132,1,1.063168
qwen05-000132,2,1.052017
qwen05-000133,0,0.350375
qwen05-000133,1,0.289251
qwen05-000133,2,0.284242
qwen05-000134,0,0.157885
qwen05-000134,1,0.150371
qwen05-000134,2,0.143508
qwen05-000135,0,0.173966
qwen05-000135,1,0.135985
qwen05-000135,2,0.135714
qwen05-000136,0,0.273892
qwen05-000136,1,0.247183
qwen05-000136,2,0.274844
qwen05-000137,0,0.617344
qwen05-000137,1,0.415167
qwen05-000137,2,0.401611
qwen05-000138,0,1.208851
qwen05-000138,1,1.26214
qwen05-000138,2,1.157836
qwen05-000139,0,1.799796
qwen05-000139,1,1.65731
qwen05-000139,2,1.872001
qwen05-000140,0,0.291035
qwen05-000140,1,0.322643
qwen05-000140,2,0.280315
qwen05-000141,0,0.173946
qwen05-000141,1,0.147826
qwen05-000141,2,0.140583
qwen05-000142,0,0.142506
qwen05-000142,1,0.131606
qwen05-000142,2,0.131656
qwen05-000143,0,0.212337
qwen05-000143,1,0.158046
qwen05-000143,2,0.153807
qwen05-000144,0,0.202899
qwen05-000144,1,0.185076
qwen05-000144,2,0.178514
