model,prompt,module,budget_index,importance_vs_relative_l2_spearman,importance_vs_cosine_error_spearman
qwen05,test_short_korean,model.layers.0.self_attn.q_proj,0,-0.8928571428571429,-0.8928571428571429
qwen05,test_short_korean,model.layers.0.self_attn.q_proj,1,-0.8928571428571429,-0.8928571428571429
qwen05,test_short_korean,model.layers.0.self_attn.q_proj,2,-0.8928571428571429,-0.8928571428571429
qwen05,test_short_korean,model.layers.0.self_attn.k_proj,0,-0.8214285714285715,-0.8214285714285715
qwen05,test_short_korean,model.layers.0.self_attn.k_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.self_attn.k_proj,2,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.self_attn.v_proj,0,-0.7500000000000002,-0.8571428571428573
qwen05,test_short_korean,model.layers.0.self_attn.v_proj,1,-0.8571428571428573,-0.8928571428571429
qwen05,test_short_korean,model.layers.0.self_attn.v_proj,2,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.self_attn.o_proj,0,-0.7857142857142859,-0.8214285714285715
qwen05,test_short_korean,model.layers.0.self_attn.o_proj,1,-0.8214285714285715,-0.8214285714285715
qwen05,test_short_korean,model.layers.0.self_attn.o_proj,2,-0.42857142857142866,-0.42857142857142866
qwen05,test_short_korean,model.layers.0.mlp.gate_proj,0,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.mlp.gate_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.0.mlp.gate_proj,2,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.mlp.up_proj,0,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.mlp.up_proj,1,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.mlp.up_proj,2,-1.0,-1.0
qwen05,test_short_korean,model.layers.0.mlp.down_proj,0,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.0.mlp.down_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.0.mlp.down_proj,2,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.self_attn.q_proj,0,-0.8571428571428573,-0.8214285714285715
qwen05,test_short_korean,model.layers.12.self_attn.q_proj,1,-0.9642857142857145,-0.9642857142857145
qwen05,test_short_korean,model.layers.12.self_attn.q_proj,2,-0.8571428571428573,-0.8571428571428573
