model,shape,family,selected_target,calibration_relative_l2_error,calibration_actual_total_ms,calibration_selected_fraction,error_ceiling,ceiling_met
qwen05,4864x896,bound,0.55,0.3846256203121609,1.1030922220240234,0.6222587719298246,0.42,True
qwen05,4864x896,diag,0.7,0.38911247253417963,1.0494094998158547,0.6000091374269005,0.42,True
qwen05,4864x896,raw,0.55,0.36374033159679836,1.2209132229661346,0.6444627192982456,0.42,True
qwen05,896x128,bound,0.5,0.3906728849332366,0.2873800276097721,0.6668526785714286,0.42,True
qwen05,896x128,diag,0.55,0.4071862913875116,0.27947011100601155,0.6664806547619047,0.42,True
qwen05,896x128,raw,0.55,0.3894509075002538,0.31394613892875106,0.6945684523809523,0.42,True
qwen05,896x4864,bound,0.6,0.38870014746983844,1.034452583524671,0.6414930555555556,0.42,True
qwen05,896x4864,diag,0.7,0.3862399607896805,1.0066677773231798,0.6305183531746033,0.42,True
qwen05,896x4864,raw,0.6,0.41444140838252175,1.0099726661207575,0.6112351190476191,0.42,True
qwen05,896x896,bound,0.5,0.24312156066298485,0.4316394168121781,0.6527777777777778,0.42,True
qwen05,896x896,diag,0.5,0.33709813778599096,0.3663475275948941,0.4330357142857143,0.42,True
qwen05,896x896,raw,0.5,0.25814468972384924,1.4613213612491356,0.5834573412698413,0.42,True
smol360,2560x960,bound,0.5,0.33613166626956725,0.70706122253816,0.5555555555555556,0.42,True
smol360,2560x960,diag,0.55,0.39715348929166794,0.641401110861255,0.4833333333333333,0.42,True
smol360,2560x960,raw,0.5,0.3206140779786639,0.7684667788627413,0.6166666666666667,0.42,True
smol360,960x2560,bound,0.5,0.3589180207086934,0.6362687499297394,0.49444444444444446,0.42,True
smol360,960x2560,diag,0.65,0.39871927681896424,0.5421967221238447,0.3888888888888889,0.42,True
smol360,960x2560,raw,0.5,0.3631965633895662,0.6930963056841394,0.538888888888889,0.42,True
smol360,960x320,bound,0.5,0.3858049917552206,0.3436538333042661,0.7111111111111111,0.42,True
smol360,960x320,diag,0.6,0.3943007356590694,0.33704283342756164,0.6555555555555556,0.42,True
smol360,960x320,raw,0.55,0.3700917205876774,0.3560711666610803,0.7277777777777777,0.42,True
smol360,960x960,bound,0.5,0.3402719067202674,0.46961933338522577,0.5333333333333333,0.42,True
smol360,960x960,diag,0.55,0.3962174554665883,0.41793530571471316,0.4277777777777778,0.42,True
smol360,960x960,raw,0.5,0.2701831584175427,0.5061581391516029,0.6361111111111112,0.42,True
tiny11,2048x2048,bound,0.55,0.40715071476168097,0.8160608056135972,0.4500054253472222,0.42,True
tiny11,2048x2048,diag,0.6,0.390914717482196,0.7754837776022554,0.4083116319444444,0.42,True
tiny11,2048x2048,raw,0.5,0.401612584789594,0.8654096391495235,0.4500054253472222,0.42,True
tiny11,2048x256,bound,0.5,0.3194777361220783,0.42967747226167713,0.6666666666666666,0.42,True
tiny11,2048x256,diag,0.55,0.3645573515031073,0.39904813887427903,0.6111111111111112,0.42,True
tiny11,2048x256,raw,0.5,0.3962859999802377,0.426053221993092,0.5611436631944444,0.42,True
tiny11,2048x5632,bound,0.55,0.3971357312467363,2.33253305547345,0.5888943142361112,0.42,True
tiny11,2048x5632,diag,0.65,0.4067296816243065,2.296803304754989,0.5555826822916666,0.42,True
tiny11,2048x5632,raw,0.55,0.4056762175427543,2.3676716675022207,0.5777452256944444,0.42,True
tiny11,5632x2048,bound,0.5,0.39893940918975407,1.9355298900885118,0.5277580492424243,0.42,True
tiny11,5632x2048,diag,0.7,0.3781668229235543,2.0255438325476183,0.5277777777777778,0.42,True
tiny11,5632x2048,raw,0.5,0.38535167276859283,2.174941332973361,0.5666627209595959,0.42,True
