model,shape,family,budget_index,calibrated_nonselector_ms,calibrated_selector_ms,calibration_candidates
qwen05,4864x896,bound,0,0.24588588851814797,0.16419494444444444,9
qwen05,4864x896,bound,1,0.3385376662732098,0.15205544444444444,9
qwen05,4864x896,bound,2,0.4141769448003504,0.14765050000000002,9
qwen05,4864x896,bound,3,0.4413829448526303,0.1429501111111111,9
qwen05,4864x896,bound,4,0.5056826671375301,0.14661877777777776,9
qwen05,4864x896,bound,5,0.5419788889151216,0.16222961111111112,9
qwen05,4864x896,bound,6,0.5937463899237978,0.16922605555555553,9
qwen05,4864x896,bound,7,0.6462938349053993,0.16353572222222218,9
qwen05,4864x896,bound,8,0.6869756113057203,0.17671483333333332,9
qwen05,4864x896,bound,9,0.777880833971666,0.18285811111111108,9
qwen05,4864x896,bound,10,0.8014450544246965,0.1827446111111111,9
qwen05,4864x896,bound,11,0.83942500080759,0.21247366666666664,9
qwen05,4864x896,bound,12,0.9323698902083039,0.1997742777777778,9
qwen05,4864x896,bound,13,0.952024499349455,0.20045488888888885,9
qwen05,4864x896,bound,14,1.0316007251512607,0.19574166666666662,9
qwen05,4864x896,bound,15,1.062145887019548,0.21390505555555553,9
qwen05,4864x896,bound,16,1.1434999984050525,0.20938388888888887,9
qwen05,4864x896,bound,17,1.1933233337931766,0.204661,9
qwen05,4864x896,diag,0,0.24938999995414413,0.1656687222222222,9
qwen05,4864x896,diag,1,0.341441888522168,0.14556227777777778,9
qwen05,4864x896,diag,2,0.41487300052838855,0.15293044444444442,9
qwen05,4864x896,diag,3,0.4357784440530472,0.1490721111111111,9
qwen05,4864x896,diag,4,0.49877600028712876,0.14523061111111113,9
qwen05,4864x896,diag,5,0.5358143332230118,0.15794327777777778,9
qwen05,4864x896,diag,6,0.5825436675266491,0.1612738333333333,9
qwen05,4864x896,diag,7,0.6645548347989189,0.1593083333333333,9
qwen05,4864x896,diag,8,0.6872751113904979,0.2014918888888889,9
qwen05,4864x896,diag,9,0.7608030002360741,0.1836146111111111,9
qwen05,4864x896,diag,10,0.7687495553126137,0.18379827777777777,9
qwen05,4864x896,diag,11,0.8314056676272155,0.20348888888888889,9
qwen05,4864x896,diag,12,0.9117343350546692,0.20642005555555556,9
qwen05,4864x896,diag,13,0.9483921101127929,0.1966436111111111,9
qwen05,4864x896,diag,14,1.0327879448353252,0.18842838888888888,9
qwen05,4864x896,diag,15,1.0530612758579916,0.21671705555555557,9
qwen05,4864x896,diag,16,1.1011689437495602,0.20525505555555557,9
qwen05,4864x896,diag,17,1.2240261662475203,0.19628199999999998,9
qwen05,4864x896,raw,0,0.257122999567661,0.10959705555555554,9
qwen05,4864x896,raw,1,0.33038433329072264,0.13915838888888887,9
qwen05,4864x896,raw,2,0.4087007781185375,0.1425138333333333,9
qwen05,4864x896,raw,3,0.44479377775452533,0.14450255555555555,9
qwen05,4864x896,raw,4,0.5003178892296817,0.1562272222222222,9
qwen05,4864x896,raw,5,0.5392589438096086,0.16592255555555555,9
qwen05,4864x896,raw,6,0.6078226124605735,0.17077266666666663,9
qwen05,4864x896,raw,7,0.6820221130036116,0.18330244444444443,9
qwen05,4864x896,raw,8,0.7096838338438273,0.18969627777777776,9
qwen05,4864x896,raw,9,0.7843756123563912,0.19004888888888885,9
qwen05,4864x896,raw,10,0.8019933330169849,0.19420894444444445,9
qwen05,4864x896,raw,11,0.84540188892893,0.20189877777777776,9
qwen05,4864x896,raw,12,0.9568009453713032,0.20065705555555555,9
qwen05,4864x896,raw,13,1.0041631102049748,0.22845927777777778,9
qwen05,4864x896,raw,14,1.046689391629815,0.20063794444444444,9
qwen05,4864x896,raw,15,1.1050677758111755,0.2202836111111111,9
qwen05,4864x896,raw,16,1.158234998889453,0.22037277777777775,9
qwen05,4864x896,raw,17,1.2241179467591907,0.19938299999999998,9
qwen05,896x128,bound,0,0.12533227762012675,0.08970613888888888,18
qwen05,896x128,bound,1,0.13503083306083077,0.08704538888888888,18
qwen05,896x128,bound,2,0.12589958347224853,0.08326236111111109,18
qwen05,896x128,bound,3,0.13140638861578366,0.0831822222222222,18
qwen05,896x128,bound,4,0.13383558337465917,0.08435808333333332,18
qwen05,896x128,bound,5,0.13212155540073575,0.08163724999999998,18
qwen05,896x128,bound,6,0.13762974992636506,0.08227355555555554,18
qwen05,896x128,bound,7,0.13690783329714004,0.08227305555555556,18
