case_key,model,model_label,prompt,split,situation,num_tokens,module,layer,projection,shape,n,d,row_size_kib,paper_parameter_source,family,family_label,budget_index,budget_fraction,row_budget,selected_rows,row_match,mask_sha256,raw_retention,bound_retention,diag_retention,selector_median_ms,selector_p95_ms,single_total_ms,deterministic,fallback_used,error,relative_l2_error,relative_mae,cosine_error,output_norm_ratio,chunks,gather_median_ms,gather_p95_ms,gemm_median_ms,gemm_p95_ms,io_median_ms,upload_median_ms,read_wall_median_ms,read_wall_p95_ms,direct_rate,nonselector_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,0,0.1,90,90,True,f32ae70b0438aa54754e5e91e39955c662efe30b9a16298f3508cc6fc2394cd1,0.1301979273557663,0.13952229917049408,0.246661975979805,0.0775755,0.07887375,0.23888099864625933,True,False,,0.10079841315746307,0.11446477472782135,0.0050925612449646,0.995978832244873,1,0.01945599913597107,0.02232320010662079,0.02537599951028824,0.03461120091378689,0.056680999999999995,0.024029500000000002,0.11647350000000001,0.12057165,1.0,0.16130549864625932
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,1,0.15,134,134,True,d14e3003a7aa6b54b34dd551dfa7dfc9ad92a555bea577ffb44e980e9f19a2a9,0.17507125437259674,0.19363543391227722,0.27692240476608276,0.140708,0.19207190000000002,0.3139969992836118,True,False,,0.09529124200344086,0.11188963055610657,0.0045503973960876465,0.9950613379478455,1,0.014336000196635723,0.014336000196635723,0.01724799908697605,0.019865599647164344,0.069024,0.035001,0.141705,0.1492794,1.0,0.17328899928361177
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,2,0.2,179,179,True,5de7f7e53a7441d0bfb8dacbe58d0e1f7111971e5a264b99d2394e80ca4f1521,0.26064178347587585,0.29516640305519104,0.5219429135322571,0.1163025,0.14186115,0.3589405005019307,True,False,,0.0776297077536583,0.09130688011646271,0.0030164718627929688,0.9954228401184082,2,0.013311999849975109,0.014323200099170208,0.018432000651955605,0.019430399313569068,0.130509,0.04245,0.21089400000000003,0.2737059,1.0,0.24263800050193074
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,3,0.25,224,224,True,88765000001ec50acd8283170aabfccd29f3f27f8de942d6b4b3413356d8a4dc,0.30117812752723694,0.3291906416416168,0.5296348333358765,0.10421,0.1264769,0.2903335000956059,True,False,,0.07349807024002075,0.08851796388626099,0.002703428268432617,0.9956942796707153,2,0.013472000136971474,0.014336000196635723,0.016383999958634377,0.016383999958634377,0.07304649999999999,0.043642,0.1562675,0.16035665000000002,1.0,0.18612350009560585
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,4,0.3,269,269,True,e45da8f35d270063b5cf1bc48c0ee0e85fa0c7af0b6532e9256fc960279e3806,0.3473222255706787,0.3718843162059784,0.5474278330802917,0.1052875,0.12476395000000001,0.28861799939793353,True,False,,0.06802380830049515,0.08291279524564743,0.0023143887519836426,0.9956968426704407,2,0.014336000196635723,0.014975999854505062,0.02239999920129776,0.0290815994143486,0.065132,0.047203,0.14659450000000002,0.14776675,1.0,0.1833304993979335
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,5,0.35,314,314,True,6387159f1a08e1c88c70c889bf9117291bd6a17b3d86e6b50e294e3f48173b35,0.38914182782173157,0.40619751811027527,0.5543650388717651,0.0997365,0.11589465,0.2909729999386072,True,False,,0.06386549770832062,0.07905887812376022,0.002039670944213867,0.9961200952529907,2,0.01244799979031086,0.014284799806773663,0.017632000148296356,0.023347200825810432,0.0735225,0.053269000000000004,0.16115649999999998,0.16809505,1.0,0.1912364999386072
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,6,0.4,358,358,True,ccf6fa18d1351e39a9683a5a3077e69667b3a19ae97bd792766fe794340e0ce1,0.46841636300086975,0.5063153505325317,0.6924066543579102,0.0937905,0.10614795,0.2940295005019307,True,False,,0.055381644517183304,0.06234314292669296,0.0015254020690917969,0.9941567182540894,3,0.013311999849975109,0.013311999849975109,0.018432000651955605,0.018432000651955605,0.0657585,0.0670955,0.168495,0.1729041,1.0,0.20023900050193072
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,7,0.45,403,403,True,72495ed48c435016a7b5511bb977cb9d2e066c90bdd62bf73cbca4bc972df999,0.5139882564544678,0.5464298725128174,0.7060573697090149,0.09751699999999999,0.11225539999999999,0.3158295010659099,True,False,,0.051860157400369644,0.05847065895795822,0.0013361573219299316,0.9943253397941589,3,0.014336000196635723,0.014336000196635723,0.02457600086927414,0.02539519965648651,0.07237550000000001,0.07238049999999999,0.17940050000000002,0.17947745,1.0,0.21831250106590988
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,8,0.5,448,448,True,c6f4a9359bc17f7cecdd12d98187554a81b3052cba88f469beb814589a92562b,0.5526580810546875,0.576939046382904,0.7118321061134338,0.0953335,0.10833175,0.3113564993326068,True,False,,0.04845523461699486,0.05522496998310089,0.0011660456657409668,0.9946818947792053,3,0.014336000196635723,0.0176576005294919,0.01945599913597107,0.02019840031862259,0.07238549999999999,0.07525599999999999,0.18223099999999998,0.18658609999999998,1.0,0.21602299933260677
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,Qwen2.5-0.5B-Instruct,cal_short_factual,calibration,short,41,model.layers.0.self_attn.q_proj,0,q,896x896,896,896,1.75,table2,raw,Activation L1,9,0.55,493,493,True,2fcb3ed2707434c6937d2b875aa06bf276b725e6db64b26e6fe0008ef2ffd65a,0.5927482843399048,0.6114147305488586,0.7194765210151672,0.101685,0.11380799999999999,0.3413645012065768,True,False,,0.04566783085465431,0.052497223019599915,0.0010349154472351074,0.9948515295982361,3,0.013376000337302685,0.015135999768972397,0.02457600086927414,0.02539519965648651,0.079314,0.08472350000000001,0.2017275,0.21254775,1.0,0.23967950120657683
