case_key,model,prompt,split,module,shape,paper_total_ms,paper_relative_l2_error,oracle_family,oracle_budget_fraction,oracle_total_ms,oracle_relative_l2_error,feasible
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.630217500788927,0.0466170720756053,bound,0.5502232142857143,0.3263630007192493,0.0450383462011814,True
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.3571225001345873,0.0161620862782001,diag,0.8002232142857143,0.2147585002582669,0.0056890090927481,True
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.3634010004812479,0.7556512951850891,diag,0.8002232142857143,0.2339370004209279,0.5388254523277283,True
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.5384810008052587,0.2428687810897827,raw,0.6004464285714286,0.3499354996792674,0.2374738007783889,True
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.9612785012418628,0.4055624008178711,bound,0.5502232142857143,0.8979435021111369,0.389825701713562,True
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,1.0539105005108715,0.6264632940292358,bound,0.5502232142857143,0.827039001526475,0.5954548120498657,True
qwen05|cal_short_factual|model.layers.0.mlp.down_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.down_proj,4864x896,1.1573040003985169,0.5138540267944336,diag,0.5,0.8294055000178814,0.4906421899795532,True
qwen05|cal_short_factual|model.layers.12.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.12.self_attn.q_proj,896x896,0.4927794990946054,0.2268823981285095,diag,0.5,0.3133199996679425,0.2268366366624832,True
qwen05|cal_short_factual|model.layers.12.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.12.self_attn.k_proj,896x128,0.3356995003235936,0.430486112833023,diag,0.5502232142857143,0.2060790003122687,0.4199917614459991,True
qwen05|cal_short_factual|model.layers.12.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.12.self_attn.v_proj,896x128,0.3485494999229311,0.6638891696929932,raw,0.5502232142857143,0.2067224998086095,0.6284034252166748,True
qwen05|cal_short_factual|model.layers.12.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.12.self_attn.o_proj,896x896,0.4824929998086095,0.5565603375434875,diag,0.6004464285714286,0.3288700006049275,0.4831070005893707,True
qwen05|cal_short_factual|model.layers.12.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.12.mlp.gate_proj,896x4864,0.9971370015885236,0.4050920009613037,bound,0.5502232142857143,0.8065094989911914,0.3818522095680237,True
qwen05|cal_short_factual|model.layers.12.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.12.mlp.up_proj,896x4864,0.9712820005485416,0.5724760293960571,bound,0.5502232142857143,0.800087500029862,0.5420275926589966,True
qwen05|cal_short_factual|model.layers.12.mlp.down_proj,qwen05,cal_short_factual,calibration,model.layers.12.mlp.down_proj,4864x896,0.9662005013291836,0.6205002665519714,bound,0.5,0.8609374992648959,0.6147988438606262,True
qwen05|cal_short_factual|model.layers.23.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.23.self_attn.q_proj,896x896,0.4974949997219443,0.2870493829250335,diag,0.5502232142857143,0.319315499836266,0.2766774594783783,True
qwen05|cal_short_factual|model.layers.23.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.23.self_attn.k_proj,896x128,0.3324754993326068,0.42335045337677,bound,0.6004464285714286,0.1980194996516108,0.4189690053462982,True
qwen05|cal_short_factual|model.layers.23.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.23.self_attn.v_proj,896x128,0.3141710004479289,0.7712010145187378,bound,0.6004464285714286,0.2101225005019307,0.7384715676307678,True
qwen05|cal_short_factual|model.layers.23.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.23.self_attn.o_proj,896x896,0.4407529994619488,0.3100528717041015,raw,0.5,0.3460534997432828,0.2818313539028168,True
qwen05|cal_short_factual|model.layers.23.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.23.mlp.gate_proj,896x4864,0.9513819988428952,0.386216253042221,raw,0.5502232142857143,0.7942280000895262,0.3751161396503448,True
