model,policy,actual_total_ms,relative_l2_error,selected_fraction
qwen05,bound_calibrated,0.6801955718605744,0.3481960339353435,0.6476342455841986
qwen05,cell_fixed,0.5189085553928632,0.4405100488710025,0.5
qwen05,diag_calibrated,0.6396724128353719,0.3745812673328651,0.5847925244659267
qwen05,paper_fixed,0.666434436648455,0.4275568835437298,0.49994125939849626
qwen05,raw_calibrated,0.6903497146343758,0.35421121552113505,0.6334451269542906
smol360,bound_calibrated,0.5026415238090601,0.353128677322751,0.5841269841269842
smol360,cell_fixed,0.42038298399770446,0.439444343840319,0.5
smol360,diag_calibrated,0.46333323011088556,0.39076412055227494,0.4992063492063492
smol360,paper_fixed,0.6638111586170726,0.4110195039520188,0.5
smol360,raw_calibrated,0.5425068968940064,0.32868489764985587,0.6404761904761905
tiny11,bound_calibrated,1.331568738735427,0.3797589538116304,0.5706359070616883
tiny11,cell_fixed,1.1137159839310316,0.44286497297977645,0.5
tiny11,diag_calibrated,1.3007509045335395,0.3791853114962578,0.5373179338023087
tiny11,paper_fixed,1.372105491767643,0.4028471504885053,0.5
tiny11,raw_calibrated,1.3392025068967626,0.4004907487403779,0.5428834945436508
