model,shape,family,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate,unstructured_fraction_mean,minimum_structured_fraction_mean
qwen05,4864x896,bound,0.5,0.2752467105263158,9,1.0,0.27167854532163743,0.4833333333333333
qwen05,4864x896,bound,0.55,0.2802220394736842,9,1.0,0.3206323099415205,0.5333333333333334
qwen05,4864x896,bound,0.6,0.27902960526315795,9,1.0,0.3736522295321637,0.5833333333333334
qwen05,4864x896,bound,0.65,0.2704358552631579,9,1.0,0.4308068347953216,0.6333333333333333
qwen05,4864x896,bound,0.7,0.2536184210526316,9,1.0,0.49259868421052627,0.6833333333333332
qwen05,4864x896,bound,0.75,0.22857730263157888,9,1.0,0.5590506213450293,0.7333333333333333
qwen05,4864x896,bound,0.8,0.19490131578947367,9,1.0,0.6307565789473685,0.7833333333333334
qwen05,4864x896,bound,0.85,0.15259046052631586,9,1.0,0.7081505847953217,0.8333333333333334
qwen05,4864x896,bound,0.9,0.15041118421052635,9,1.0,0.792374817251462,0.8999999999999999
qwen05,4864x896,bound,0.925,0.11509046052631577,9,1.0,0.8376736111111112,0.9333333333333333
qwen05,4864x896,bound,0.95,0.08733552631578945,9,1.0,0.88578216374269,0.9499999999999998
qwen05,4864x896,bound,0.975,0.024218749999999956,9,0.0,0.9379568713450293,0.9499999999999998
qwen05,4864x896,diag,0.5,0.3204769736842106,9,1.0,0.07296235380116954,0.35
qwen05,4864x896,diag,0.55,0.3355263157894737,9,1.0,0.0950520833333333,0.39444444444444443
qwen05,4864x896,diag,0.6,0.3506990131578948,9,1.0,0.12173336988304088,0.4388888888888889
qwen05,4864x896,diag,0.65,0.3630756578947369,9,1.0,0.15401133040935672,0.48888888888888893
qwen05,4864x896,diag,0.7,0.38375822368421064,9,1.0,0.19268548976608182,0.538888888888889
qwen05,4864x896,diag,0.75,0.4255345394736843,9,1.0,0.23956048976608185,0.6
qwen05,4864x896,diag,0.8,0.5084703947368423,9,1.0,0.2978115862573099,0.6722222222222222
qwen05,4864x896,diag,0.85,0.5212582236842106,9,1.0,0.3731268274853801,0.7222222222222222
qwen05,4864x896,diag,0.9,0.5902549342105264,9,1.0,0.4759457236842105,0.8166666666666667
qwen05,4864x896,diag,0.925,0.5678865131578948,9,1.0,0.5450703581871346,0.8611111111111112
qwen05,4864x896,diag,0.95,0.5513157894736843,9,1.0,0.635188230994152,0.911111111111111
qwen05,4864x896,diag,0.975,0.38976151315789465,9,0.3333333333333333,0.765031067251462,0.9444444444444444
