case_key,model,prompt,split,module,shape,family,target,unstructured_required_rows,unstructured_required_fraction,predictor_median_ms,predictor_p95_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.5,153,0.17075892857142858,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.55,193,0.21540178571428573,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.6,240,0.26785714285714285,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.65,292,0.32589285714285715,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.7,350,0.390625,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.75,415,0.46316964285714285,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.8,487,0.5435267857142857,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.85,568,0.6339285714285714,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.9,658,0.734375,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.925,707,0.7890625,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.95,761,0.8493303571428571,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,raw,0.975,821,0.9162946428571429,18.4784315,34.99133225
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.5,71,0.07924107142857142,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.55,92,0.10267857142857142,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.6,122,0.13616071428571427,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.65,162,0.18080357142857142,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.7,214,0.23883928571428573,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.75,276,0.3080357142857143,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.8,351,0.39174107142857145,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.85,442,0.49330357142857145,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.9,551,0.6149553571428571,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.925,616,0.6875,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.95,689,0.7689732142857143,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,bound,0.975,775,0.8649553571428571,0.067431,0.0764706
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,diag,0.5,8,0.008928571428571428,0.058579000000000006,0.0627361
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,diag,0.55,10,0.011160714285714286,0.058579000000000006,0.0627361
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,diag,0.6,13,0.014508928571428572,0.058579000000000006,0.0627361
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,diag,0.65,16,0.017857142857142856,0.058579000000000006,0.0627361
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,diag,0.7,20,0.022321428571428572,0.058579000000000006,0.0627361
