case_key,family,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,0,0,0.079018
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,0,1,0.076133
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,1,0,0.197779
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,1,1,0.083637
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,2,0,0.144701
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,2,1,0.087904
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,3,0,0.128951
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,3,1,0.079469
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,4,0,0.126928
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,4,1,0.083647
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,5,0,0.11769
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,5,1,0.081783
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,6,0,0.107521
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,6,1,0.08006
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,7,0,0.113893
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,7,1,0.081141
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,8,0,0.109776
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,8,1,0.080891
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,9,0,0.115155
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,9,1,0.088215
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,10,0,0.104756
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,10,1,0.081542
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,raw,11,0,0.149389
