case_key,model,prompt,split,module,shape,target,policy,selected_fraction,importance_retention,relative_l2_error,cosine_error,predictor_ms,selector_mask_ms,selector_total_ms,search_attempts,feasible,nonselector_total_ms,actual_total_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.5,adaptive_t0.5,0.5,0.5526580810546875,0.0484552346169948,0.0011660456657409,43.408715,0.1022065,43.5109215,1,True,0.2389550017108917,43.749876501710894
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.55,adaptive_t0.55,0.6004464285714286,0.666244387626648,0.0380579978227615,0.0007177591323852,43.408715,0.1140435,43.5227585,1,True,0.2526874998475909,43.77544599984759
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.6,adaptive_t0.6,0.6495535714285714,0.7008730173110962,0.0363225303590297,0.0006535649299621,43.408715,0.1145394999999999,43.5232545,1,True,0.2587104994469285,43.78196499944693
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.65,adaptive_t0.65,0.75,0.801480770111084,0.0222194679081439,0.0002433061599731,43.408715,0.1102665,43.5189815,1,True,0.290852000025928,43.80983350002593
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.7,adaptive_t0.7,0.75,0.801480770111084,0.0222194679081439,0.0002433061599731,43.408715,0.1102665,43.5189815,1,True,0.290852000025928,43.80983350002593
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.75,adaptive_t0.75,0.75,0.801480770111084,0.0222194679081439,0.0002433061599731,43.408715,0.1102665,43.5189815,1,True,0.290852000025928,43.80983350002593
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.8,adaptive_t0.8,0.8504464285714286,0.8836618661880493,0.0155569463968276,0.0001198053359985,43.408715,0.1220685,43.5307835,1,True,0.4132845002972484,43.94406800029725
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.85,adaptive_t0.85,0.8504464285714286,0.8836618661880493,0.0155569463968276,0.0001198053359985,43.408715,0.1220685,43.5307835,1,True,0.4132845002972484,43.94406800029725
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.9,adaptive_t0.9,0.8995535714285714,0.9247335195541382,0.0109786568209528,5.948543548583984e-05,43.408715,0.13383,43.542545000000004,1,True,0.3981415003519058,43.94068650035191
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.925,adaptive_t0.925,0.9497767857142856,0.9657980799674988,0.006466400809586,2.056360244750977e-05,43.408715,0.106249,43.514964,1,True,0.367604001350522,43.88256800135052
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.95,adaptive_t0.95,0.9497767857142856,0.9657980799674988,0.006466400809586,2.056360244750977e-05,43.408715,0.106249,43.514964,1,True,0.367604001350522,43.88256800135052
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.5,adaptive_t0.5,0.6495535714285714,0.6645188331604004,0.0093965455889701,4.410743713378906e-05,0.1387295,0.1019155,0.240645,1,True,0.1447844993326068,0.3854294993326068
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.55,adaptive_t0.55,0.6495535714285714,0.6645188331604004,0.0093965455889701,4.410743713378906e-05,0.1387295,0.1019155,0.240645,1,True,0.1447844993326068,0.3854294993326068
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.6,adaptive_t0.6,0.6997767857142857,0.7021764516830444,0.0087041137740015,3.790855407714844e-05,0.1387295,0.101835,0.24056450000000001,1,True,0.1558449993326068,0.39640949933260683
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.65,adaptive_t0.65,0.8002232142857143,0.8034222722053528,0.0056890090927481,1.621246337890625e-05,0.1387295,0.1204305,0.25916,1,True,0.147721000469923,0.40688100046992304
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.7,adaptive_t0.7,0.8002232142857143,0.8034222722053528,0.0056890090927481,1.621246337890625e-05,0.1387295,0.1204305,0.25916,1,True,0.147721000469923,0.40688100046992304
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.75,adaptive_t0.75,0.8995535714285714,0.9046319127082824,0.0033980053849518,5.602836608886719e-06,0.1387295,0.1143494999999999,0.2530789999999999,1,True,0.1452475007619261,0.398326500761926
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.8,adaptive_t0.8,0.8995535714285714,0.9046319127082824,0.0033980053849518,5.602836608886719e-06,0.1387295,0.1143494999999999,0.2530789999999999,1,True,0.1452475007619261,0.398326500761926
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.85,adaptive_t0.85,0.8995535714285714,0.9046319127082824,0.0033980053849518,5.602836608886719e-06,0.1387295,0.1143494999999999,0.2530789999999999,1,True,0.1452475007619261,0.398326500761926
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.9,adaptive_t0.9,0.8995535714285714,0.9046319127082824,0.0033980053849518,5.602836608886719e-06,0.1387295,0.1143494999999999,0.2530789999999999,1,True,0.1452475007619261,0.398326500761926
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.925,adaptive_t0.925,0.9497767857142856,0.9539906978607178,0.0017599661368876,1.5497207641601562e-06,0.1387295,0.0964255,0.235155,1,True,0.1546354989859461,0.3897904989859461
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.95,adaptive_t0.95,0.9497767857142856,0.9539906978607178,0.0017599661368876,1.5497207641601562e-06,0.1387295,0.0964255,0.235155,1,True,0.1546354989859461,0.3897904989859461
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.5,adaptive_t0.5,0.6495535714285714,0.6645188331604004,0.722373366355896,0.2794820070266723,0.0725205,0.1035085,0.176029,1,True,0.1376595008485913,0.3136885008485913
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.55,adaptive_t0.55,0.6495535714285714,0.6645188331604004,0.722373366355896,0.2794820070266723,0.0725205,0.1035085,0.176029,1,True,0.1376595008485913,0.3136885008485913
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.6,adaptive_t0.6,0.6997767857142857,0.7021764516830444,0.6797089576721191,0.2459571361541748,0.0725205,0.0841025,0.156623,1,True,0.141985000788927,0.298608000788927
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.65,adaptive_t0.65,0.8002232142857143,0.8034222722053528,0.5868394374847412,0.1774400472640991,0.0725205,0.128921,0.2014415,1,True,0.1374420005019307,0.3388835005019307
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.7,adaptive_t0.7,0.8002232142857143,0.8034222722053528,0.5868394374847412,0.1774400472640991,0.0725205,0.128921,0.2014415,1,True,0.1374420005019307,0.3388835005019307
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.75,adaptive_t0.75,0.8995535714285714,0.9046319127082824,0.4367532432079315,0.0961163640022277,0.0725205,0.08557,0.1580905,1,True,0.1323785010325908,0.29046900103259077
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.8,adaptive_t0.8,0.8995535714285714,0.9046319127082824,0.4367532432079315,0.0961163640022277,0.0725205,0.08557,0.1580905,1,True,0.1323785010325908,0.29046900103259077
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.85,adaptive_t0.85,0.8995535714285714,0.9046319127082824,0.4367532432079315,0.0961163640022277,0.0725205,0.08557,0.1580905,1,True,0.1323785010325908,0.29046900103259077
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.9,adaptive_t0.9,0.8995535714285714,0.9046319127082824,0.4367532432079315,0.0961163640022277,0.0725205,0.08557,0.1580905,1,True,0.1323785010325908,0.29046900103259077
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.925,adaptive_t0.925,0.9497767857142856,0.9539906978607178,0.2031923830509185,0.0208609104156494,0.0725205,0.090509,0.1630295,1,True,0.1600059989859462,0.3230354989859462
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.95,adaptive_t0.95,0.9497767857142856,0.9539906978607178,0.2031923830509185,0.0208609104156494,0.0725205,0.090509,0.1630295,1,True,0.1600059989859462,0.3230354989859462
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.5,adaptive_t0.5,0.6004464285714286,0.7017635107040405,0.2374738007783889,0.0247318148612976,0.0973469999999999,0.1071,0.2044469999999999,1,True,0.2328464996792674,0.43729349967926734
