policy,mode,target,adaptive_projection_path_ms,adaptive_dense_to_sparse_kl,fixed_cell_projection_path_ms,fixed_cell_dense_to_sparse_kl,adaptive_e2e_frontier_win
adaptive_calibrated,adaptive_calibrated,0.0,0.8736549469809454,9.294881661732992,0.8037754761271054,8.519597583346897,False
adaptive_t0.5,adaptive,0.5,0.8389966769662212,9.208087285359701,0.8037754761271054,8.519597583346897,False
adaptive_t0.55,adaptive,0.55,0.9009951006009459,9.127659214867485,0.8037754761271054,8.519597583346897,False
adaptive_t0.6,adaptive,0.6,0.9569966060141687,8.446757210625542,0.8535437670979894,8.069072988298204,False
adaptive_t0.65,adaptive,0.65,1.0114145002216306,7.1863451268937855,0.9004602411572609,6.44514799118042,False
adaptive_t0.7,adaptive,0.7,1.048307608456458,5.116166472434998,0.9974322780450923,4.688711643218994,False
adaptive_t0.75,adaptive,0.75,1.104810341023694,2.707012587123447,1.1037966298526183,2.467284166150623,False
adaptive_t0.8,adaptive,0.8,1.1686101453752777,1.5899713734785716,1.1237936990299557,1.5587277313073475,False
adaptive_t0.85,adaptive,0.85,1.1965709659946533,1.789842125442293,1.1237936990299557,1.5587277313073475,False
adaptive_t0.9,adaptive,0.9,1.2185897783990915,1.5694979578256607,1.1237936990299557,1.5587277313073475,False
adaptive_t0.925,adaptive,0.925,1.2217604185886206,1.5606838232941098,1.1237936990299557,1.5587277313073475,False
adaptive_t0.95,adaptive,0.95,1.2228129106830379,1.5646033535401027,1.1237936990299557,1.5587277313073475,False
