model,shape,selected_target,calibration_relative_l2_error,calibration_actual_total_ms,calibration_selected_fraction,error_ceiling,ceiling_met
qwen05,4864x896,0.55,0.36374033159679836,1.2055255003462502,0.6444627192982456,0.42,True
qwen05,896x128,0.55,0.38823940170307947,0.31316930586141345,0.6997767857142857,0.42,True
qwen05,896x4864,0.6,0.41444140838252175,1.0640525827569762,0.6112351190476191,0.42,True
qwen05,896x896,0.5,0.25814468972384924,2.869320861235576,0.5834573412698413,0.42,True
smol360,2560x960,0.5,0.3283520324362648,0.777906723011891,0.6111111111111112,0.42,True
smol360,960x2560,0.5,0.3733053844836023,0.7023223331212567,0.5111111111111112,0.42,True
smol360,960x320,0.5,0.41272496928771335,0.3709769165283971,0.6777777777777778,0.42,True
smol360,960x960,0.5,0.2542083139220873,0.4887487221098342,0.6472222222222223,0.42,True
tiny11,2048x2048,0.5,0.401612584789594,0.8730788331433071,0.4500054253472222,0.42,True
tiny11,2048x256,0.5,0.376874431139893,0.46934575028080733,0.5779079861111112,0.42,True
tiny11,2048x5632,0.55,0.4056762175427543,2.34071216585959,0.5777452256944444,0.42,True
tiny11,5632x2048,0.5,0.38535167276859283,2.161350724380328,0.5666627209595959,0.42,True
