model,shape,budget_index,calibrated_nonselector_ms,calibrated_selector_ms
qwen05,4864x896,0,0.26252188827651735,0.14762166666666665
qwen05,4864x896,1,0.31682938887865014,0.14729716666666665
qwen05,4864x896,2,0.4330125000962019,0.159447
qwen05,4864x896,3,0.45204983395225473,0.16927944444444443
qwen05,4864x896,4,0.5121843894542324,0.16281338888888885
qwen05,4864x896,5,0.5489235552594927,0.17798183333333328
qwen05,4864x896,6,0.5903190013957951,0.17485766666666666
qwen05,4864x896,7,0.6635228907769852,0.18319255555555555
qwen05,4864x896,8,0.7017469448972344,0.19674961111111108
qwen05,4864x896,9,0.7922978906572793,0.19786094444444446
qwen05,4864x896,10,0.8310935550241668,0.2057692222222222
qwen05,4864x896,11,0.8390596673053304,0.21278305555555554
qwen05,4864x896,12,0.9450021663624314,0.20767966666666665
qwen05,4864x896,13,0.9558776660258241,0.2157002222222222
qwen05,4864x896,14,1.0435331115061774,0.19650644444444446
qwen05,4864x896,15,1.0899973317106566,0.21701372222222223
qwen05,4864x896,16,1.1583479444607363,0.2142635
qwen05,4864x896,17,1.2635191115769544,0.21194922222222223
qwen05,896x128,0,0.12927216656149423,0.09653063888888888
qwen05,896x128,1,0.1247988331759969,0.09738319444444442
qwen05,896x128,2,0.13935458350906105,0.09575155555555552
qwen05,896x128,3,0.1299653330134716,0.09626241666666664
qwen05,896x128,4,0.1286595829887191,0.09249166666666667
qwen05,896x128,5,0.13588052811661358,0.10432711111111109
qwen05,896x128,6,0.13536316657932593,0.10259480555555553
qwen05,896x128,7,0.13238991670195588,0.0944962222222222
qwen05,896x128,8,0.14019530527785415,0.10014552777777777
qwen05,896x128,9,0.1468502778413262,0.09739341666666666
qwen05,896x128,10,0.14051319427023326,0.1001111388888889
qwen05,896x128,11,0.135390944731007,0.09274613888888888
qwen05,896x128,12,0.1384380279318988,0.09193263888888889
qwen05,896x128,13,0.14307674956071373,0.09193408333333333
qwen05,896x128,14,0.1411031390894883,0.10363716666666663
qwen05,896x128,15,0.14995952774954502,0.09823602777777776
qwen05,896x128,16,0.14920130578985807,0.09130247222222221
qwen05,896x128,17,0.14998733332843578,0.09338297222222221
qwen05,896x4864,0,0.2430718053163985,0.11300238888888889
qwen05,896x4864,1,0.3456132224174837,0.11414797222222221
qwen05,896x4864,2,0.40569799976346227,0.12610827777777775
qwen05,896x4864,3,0.44160697149267125,0.12221991666666665
qwen05,896x4864,4,0.49560755587500327,0.12678283333333332
qwen05,896x4864,5,0.5365111943684187,0.13714091666666667
qwen05,896x4864,6,0.589086028428571,0.13208711111111113
qwen05,896x4864,7,0.6397602500818306,0.1429678611111111
qwen05,896x4864,8,0.6586249443698128,0.12846302777777774
qwen05,896x4864,9,0.7454319992160301,0.13988188888888886
qwen05,896x4864,10,0.7956908893051975,0.15575669444444445
qwen05,896x4864,11,0.8665177783336077,0.1484057222222222
qwen05,896x4864,12,0.907317915789359,0.16040949999999998
qwen05,896x4864,13,0.9118375000498461,0.13440969444444445
qwen05,896x4864,14,1.0535691109727587,0.16147813888888887
qwen05,896x4864,15,1.0626487501928077,0.16012505555555556
qwen05,896x4864,16,1.1374841106482478,0.1597051388888889
qwen05,896x4864,17,1.192151917627702,0.1666865
qwen05,896x896,0,0.14551063876623574,0.10759224999999999
qwen05,896x896,1,0.15396836093582372,0.10046122222222222
qwen05,896x896,2,0.19281008328966628,0.10849569444444444
qwen05,896x896,3,0.18347049986808164,0.10772805555555555
qwen05,896x896,4,0.18919977775523394,0.10645977777777776
qwen05,896x896,5,0.20278099995031948,0.11204986111111108
qwen05,896x896,6,0.21256258321642874,0.10417266666666666
qwen05,896x896,7,0.2338010553744071,0.10604983333333333
qwen05,896x896,8,0.23374822215029592,0.11121605555555554
qwen05,896x896,9,0.2549941663973298,0.11039122222222221
qwen05,896x896,10,0.26245397218760513,0.11400122222222223
qwen05,896x896,11,0.270296528007451,0.11714491666666665
qwen05,896x896,12,0.29035830477489366,0.11885441666666664
qwen05,896x896,13,0.28463313913659916,0.11917947222222221
qwen05,896x896,14,0.3235688337672783,0.12137249999999998
qwen05,896x896,15,0.3120673889012602,0.11596191666666665
qwen05,896x896,16,0.32056624973148434,0.11996111111111109
qwen05,896x896,17,0.3592940007375909,0.1136451111111111
smol360,2560x960,0,0.20157322197888955,0.13497022222222219
smol360,2560x960,1,0.22330638915381165,0.12063011111111112
smol360,2560x960,2,0.2661911116293536,0.11641383333333333
smol360,2560x960,3,0.31599200053179266,0.12302388888888888
smol360,2560x960,4,0.37346049973197115,0.11961777777777777
smol360,2560x960,5,0.3982882221584452,0.11793277777777773
smol360,2560x960,6,0.4169792225813203,0.11877216666666666
smol360,2560x960,7,0.4375906660998596,0.11861888888888886
smol360,2560x960,8,0.4691328889527651,0.12794255555555556
smol360,2560x960,9,0.49731783241936234,0.12974222222222218
smol360,2560x960,10,0.5318966664069428,0.1274172222222222
smol360,2560x960,11,0.5779008334986369,0.13213688888888886
smol360,2560x960,12,0.5777741675087678,0.13762405555555557
smol360,2560x960,13,0.6087260557895502,0.12627333333333332
smol360,2560x960,14,0.6164808897116846,0.13350688888888887
smol360,2560x960,15,0.6702278882942001,0.13156205555555553
smol360,2560x960,16,0.6883754451323615,0.13863377777777777
smol360,2560x960,17,0.7113915559099515,0.13694177777777777
smol360,960x2560,0,0.19897455557587077,0.11906330555555554
smol360,960x2560,1,0.2299773890974389,0.12107858333333331
smol360,960x2560,2,0.25238055532451464,0.11621461111111109
smol360,960x2560,3,0.2994845834370984,0.12282469444444444
smol360,960x2560,4,0.34380644436076285,0.11496549999999998
smol360,960x2560,5,0.38399583318931196,0.1113151111111111
smol360,960x2560,6,0.41178219455515674,0.11201894444444443
smol360,960x2560,7,0.4348559167909655,0.11848552777777778
smol360,960x2560,8,0.4771618885899286,0.12216402777777777
smol360,960x2560,9,0.5005063336342076,0.1320061111111111
smol360,960x2560,10,0.5122227780282431,0.12959380555555555
smol360,960x2560,11,0.5499323887977766,0.12200299999999999
smol360,960x2560,12,0.5582147500836816,0.12381580555555553
smol360,960x2560,13,0.5827088604748712,0.12654894444444442
smol360,960x2560,14,0.6176000546628104,0.1270234722222222
smol360,960x2560,15,0.6574599725581771,0.1306693888888889
smol360,960x2560,16,0.6906988619110949,0.12989661111111112
smol360,960x2560,17,0.7268633340003823,0.13355244444444442
smol360,960x320,0,0.1306153333068291,0.09956897222222222
smol360,960x320,1,0.13030666669721402,0.09928383333333331
smol360,960x320,2,0.13134649955264394,0.09674102777777777
smol360,960x320,3,0.13589041627419654,0.09435166666666665
smol360,960x320,4,0.14598027746352882,0.09683441666666666
smol360,960x320,5,0.14735466661806237,0.09787744444444443
smol360,960x320,6,0.14748841673124496,0.09817438888888888
smol360,960x320,7,0.15047502783208422,0.10134836111111109
smol360,960x320,8,0.15403211109071635,0.10897844444444443
smol360,960x320,9,0.16252047241211598,0.10632747222222222
smol360,960x320,10,0.16519733334284353,0.10487199999999998
smol360,960x320,11,0.1701865279836522,0.10667205555555553
smol360,960x320,12,0.1957889164285229,0.11117319444444441
smol360,960x320,13,0.19193219434846767,0.11670416666666664
smol360,960x320,14,0.19061758325902287,0.10755391666666665
smol360,960x320,15,0.20356638875018554,0.10775283333333334
smol360,960x320,16,0.20144744434440465,0.1118667222222222
smol360,960x320,17,0.2338487499847147,0.1113987222222222
smol360,960x960,0,0.15097002771795787,0.10756469444444444
smol360,960x960,1,0.15558124994649486,0.11326541666666665
smol360,960x960,2,0.17436202755009794,0.12094849999999997
smol360,960x960,3,0.20256819449323743,0.11855255555555555
smol360,960x960,4,0.19795725002701742,0.11109727777777774
smol360,960x960,5,0.2133966110640565,0.11405436111111109
smol360,960x960,6,0.22607638888161047,0.10554047222222221
smol360,960x960,7,0.23555341629477666,0.11545430555555554
smol360,960x960,8,0.25950811095799003,0.11732241666666665
smol360,960x960,9,0.26285591650210155,0.11692344444444441
smol360,960x960,10,0.2806200554490222,0.11963538888888887
smol360,960x960,11,0.30532663877800104,0.12807558333333333
smol360,960x960,12,0.31037377807243993,0.13269569444444443
smol360,960x960,13,0.3134314167833659,0.1178596388888889
smol360,960x960,14,0.2969239163193636,0.11426530555555553
smol360,960x960,15,0.32343802812351785,0.12150913888888887
smol360,960x960,16,0.3429834725377924,0.1194859722222222
smol360,960x960,17,0.3571622778847548,0.10999461111111107
tiny11,2048x2048,0,0.2467956944030291,0.1537895833333333
tiny11,2048x2048,1,0.31906894410744635,0.14173205555555554
tiny11,2048x2048,2,0.3841058888079325,0.14058819444444443
tiny11,2048x2048,3,0.4173423336013489,0.1354278611111111
tiny11,2048x2048,4,0.4794363326074613,0.14922302777777777
tiny11,2048x2048,5,0.531239749592089,0.16256052777777777
tiny11,2048x2048,6,0.5931953611827757,0.1721636388888889
tiny11,2048x2048,7,0.6075351933561431,0.16552599999999998
tiny11,2048x2048,8,0.6565658335903751,0.15283305555555557
tiny11,2048x2048,9,0.6870585289096733,0.17377669444444444
tiny11,2048x2048,10,0.7755206100817025,0.1869445833333333
tiny11,2048x2048,11,0.8048781115832329,0.17703947222222222
tiny11,2048x2048,12,0.8369823607307176,0.19884294444444445
tiny11,2048x2048,13,0.8905081108786099,0.1557625
tiny11,2048x2048,14,0.9154445836119322,0.1961023888888889
tiny11,2048x2048,15,0.9965886125081214,0.18084733333333333
tiny11,2048x2048,16,1.0822914458567732,0.19289494444444444
tiny11,2048x2048,17,1.1304737797268265,0.19370183333333332
tiny11,2048x256,0,0.150685611000061,0.1291448888888889
tiny11,2048x256,1,0.15386322221147017,0.127757
tiny11,2048x256,2,0.1593741389195455,0.12486241666666666
tiny11,2048x256,3,0.1954747779144214,0.14034966666666668
tiny11,2048x256,4,0.1843741388218866,0.13424855555555557
tiny11,2048x256,5,0.18530297203233503,0.12566444444444444
tiny11,2048x256,6,0.18990497224940853,0.1300903611111111
tiny11,2048x256,7,0.20759672222803363,0.14559097222222223
tiny11,2048x256,8,0.22017336101816096,0.1504207777777778
tiny11,2048x256,9,0.2161119167983035,0.14519013888888888
tiny11,2048x256,10,0.21462536109264357,0.13668302777777777
tiny11,2048x256,11,0.24111658333972757,0.15222974999999997
tiny11,2048x256,12,0.22955600025052825,0.14612855555555554
tiny11,2048x256,13,0.2587073051726089,0.14883413888888886
tiny11,2048x256,14,0.2580813057810432,0.1430097777777778
tiny11,2048x256,15,0.2760843889588316,0.14559977777777777
tiny11,2048x256,16,0.2741145279902749,0.14676141666666664
tiny11,2048x256,17,0.29400836119636886,0.13640563888888887
tiny11,2048x5632,0,0.5135861944335367,0.17285822222222222
tiny11,2048x5632,1,0.6081678886876006,0.19551888888888888
tiny11,2048x5632,2,0.7782499168756902,0.20744488888888887
tiny11,2048x5632,3,0.8753149438725842,0.2150110833333333
tiny11,2048x5632,4,1.115021056011349,0.24608583333333328
tiny11,2048x5632,5,1.2462444442506235,0.27353127777777775
tiny11,2048x5632,6,1.363086359296269,0.26189816666666665
tiny11,2048x5632,7,1.506241695231272,0.2906780277777778
tiny11,2048x5632,8,1.6332419172928765,0.29714602777777777
tiny11,2048x5632,9,1.8061617489146957,0.32024294444444446
tiny11,2048x5632,10,2.035185221432984,0.3107924444444444
tiny11,2048x5632,11,2.2702208053047492,0.33789175
tiny11,2048x5632,12,2.435167387883554,0.3780303611111111
tiny11,2048x5632,13,2.5293681382995974,0.27330977777777776
tiny11,2048x5632,14,2.8143081949717734,0.3771095
tiny11,2048x5632,15,3.1199197500838243,0.4263343611111111
tiny11,2048x5632,16,3.214454112644401,0.40756608333333333
tiny11,2048x5632,17,3.2683399738413623,0.4343098611111111
tiny11,5632x2048,0,0.46228755498935775,0.19612855555555553
tiny11,5632x2048,1,0.6011413893119693,0.21097849999999999
tiny11,5632x2048,2,0.703061944846789,0.23236688888888887
tiny11,5632x2048,3,0.8105356109492182,0.18122166666666667
tiny11,5632x2048,4,0.9491026113221844,0.27933738888888887
tiny11,5632x2048,5,1.0944911663048797,0.2869743888888889
tiny11,5632x2048,6,1.2100073881799647,0.2794771111111111
tiny11,5632x2048,7,1.302225000080486,0.32441072222222217
tiny11,5632x2048,8,1.4388990568601487,0.2334337777777777
tiny11,5632x2048,9,1.6055747245673802,0.3505231111111111
tiny11,5632x2048,10,1.7145535004434918,0.40661316666666664
tiny11,5632x2048,11,1.9165668871311874,0.35510922222222224
tiny11,5632x2048,12,2.0443806126428115,0.41110116666666663
tiny11,5632x2048,13,2.1794986089605226,0.27053527777777775
tiny11,5632x2048,14,2.362010944303824,0.42022866666666664
tiny11,5632x2048,15,2.637799609908435,0.46551899999999996
tiny11,5632x2048,16,2.8568853915057715,0.4654393888888888
tiny11,5632x2048,17,2.9467944424474837,0.44927122222222216
