policy,mode,budget_index,budget_fraction,target,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,feasible_rate,projection_path_ms
adaptive_calibrated,adaptive_calibrated,0,,0.0,9,9.294881661732992,0.023861458525061576,8.230277379353842,1.1771571437517803,0.569209526940224,1.0,0.8736549469809454
adaptive_t0.5,adaptive,0,,0.5,9,9.208087285359701,0.026147020877235434,8.080395857493082,1.2438704305224948,0.5485043049927051,1.0,0.8389966769662212
adaptive_t0.55,adaptive,0,,0.55,9,9.127659214867485,0.022518301382660835,8.02372439702352,1.231650756465064,0.6325284724703459,1.0,0.9009951006009459
adaptive_t0.6,adaptive,0,,0.6,9,8.446757210625542,0.07244527070886556,7.432250526216295,1.1269175277815924,0.6954433709117271,1.0,0.9569966060141687
adaptive_t0.65,adaptive,0,,0.65,9,7.1863451268937855,0.08515801705006093,6.238887548446655,1.11507734325197,0.7579654425116581,1.0,1.0114145002216306
adaptive_t0.7,adaptive,0,,0.7,9,5.116166472434998,0.18386728771858743,4.181028048197429,0.8596127596166399,0.8167413391537155,1.0,1.048307608456458
adaptive_t0.75,adaptive,0,,0.75,9,2.707012587123447,0.3489454951551225,2.0020327700508966,0.6956938935650719,0.8696420828959317,1.0,1.104810341023694
adaptive_t0.8,adaptive,0,,0.8,9,1.5899713734785716,0.47583307491408455,1.0363347397910223,0.5903211782375971,0.9024725651897385,1.0,1.1686101453752777
adaptive_t0.85,adaptive,0,,0.85,9,1.789842125442293,0.4940086512102021,1.2317296928829617,0.5584107322825326,0.9222954922706675,1.0,1.1965709659946533
adaptive_t0.9,adaptive,0,,0.9,9,1.5694979578256607,0.5285538600550758,1.0167274210188124,0.5336890618006388,0.9443958578933466,1.0,1.2185897783990915
adaptive_t0.925,adaptive,0,,0.925,9,1.5606838232941098,0.5437733613782458,0.9795558849970499,0.53168123960495,0.9491364199188447,1.0,1.2217604185886206
adaptive_t0.95,adaptive,0,,0.95,9,1.5646033535401027,0.5364460067616569,1.033555759323968,0.5278151333332062,0.949881744806924,0.9976851851851853,1.2228129106830379
cell8_r10,cell8,0,0.1,,9,12.42224195268419,0.0,11.231731626722548,1.2693129115634494,0.10014984574870617,1.0,0.3477661270084624
cell8_r15,cell8,1,0.15,,9,12.602346420288086,0.004237891795734555,11.58445930480957,1.5050632887416415,0.14985015425129372,1.0,0.3856651269628039
cell8_r20,cell8,2,0.2,,9,11.57967864142524,0.009106634598639267,10.13398027420044,1.261000156402588,0.19999060404664257,1.0,0.43333283326978467
cell8_r25,cell8,3,0.25,,9,11.811745961507162,0.005437160790380478,10.552838961283365,1.3811583121617634,0.25,1.0,0.4841432856928069
cell8_r30,cell8,4,0.3,,9,11.853550910949707,0.011879994637436322,10.590304798550076,1.5619118743472629,0.30000939595335735,1.0,0.5331246006922475
