method,budget_index,budget_fraction,cases,actual_total_ms,selector_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate
cell8,0,0.1,189,0.3477661270084624,0.1205664841269841,0.7643424807382482,0.3724456060500372,0.14507742297081716,0.10014984574870615,1.0
cell8,1,0.15,189,0.3856651269628039,0.12211215079365079,0.7136228948772426,0.31451919627568076,0.20059453258438711,0.1498501542512938,1.0
cell8,2,0.2,189,0.43333283326978467,0.12672046296296297,0.6647647072181657,0.2681578438748758,0.257235675971344,0.19999060404664257,1.0
cell8,3,0.25,189,0.4841432856928069,0.12659750264550262,0.6153822331516831,0.22913788582282088,0.3171695652146818,0.25,1.0
cell8,4,0.3,189,0.5331246006922475,0.13655586772486772,0.5728205541671111,0.19682600195445707,0.37170189287927413,0.3000093959533574,1.0
cell8,5,0.35,189,0.5832809125021208,0.14109616137566136,0.5386138554642755,0.17389056796119323,0.42319348533317525,0.3501498457487061,1.0
cell8,6,0.4,189,0.6230407410630363,0.14229414814814814,0.5065560517881913,0.15261646269490475,0.47294589482917987,0.3998501542512938,1.0
cell8,7,0.45,189,0.6661073331583722,0.1484679761904762,0.474022934597636,0.13370367301204214,0.5218175104055455,0.4499906040466426,1.0
cell8,8,0.5,189,0.6877701877188317,0.1465517222222222,0.4409397885636993,0.11650057034517719,0.5684067985368153,0.5,1.0
cell8,9,0.55,189,0.755609653426548,0.1584826931216931,0.4105492445477654,0.10063460642698577,0.61543215046484,0.5500093959533574,1.0
cell8,10,0.6,189,0.8037754761271054,0.15899224603174603,0.3770038552690672,0.08619819652466543,0.6622112636212949,0.6001498457487062,1.0
cell8,11,0.65,189,0.8535437670979894,0.16435532804232802,0.34389166507337776,0.07195456002755135,0.7074078305688485,0.6498501542512938,1.0
cell8,12,0.7,189,0.9004602411572609,0.16748765608465607,0.30523271522874,0.05771686002690951,0.7542649655745773,0.6999906040466426,1.0
cell8,13,0.75,189,0.905376433600637,0.1475541005291005,0.27386532862616514,0.0474721578063157,0.7968574901106497,0.75,1.0
cell8,14,0.8,189,0.9974322780450923,0.169176037037037,0.23536442754366407,0.03551074342122149,0.8421490356404945,0.8000093959533574,1.0
cell8,15,0.85,189,1.0596579414193077,0.17563864814814814,0.20041715576579525,0.026179009644442718,0.883669789506014,0.8501498457487062,1.0
cell8,16,0.9,189,1.1037966298526183,0.17680380687830688,0.16084859397129286,0.017227443122359135,0.9240404931956498,0.8998501542512938,1.0
cell8,17,0.95,189,1.1237936990299557,0.17674590476190474,0.10842902977364478,0.008027154301840117,0.9634215396548075,0.9499906040466426,1.0
paper,0,0.1,189,0.5793472883109672,0.3335089947089947,0.7183071054005749,0.3366793113410788,0.16132307099917575,0.09651415851926895,0.5714285714285714
paper,1,0.15,189,0.6770665236837684,0.391378417989418,0.6665883669876075,0.2801467274862622,0.22064042414622329,0.14876618672289488,0.5238095238095238
paper,2,0.2,189,0.707277793559983,0.38037134391534394,0.6280965101190661,0.24810947911449208,0.2748080776639716,0.19717734881033752,0.6666666666666666
paper,3,0.25,189,0.7499139575055844,0.3763209391534391,0.5815292873947078,0.21054106099264958,0.3322546425319853,0.2499608395989975,0.9523809523809523
paper,4,0.3,189,0.7965447961829529,0.38932202116402115,0.548415205781422,0.18644053311575023,0.38300107175080234,0.2982324927578687,0.6666666666666666
paper,5,0.35,189,0.8634011770641972,0.41102240476190477,0.510802703411885,0.1624531853135931,0.43368031833537674,0.34647499811826643,0.5238095238095238
paper,6,0.4,189,0.8881135531073105,0.40478106349206344,0.47238317254201445,0.1394320899847323,0.4870171923801382,0.3987857669233961,0.5238095238095238
paper,7,0.45,189,0.9377147168329759,0.4203691957671957,0.4451630905112892,0.12305137057783738,0.5327523390136698,0.44713818840933506,0.6666666666666666
paper,8,0.5,189,0.963646322523722,0.41037490476190475,0.4138078459947513,0.10745297064856874,0.581167476833182,0.49998041979949875,0.9523809523809523
paper,9,0.55,189,1.0187518864218974,0.41324017195767193,0.3798140349191806,0.09171561557779863,0.6269513302379184,0.5481933323568662,0.6666666666666666
paper,10,0.6,189,1.0804042963311022,0.431341462962963,0.3540717818128763,0.08016890791988873,0.6691939341958868,0.5964945783187677,0.5238095238095238
paper,11,0.65,189,1.1348815986667826,0.43395768253968253,0.32310674008888696,0.06666940955257916,0.7155648223937504,0.6488053471238974,0.5714285714285714
paper,12,0.7,189,1.163443439511771,0.4266090767195767,0.2939420915873987,0.05547855045429609,0.757969564546353,0.6971577686098364,0.6666666666666666
paper,13,0.75,189,1.2241329259226947,0.4409869788359788,0.25661335332151597,0.043054050869411845,0.8027556585887122,0.75,1.0
paper,14,0.8,189,1.2986306115377155,0.4634599523809524,0.2238820696473811,0.03314786865597675,0.8438678071612403,0.7982129125573674,0.6666666666666666
paper,15,0.85,189,1.3802770928097459,0.4862603492063492,0.1927976546754873,0.025194071903430554,0.881920819560056,0.8465141585192689,0.5714285714285714
paper,16,0.9,189,1.4315258838336167,0.48783101058201056,0.1504729148838176,0.015254045605028702,0.9246951023106853,0.898766186722895,0.5238095238095238
paper,17,0.95,189,1.4619293465814405,0.4989567724867725,0.10231865124645141,0.007264797334317764,0.9621348081442415,0.9471773488103374,0.6666666666666666
