model,shape,target,predictor_margin,calibration_cases,calibration_grid_feasible_rate
qwen05,4864x896,0.5,0.2898026315789474,9,1.0
qwen05,4864x896,0.55,0.2968338815789474,9,1.0
qwen05,4864x896,0.6,0.2935855263157895,9,1.0
qwen05,4864x896,0.65,0.2786184210526316,9,1.0
qwen05,4864x896,0.7,0.2539884868421053,9,1.0
qwen05,4864x896,0.75,0.26640624999999996,9,1.0
qwen05,4864x896,0.8,0.22759046052631582,9,1.0
qwen05,4864x896,0.85,0.17664473684210535,9,1.0
qwen05,4864x896,0.9,0.11644736842105263,9,1.0
qwen05,4864x896,0.925,0.10744243421052635,9,1.0
qwen05,4864x896,0.95,0.09535361842105261,9,1.0
qwen05,896x128,0.5,0.3783482142857143,18,1.0
qwen05,896x128,0.55,0.39821428571428585,18,1.0
qwen05,896x128,0.6,0.4046875,18,1.0
qwen05,896x128,0.65,0.39330357142857153,18,1.0
qwen05,896x128,0.7,0.36629464285714286,18,1.0
qwen05,896x128,0.75,0.35245535714285725,18,1.0
qwen05,896x128,0.8,0.28437500000000004,18,1.0
qwen05,896x128,0.85,0.22946428571428568,18,1.0
qwen05,896x128,0.9,0.16562500000000002,18,1.0
qwen05,896x128,0.925,0.16093749999999996,18,1.0
qwen05,896x128,0.95,0.11964285714285705,18,1.0
qwen05,896x4864,0.5,0.12410714285714292,18,1.0
qwen05,896x4864,0.55,0.14933035714285725,18,1.0
qwen05,896x4864,0.6,0.11026785714285725,18,1.0
qwen05,896x4864,0.65,0.10089285714285712,18,1.0
qwen05,896x4864,0.7,0.09397321428571426,18,1.0
qwen05,896x4864,0.75,0.1183035714285714,18,1.0
qwen05,896x4864,0.8,0.10915178571428574,18,1.0
qwen05,896x4864,0.85,0.09776785714285707,18,1.0
qwen05,896x4864,0.9,0.08303571428571432,18,1.0
qwen05,896x4864,0.925,0.09843749999999996,18,1.0
qwen05,896x4864,0.95,0.06049107142857135,18,1.0
qwen05,896x896,0.5,0.3283482142857143,18,1.0
qwen05,896x896,0.55,0.3482142857142858,18,1.0
qwen05,896x896,0.6,0.35468750000000004,18,1.0
qwen05,896x896,0.65,0.3433035714285715,18,1.0
qwen05,896x896,0.7,0.3162946428571429,18,1.0
qwen05,896x896,0.75,0.27924107142857146,18,1.0
qwen05,896x896,0.8,0.234375,18,1.0
qwen05,896x896,0.85,0.21607142857142858,18,1.0
qwen05,896x896,0.9,0.16562500000000002,18,1.0
qwen05,896x896,0.925,0.16093749999999996,18,1.0
qwen05,896x896,0.95,0.11964285714285705,18,1.0
smol360,2560x960,0.5,0.340625,9,1.0
smol360,2560x960,0.55,0.36171875,9,1.0
smol360,2560x960,0.6,0.372265625,9,1.0
smol360,2560x960,0.65,0.370703125,9,1.0
smol360,2560x960,0.7,0.356640625,9,1.0
smol360,2560x960,0.75,0.32890625,9,1.0
smol360,2560x960,0.8,0.28593749999999996,9,1.0
smol360,2560x960,0.85,0.23750000000000004,9,1.0
smol360,2560x960,0.9,0.19999999999999996,9,1.0
smol360,2560x960,0.925,0.177734375,9,1.0
smol360,2560x960,0.95,0.1484375,9,1.0
smol360,960x2560,0.5,0.12604166666666672,18,1.0
smol360,960x2560,0.55,0.11875000000000002,18,1.0
smol360,960x2560,0.6,0.10937500000000006,18,1.0
smol360,960x2560,0.65,0.1010416666666667,18,1.0
smol360,960x2560,0.7,0.09583333333333333,18,1.0
smol360,960x2560,0.75,0.08854166666666663,18,1.0
smol360,960x2560,0.8,0.09270833333333339,18,1.0
smol360,960x2560,0.85,0.08124999999999993,18,1.0
smol360,960x2560,0.9,0.060416666666666674,18,1.0
smol360,960x2560,0.925,0.07291666666666663,18,1.0
smol360,960x2560,0.95,0.03437499999999993,18,1.0
smol360,960x320,0.5,0.3364583333333334,18,1.0
smol360,960x320,0.55,0.3916666666666667,18,1.0
smol360,960x320,0.6,0.40625000000000006,18,1.0
smol360,960x320,0.65,0.40208333333333335,18,1.0
smol360,960x320,0.7,0.38958333333333334,18,1.0
smol360,960x320,0.75,0.36979166666666663,18,1.0
smol360,960x320,0.8,0.34375,18,1.0
smol360,960x320,0.85,0.30625,18,1.0
smol360,960x320,0.9,0.30729166666666674,18,1.0
smol360,960x320,0.925,0.29166666666666663,18,1.0
smol360,960x320,0.95,0.23229166666666667,18,1.0
smol360,960x960,0.5,0.3291666666666667,18,1.0
smol360,960x960,0.55,0.3510416666666667,18,1.0
smol360,960x960,0.6,0.35625,18,1.0
smol360,960x960,0.65,0.3520833333333334,18,1.0
smol360,960x960,0.7,0.3395833333333333,18,1.0
smol360,960x960,0.75,0.3197916666666667,18,1.0
smol360,960x960,0.8,0.29374999999999996,18,1.0
smol360,960x960,0.85,0.25625,18,1.0
smol360,960x960,0.9,0.2572916666666667,18,1.0
smol360,960x960,0.925,0.2489583333333334,18,1.0
smol360,960x960,0.95,0.18229166666666674,18,1.0
tiny11,2048x2048,0.5,0.18779296875,18,1.0
tiny11,2048x2048,0.55,0.2333984375,18,1.0
tiny11,2048x2048,0.6,0.27607421875,18,1.0
tiny11,2048x2048,0.65,0.31240234375,18,1.0
tiny11,2048x2048,0.7,0.34140625,18,1.0
tiny11,2048x2048,0.75,0.35380859375,18,1.0
tiny11,2048x2048,0.8,0.36542968750000004,18,1.0
tiny11,2048x2048,0.85,0.30185546875,18,1.0
tiny11,2048x2048,0.9,0.25380859375,18,1.0
tiny11,2048x2048,0.925,0.23847656250000004,18,1.0
tiny11,2048x2048,0.95,0.18886718749999998,18,1.0
tiny11,2048x256,0.5,0.28779296875,18,1.0
tiny11,2048x256,0.55,0.3333984375,18,1.0
tiny11,2048x256,0.6,0.37607421875,18,1.0
tiny11,2048x256,0.65,0.4541015625,18,1.0
tiny11,2048x256,0.7,0.54140625,18,1.0
tiny11,2048x256,0.75,0.50380859375,18,1.0
tiny11,2048x256,0.8,0.5154296875,18,1.0
tiny11,2048x256,0.85,0.43603515625,18,1.0
tiny11,2048x256,0.9,0.37880859375,18,1.0
tiny11,2048x256,0.925,0.3384765625,18,1.0
tiny11,2048x256,0.95,0.23886718750000002,18,1.0
tiny11,2048x5632,0.5,0.091796875,18,1.0
