case_key,model,prompt,split,module,shape,target,unstructured_required_rows,unstructured_required_fraction,predictor_median_ms,predictor_p95_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.5,153,0.17075892857142858,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.55,193,0.21540178571428573,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.6,240,0.26785714285714285,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.65,292,0.32589285714285715,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.7,350,0.390625,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.75,415,0.46316964285714285,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.8,487,0.5435267857142857,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.85,568,0.6339285714285714,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.9,658,0.734375,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.925,707,0.7890625,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.q_proj,896x896,0.95,761,0.8493303571428571,43.408715,82.3140743
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.5,153,0.17075892857142858,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.55,193,0.21540178571428573,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.6,240,0.26785714285714285,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.65,292,0.32589285714285715,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.7,350,0.390625,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.75,415,0.46316964285714285,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.8,487,0.5435267857142857,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.85,568,0.6339285714285714,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.9,658,0.734375,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.925,707,0.7890625,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.k_proj,896x128,0.95,761,0.8493303571428571,0.1387295,0.15483365000000002
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.5,153,0.17075892857142858,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.55,193,0.21540178571428573,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.6,240,0.26785714285714285,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.65,292,0.32589285714285715,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.7,350,0.390625,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.75,415,0.46316964285714285,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.8,487,0.5435267857142857,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.85,568,0.6339285714285714,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.9,658,0.734375,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.925,707,0.7890625,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.v_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.v_proj,896x128,0.95,761,0.8493303571428571,0.0725205,0.08714145
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.5,224,0.25,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.55,266,0.296875,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.6,310,0.34598214285714285,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.65,358,0.39955357142857145,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.7,410,0.4575892857142857,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.75,467,0.5212053571428571,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.8,529,0.5904017857142857,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.85,596,0.6651785714285714,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.9,672,0.75,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.925,714,0.796875,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.self_attn.o_proj,qwen05,cal_short_factual,calibration,model.layers.0.self_attn.o_proj,896x896,0.95,761,0.8493303571428571,0.09734699999999999,0.1251777
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.5,346,0.3861607142857143,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.55,393,0.43861607142857145,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.6,442,0.49330357142857145,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.65,492,0.5491071428571429,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.7,543,0.6060267857142857,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.75,595,0.6640625,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.8,649,0.7243303571428571,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.85,705,0.7868303571428571,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.9,764,0.8526785714285714,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.925,794,0.8861607142857143,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.gate_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.gate_proj,896x4864,0.95,826,0.921875,0.156087,0.2086776
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,0.5,346,0.3861607142857143,0.099065,0.1349156
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,0.55,393,0.43861607142857145,0.099065,0.1349156
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,0.6,442,0.49330357142857145,0.099065,0.1349156
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,0.65,492,0.5491071428571429,0.099065,0.1349156
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,0.7,543,0.6060267857142857,0.099065,0.1349156
qwen05|cal_short_factual|model.layers.0.mlp.up_proj,qwen05,cal_short_factual,calibration,model.layers.0.mlp.up_proj,896x4864,0.75,595,0.6640625,0.099065,0.1349156
