case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.537575
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.280685
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,0,0,0.221344
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,0,1,0.078087
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.437809
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.232555
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,1,0,0.108883
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,1,1,0.078547
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.298408
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.239287
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,2,0,0.11251
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,2,1,0.083206
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.437879
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.237194
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,3,0,0.129072
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,3,1,0.093985
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.408364
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.34736
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,4,0,0.162955
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,4,1,0.08511
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,0,0.346328
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,5,1,0.232946
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,5,0,0.159148
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,5,1,0.112881
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,0,0.295122
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,6,1,0.246672
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,6,0,0.121347
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,6,1,0.083817
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,0,0.306423
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,7,1,0.270586
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,7,0,0.168084
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,7,1,0.083456
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,0,0.457295
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,8,1,0.24056
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,8,0,0.122169
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,8,1,0.082244
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,0,0.314208
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,9,1,0.244357
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,9,0,0.20308
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,9,1,0.088386
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,0,0.467354
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,10,1,0.257792
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,10,0,0.13922
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,10,1,0.088867
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,0,0.314568
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,11,1,0.273502
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,11,0,0.143008
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,11,1,0.086071
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,12,0,0.329897
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,12,1,0.27266
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,12,0,0.140823
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,12,1,0.098695
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,13,0,0.343212
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,13,1,0.245139
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,13,0,0.132137
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,13,1,0.088396
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,14,0,0.331831
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,14,1,0.259756
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,14,0,0.142426
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,14,1,0.092082
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,15,0,0.357919
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,15,1,0.26719
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,15,0,0.155521
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,15,1,0.088616
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,16,0,0.371424
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,16,1,0.258754
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,16,0,0.174556
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,16,1,0.093104
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,17,0,0.318616
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,17,1,0.260928
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,17,0,0.127158
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell8,17,1,0.08534
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,0,0,0.347219
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,0,1,0.270315
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,0,0,0.249036
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,0,1,0.151753
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,1,0,0.354132
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,1,1,0.233737
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,1,0,0.167152
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,1,1,0.092312
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,2,0,0.36382
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,2,1,0.2675
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,2,0,0.206205
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,2,1,0.112741
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,3,0,0.41157
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,3,1,0.257492
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,3,0,0.217877
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,3,1,0.099926
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,4,0,0.365995
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,4,1,0.351627
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,4,0,0.145703
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,4,1,0.083035
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,5,0,0.311683
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,5,1,0.251691
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,5,0,0.197209
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,5,1,0.108593
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,6,0,0.508581
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,6,1,0.327232
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,6,0,0.216114
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,6,1,0.115516
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,7,0,0.435043
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,7,1,0.213239
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,7,0,0.152796
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,7,1,0.082755
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,8,0,0.298097
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,8,1,0.20881
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,8,0,0.230691
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,8,1,0.134371
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,9,0,0.387485
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,9,1,0.232004
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,9,0,0.204252
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,9,1,0.090249
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,10,0,0.337621
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,10,1,0.201628
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,10,0,0.154068
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,10,1,0.082565
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,11,0,0.335607
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,11,1,0.187481
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,11,0,0.129783
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,11,1,0.074048
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,12,0,0.276467
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,paper,12,1,0.177863
qwen05|cal_short_factual|model.layers.0.self_attn.k_proj,cell8,12,0,0.12326
