kl_ceiling,family,feasible,method,method_label,budget_fraction,projection_path_ms,achieved_kl
12.0,paper,True,paper,Paper,0.15,0.5738024575435784,11.60441255569458
12.0,cell8,True,cell8,Cell-8,0.2,0.4033787699009379,11.57967864142524
12.0,best_cell,True,cell2,Cell-2,0.2,0.396253248706496,11.317545466952854
10.0,paper,True,paper,Paper,0.5,0.8420936851199061,9.760278330908882
10.0,cell8,True,cell8,Cell-8,0.6,0.7536432038202165,8.519597583346897
10.0,best_cell,True,cell16,Cell-16,0.55,0.7163391884692487,9.538031895955404
8.0,paper,True,paper,Paper,0.7,1.0494418918631163,6.2026121616363525
8.0,cell8,True,cell8,Cell-8,0.7,0.8426819369321286,6.44514799118042
8.0,best_cell,True,cell1,Cell-1,0.65,0.7849330688179614,7.788967609405518
6.0,paper,True,paper,Paper,0.75,1.097121775215264,4.977282285690308
6.0,cell8,True,cell8,Cell-8,0.75,0.8533569285365598,5.794718795352512
6.0,best_cell,True,cell4,Cell-4,0.75,0.8506731534735515,5.502559370464748
4.0,paper,True,paper,Paper,0.85,1.2065837616333144,2.9082143041822643
4.0,cell8,True,cell8,Cell-8,0.85,0.9850528066769639,2.8509572678142123
4.0,best_cell,True,cell2,Cell-2,0.85,0.957429560943952,3.704810619354248
2.0,paper,True,paper,Paper,0.95,1.3226917938091225,1.0912665377060573
2.0,cell8,True,cell8,Cell-8,0.95,1.0739632437566733,1.5587277313073475
2.0,best_cell,True,cell1,Cell-1,0.95,1.0222234053710355,0.6121034158600701
1.6,paper,True,paper,Paper,0.95,1.3226917938091225,1.0912665377060573
1.6,cell8,True,cell8,Cell-8,0.95,1.0739632437566733,1.5587277313073475
1.6,best_cell,True,cell1,Cell-1,0.95,1.0222234053710355,0.6121034158600701
