method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,projection_path_ms
cell1,Cell-1,0,0.1,9,14.49552387661404,0.0,12.924932797749838,1.2635281085968018,0.10014984574870617,0,0.30315879104179233
cell1,Cell-1,1,0.15,9,14.097130881415474,0.0014245014430747998,12.573583390977648,1.5115827189551458,0.14985015425129372,0,0.347686111078514
cell1,Cell-1,2,0.2,9,15.045779758029514,0.005952381011512544,13.76084762149387,1.915258268515269,0.19999060404664257,0,0.3947509866214742
cell1,Cell-1,3,0.25,9,12.880446328057182,0.005214545668827155,11.54836474524604,1.6301329996850755,0.25,0,0.43456436506152973
cell1,Cell-1,4,0.3,9,13.133052931891548,0.005494505580928578,11.938399420844185,1.6515792740715876,0.30000939595335735,0,0.48114340208774997
cell1,Cell-1,5,0.35,9,11.34723949432373,0.006224280016289811,10.158026960160997,1.320727076795366,0.3501498457487061,0,0.5236722986790863
cell1,Cell-1,6,0.4,9,12.266626199086508,0.009908453664845877,11.153278032938639,1.5925648146205478,0.3998501542512938,0,0.563797084598023
cell1,Cell-1,7,0.45,9,13.041288905673557,0.007059450778696255,11.89489057328966,1.5138594839307997,0.4499906040466426,0,0.6039666878486417
cell1,Cell-1,8,0.5,9,10.001515176561144,0.0188514310866594,8.74906783633762,1.3106243941518996,0.5,0,0.6351312060458165
cell1,Cell-1,9,0.55,9,11.626702361636692,0.021337213977757386,10.665076149834526,1.5194686783684626,0.5500093959533574,0,0.6851408072098222
cell1,Cell-1,10,0.6,9,10.045233408610025,0.027442505583167045,9.017148070865208,1.253073361184862,0.6001498457487062,0,0.7411362219900921
cell1,Cell-1,11,0.65,9,7.788967609405518,0.04818085260275336,6.8228477107154,1.145816703637441,0.6498501542512938,0,0.7849330688179614
cell1,Cell-1,12,0.7,9,7.09538655810886,0.08672209197862275,6.111533959706624,0.9933417439460754,0.6999906040466426,0,0.8199580321707514
cell1,Cell-1,13,0.75,9,6.999083836873372,0.08179832684497035,6.133824004067315,1.055808961391449,0.75,0,0.8553580423706022
cell1,Cell-1,14,0.8,9,5.184104998906453,0.1432841490540239,4.1924962467617455,0.8924789892302619,0.8000093959533573,0,0.9093073785003153
cell1,Cell-1,15,0.85,9,4.255050341288249,0.2336867820057604,3.335059576564365,0.8643444511625502,0.8501498457487061,0,0.9498782800355147
cell1,Cell-1,16,0.9,9,2.6712274187140994,0.3874833662476804,1.9655385149849787,0.6807093554072909,0.8998501542512939,0,0.9909718387383422
cell1,Cell-1,17,0.95,9,0.6121034158600701,0.6528096000353495,0.26309900813632536,0.4206874006324344,0.9499906040466427,0,1.0222234053710355
cell16,Cell-16,0,0.1,9,12.87039523654514,0.010989011161857179,11.611345397101509,1.4195173448986478,0.10014984574870617,0,0.30861554755041076
cell16,Cell-16,1,0.15,9,12.031433741251627,0.009822381453381634,10.724230607350668,1.3562647038035922,0.14985015425129372,0,0.3622821006209273
cell16,Cell-16,2,0.2,9,12.733366754319933,0.0,11.413541422949898,1.297173751725091,0.19999060404664257,0,0.4072765845473986
cell16,Cell-16,3,0.25,9,12.5801362991333,0.01368888508942391,11.381847699483236,1.5435840023888483,0.25,0,0.43865469296108317
cell16,Cell-16,4,0.3,9,11.0591156217787,0.014982555889421033,9.808710840013292,1.5048001607259114,0.30000939595335735,0,0.499608206402871
cell16,Cell-16,5,0.35,9,12.227843602498373,0.019087038209868776,11.182508892483181,1.6150468190511067,0.3501498457487061,0,0.5439546003705029
cell16,Cell-16,6,0.4,9,10.570187462700737,0.02311882769895922,9.569700770907932,1.6282687253422208,0.3998501542512938,0,0.5823519973095217
cell16,Cell-16,7,0.45,9,11.951917542351616,0.012159705575969479,10.84744209713406,1.2900704277886286,0.4499906040466426,0,0.6212866270792652
cell16,Cell-16,8,0.5,9,10.193214734395346,0.016559238442116302,9.08079915576511,1.247095763683319,0.5,0,0.6399075898929125
cell16,Cell-16,9,0.55,9,9.538031895955404,0.020071849123471288,8.452258110046387,1.1254962152904935,0.5500093959533574,0,0.7163391884692487
cell16,Cell-16,10,0.6,9,8.150207466549343,0.04038616983840861,7.080220911237928,1.0284230775303311,0.6001498457487062,0,0.7680583541986189
cell16,Cell-16,11,0.65,9,7.722667535146077,0.028237716708746197,6.611801200442844,1.1169662078221638,0.6498501542512938,0,0.8222584525492185
cell16,Cell-16,12,0.7,9,6.279126670625475,0.10238349241101077,5.264145586225721,0.9900870654318068,0.6999906040466426,0,0.8686171352585457
cell16,Cell-16,13,0.75,9,5.074240711000231,0.12763726980321932,4.05676982137892,0.9512827661302354,0.75,0,0.8661284602752491
cell16,Cell-16,14,0.8,9,4.7211242251926,0.1927208326136072,3.6886296934551663,0.8810038997067345,0.8000093959533573,0,0.9509991326607561
cell16,Cell-16,15,0.85,9,2.6989180776807995,0.3392951674759388,1.8512266079584758,0.7492092616028256,0.8501498457487061,0,1.0092316720157297
cell16,Cell-16,16,0.9,9,2.163577914237976,0.4481942877173424,1.454239845275879,0.6712747348679436,0.8998501542512939,0,1.0924976964189785
cell16,Cell-16,17,0.95,9,1.2264908932977252,0.5950139496061537,0.7090016073650784,0.4687882595592075,0.9499906040466427,0,1.0985122567787236
cell2,Cell-2,0,0.1,9,12.20123651292589,0.010989011161857179,10.97536563873291,1.4883441660139296,0.10014984574870617,0,0.30180324864326424
cell2,Cell-2,1,0.15,9,13.334362347920736,0.0026455026947789667,12.265763282775879,1.736362894376119,0.14985015425129372,0,0.35072291008652895
cell2,Cell-2,2,0.2,9,11.317545466952854,0.0013888889095849443,10.104789468977186,1.3817958964241877,0.19999060404664257,0,0.396253248706496
cell2,Cell-2,3,0.25,9,12.996417575412327,0.0020667621865868447,11.72569719950358,1.4976885583665636,0.25,0,0.4353260105231988
cell2,Cell-2,4,0.3,9,12.519770198398167,0.008737507483197578,11.280958069695366,1.6616894404093425,0.30000939595335735,0,0.48133203190773566
cell2,Cell-2,5,0.35,9,11.671001116434732,0.009768010220593867,10.35826047261556,1.4207098947630987,0.3501498457487061,0,0.524888719412131
cell2,Cell-2,6,0.4,9,11.235179477267796,0.015197707650562112,10.102652867635092,1.4539535575442843,0.3998501542512938,0,0.5689488728149343
cell2,Cell-2,7,0.45,9,12.832249853346083,0.020873386412858956,11.879036903381348,1.5697204338179693,0.4499906040466426,0,0.6036503994254186
