method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_ms,nonselector_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,fallback_rate,cell_count
cell2,Cell-2,0,0.1,189,0.30180324864326424,0.0906026693121693,0.2112005793310949,0.7681177244201381,0.37701192167070174,0.1434593858226897,0.10014984574870615,1.0,0.0,2.0
cell4,Cell-4,0,0.1,189,0.30194627244819217,0.09090803703703702,0.21103823541115513,0.7653822035444949,0.37480547756114335,0.14445518836300206,0.10014984574870615,1.0,0.0,4.0
cell8,Cell-8,0,0.1,189,0.30490473800930207,0.09333266666666666,0.2115720713426354,0.7643424807382482,0.3724456060500372,0.14507742297081716,0.10014984574870615,1.0,0.0,8.0
cell16,Cell-16,0,0.1,189,0.30861554755041076,0.09611439153439152,0.21250115601601927,0.7634096227921349,0.3707706991326872,0.14588060872580005,0.10014984574870615,1.0,0.0,16.0
cell32,Cell-32,0,0.1,189,0.31979695235001787,0.10697089947089945,0.21282605287911838,0.7629432928842054,0.36954580476044346,0.14662850896517432,0.10014984574870615,1.0,0.0,32.0
cell1,Cell-1,1,0.15,189,0.347686111078514,0.09248438359788358,0.25520172748063036,0.7294601580453297,0.33071201440518494,0.19505181435554741,0.1498501542512938,1.0,0.0,1.0
cell2,Cell-2,1,0.15,189,0.35072291008652895,0.0930423148148148,0.2576805952717141,0.7177551369916982,0.3186454864406081,0.19849419924947947,0.1498501542512938,1.0,0.0,2.0
cell4,Cell-4,1,0.15,189,0.351186796313305,0.09425463227513227,0.25693216403817276,0.7148264372258117,0.31524726669624364,0.1991079077518806,0.1498501542512938,1.0,0.0,4.0
cell8,Cell-8,1,0.15,189,0.357674724839605,0.09848752645502644,0.25918719838457854,0.7136228948772426,0.31451919627568076,0.20059453258438711,0.1498501542512938,1.0,0.0,8.0
cell16,Cell-16,1,0.15,189,0.3622821006209273,0.1015293148148148,0.2607527858061125,0.7124171621762413,0.3128809049015953,0.20173623109305341,0.1498501542512938,1.0,0.0,16.0
cell32,Cell-32,1,0.15,189,0.372259968292758,0.11296776190476188,0.259292206387996,0.7096831452929311,0.3087558471967303,0.20289552117150925,0.1498501542512938,1.0,0.0,32.0
cell1,Cell-1,2,0.2,189,0.3947509866214742,0.09412689417989417,0.30062409244157995,0.6860420031167528,0.2893002686046418,0.24994290994588655,0.19999060404664257,1.0,0.0,1.0
cell2,Cell-2,2,0.2,189,0.396253248706496,0.09580932275132273,0.30044392595517316,0.673863516095533,0.2770414875928687,0.25347409322463643,0.19999060404664257,1.0,0.0,2.0
cell4,Cell-4,2,0.2,189,0.39722968505194733,0.09752971693121691,0.2996999681207304,0.6695489814534547,0.27409561222823203,0.25496019367818473,0.19999060404664257,1.0,0.0,4.0
cell8,Cell-8,2,0.2,189,0.4033787699009379,0.10031067989417987,0.303068090006758,0.6647647072181657,0.2681578438748758,0.257235675971344,0.19999060404664257,1.0,0.0,8.0
cell32,Cell-32,2,0.2,189,0.41990424594083375,0.11885279629629629,0.3010514496445375,0.6624795119696981,0.26591812050531777,0.2590116975168702,0.19999060404664257,1.0,0.0,32.0
cell1,Cell-1,3,0.25,189,0.43456436506152973,0.09734236772486772,0.33722199733666197,0.6392434468128221,0.24334770787960633,0.3064271489148417,0.25,1.0,0.0,1.0
cell2,Cell-2,3,0.25,189,0.4353260105231988,0.09667005026455025,0.3386559602586485,0.6275480845893817,0.23478176795616348,0.3115176793444093,0.25,1.0,0.0,2.0
cell8,Cell-8,3,0.25,189,0.43712537820891983,0.09994224074074073,0.3371831374681791,0.6153822331516831,0.22913788582282088,0.3171695652146818,0.25,1.0,0.0,8.0
cell4,Cell-4,3,0.25,189,0.43752385447923914,0.09979361904761903,0.33773023543162,0.6145141556977279,0.22827428011667156,0.31626926086567064,0.25,1.0,0.0,4.0
cell16,Cell-16,3,0.25,189,0.43865469296108317,0.1007779656084656,0.3378767273526176,0.6136631951839836,0.22868985568404826,0.3180846267591708,0.25,1.0,0.0,16.0
cell1,Cell-1,4,0.3,189,0.48114340208774997,0.09620276984126984,0.38494063224648006,0.5996124459203904,0.21242456082944514,0.35837113983416685,0.3000093959533574,1.0,0.0,1.0
cell2,Cell-2,4,0.3,189,0.48133203190773566,0.09930549470899469,0.38202653719874097,0.5902333369468729,0.20643839981190107,0.3654853047201873,0.3000093959533574,1.0,0.0,2.0
cell4,Cell-4,4,0.3,189,0.4877907592849274,0.10015023015873015,0.38764052912619723,0.5824786834517326,0.2032691637674967,0.3682224422535568,0.3000093959533574,1.0,0.0,4.0
cell8,Cell-8,4,0.3,189,0.4899506905593506,0.1053717619047619,0.3845789286545887,0.5728205541671111,0.19682600195445707,0.37170189287927413,0.3000093959533574,1.0,0.0,8.0
cell16,Cell-16,4,0.3,189,0.499608206402871,0.11352119576719574,0.38608701063567524,0.5726571470479328,0.19662776762846282,0.37257541392846083,0.3000093959533574,1.0,0.0,16.0
cell1,Cell-1,5,0.35,189,0.5236722986790863,0.09764253439153438,0.4260297642875519,0.5595351460650957,0.18358497455637288,0.4112371712449997,0.3501498457487061,1.0,0.0,1.0
cell2,Cell-2,5,0.35,189,0.524888719412131,0.10071012698412697,0.424178592428004,0.5528349730545882,0.18007479679016836,0.41828362667371355,0.3501498457487061,1.0,0.0,2.0
cell4,Cell-4,5,0.35,189,0.5270123014281212,0.10314901058201058,0.42386329084611063,0.5407865240420929,0.17460329665078053,0.42136759906218796,0.3501498457487061,1.0,0.0,4.0
cell8,Cell-8,5,0.35,189,0.5415152669235023,0.11346379365079363,0.42805147327270865,0.5386138554642755,0.17389056796119323,0.42319348533317525,0.3501498457487061,1.0,0.0,8.0
cell16,Cell-16,5,0.35,189,0.5439546003705029,0.11720834656084654,0.42674625380965636,0.5383111737353146,0.1729787777340601,0.42398558359928235,0.3501498457487061,1.0,0.0,16.0
cell1,Cell-1,6,0.4,189,0.563797084598023,0.09822314550264548,0.4655739390953776,0.5298076647989176,0.16393335849519755,0.45940666397412616,0.3998501542512938,1.0,0.0,1.0
cell4,Cell-4,6,0.4,189,0.5649563863154792,0.10503600264550263,0.4599203836699765,0.5110486038423404,0.15414776026256496,0.4705249384912864,0.3998501542512938,1.0,0.0,4.0
cell8,Cell-8,6,0.4,189,0.5759345875273101,0.10988810317460315,0.46604648435270685,0.5065560517881913,0.15261646269490475,0.47294589482917987,0.3998501542512938,1.0,0.0,8.0
cell2,Cell-2,7,0.45,189,0.6036503994254186,0.10317929894179893,0.5004711004836196,0.48543669155271596,0.1374879479408264,0.517026594706944,0.4499906040466426,1.0,0.0,2.0
cell4,Cell-4,7,0.45,189,0.6048627145129376,0.10573812169312169,0.49912459281981586,0.4761901791330683,0.13408876443035384,0.5203890563949706,0.4499906040466426,1.0,0.0,4.0
cell8,Cell-8,7,0.45,189,0.6063689046872301,0.11382908465608464,0.49253982003114555,0.474022934597636,0.13370367301204214,0.5218175104055455,0.4499906040466426,1.0,0.0,8.0
cell16,Cell-16,7,0.45,189,0.6212866270792652,0.1253877328042328,0.4958988942750323,0.47284598910698183,0.13327596679566395,0.5229165576122425,0.4499906040466426,1.0,0.0,16.0
cell4,Cell-4,8,0.5,189,0.6350679785274204,0.10769259523809523,0.5273753832893252,0.44522655846935416,0.11892244077864143,0.5658864252781742,0.5,1.0,0.0,4.0
cell8,Cell-8,8,0.5,189,0.6387589522353574,0.11218692063492063,0.5265720316004369,0.4409397885636993,0.11650057034517719,0.5684067985368153,0.5,1.0,0.0,8.0
cell16,Cell-16,8,0.5,189,0.6399075898929125,0.11318654497354495,0.5267210449193676,0.4408168146169927,0.1166731374604361,0.5694172303512613,0.5,1.0,0.0,16.0
cell1,Cell-1,9,0.55,189,0.6851408072098222,0.1002477857142857,0.5848930214955365,0.41900873296061364,0.10420198257638029,0.6076105019402882,0.5500093959533574,1.0,0.0,1.0
cell4,Cell-4,9,0.55,189,0.6886472359886066,0.10965993650793648,0.57898729948067,0.41166410966722106,0.10234186762855163,0.6149345671058332,0.5500093959533574,1.0,0.0,4.0
cell8,Cell-8,9,0.55,189,0.702165082404486,0.12217364285714284,0.5799914395473432,0.4105492445477654,0.10063460642698577,0.61543215046484,0.5500093959533574,1.0,0.0,8.0
cell16,Cell-16,9,0.55,189,0.7163391884692487,0.13544910052910053,0.5808900879401483,0.4093718253440721,0.10033239700176094,0.6163323269319282,0.5500093959533574,1.0,0.0,16.0
cell2,Cell-2,10,0.6,189,0.7397392909118742,0.10483894444444442,0.6349003464674297,0.37754263043423336,0.08583017379518536,0.6591918733384874,0.6001498457487062,1.0,0.0,2.0
cell4,Cell-4,10,0.6,189,0.7478012722144448,0.11031179894179893,0.6374894732726459,0.37127891058230367,0.08456323481110666,0.6634538299822933,0.6001498457487062,1.0,0.0,4.0
cell1,Cell-1,11,0.65,189,0.7849330688179614,0.10057726719576719,0.6843558016221942,0.3516446131641272,0.0745456940913326,0.7012052674772878,0.6498501542512938,1.0,0.0,1.0
cell2,Cell-2,11,0.65,189,0.7866529841988518,0.1050911693121693,0.6815618148866825,0.34597268432536454,0.07292293146173787,0.7047282725414902,0.6498501542512938,1.0,0.0,2.0
cell4,Cell-4,11,0.65,189,0.7933299949619165,0.10965987037037037,0.6836701245915461,0.3396157652100243,0.07101787019658967,0.7083799725487119,0.6498501542512938,1.0,0.0,4.0
cell1,Cell-1,12,0.7,189,0.8199580321707514,0.10211763756613755,0.7178403946046139,0.31832677062117937,0.06133856912138596,0.7459776013616531,0.6999906040466426,1.0,0.0,1.0
cell4,Cell-4,12,0.7,189,0.8218112545832872,0.11437428571428569,0.7074369688690014,0.3048190267524982,0.05778040362413593,0.7532369027692805,0.6999906040466426,1.0,0.0,4.0
cell4,Cell-4,13,0.75,189,0.8506731534735515,0.10779522486772485,0.7428779286058267,0.2734702424116669,0.04754163348485548,0.7953424633495392,0.75,1.0,0.0,4.0
cell16,Cell-16,13,0.75,189,0.8661284602752491,0.1214508439153439,0.7446776163599054,0.27063028736621453,0.04590503942398793,0.7979948132757156,0.75,1.0,0.0,16.0
cell2,Cell-2,14,0.8,189,0.900647354881069,0.10494842063492063,0.7956989342461483,0.24544435686791538,0.03798907175265918,0.8368393220598735,0.8000093959533574,1.0,0.0,2.0
cell4,Cell-4,14,0.8,189,0.9066269312319387,0.11292866666666665,0.7936982645652719,0.23706607403795393,0.0360967185762193,0.8403486335088336,0.8000093959533574,1.0,0.0,4.0
cell8,Cell-8,14,0.8,189,0.928023359927701,0.1300361111111111,0.7979872488165898,0.23536442754366407,0.03551074342122149,0.8421490356404945,0.8000093959533574,1.0,0.0,8.0
cell1,Cell-1,15,0.85,189,0.9498782800355147,0.1014139417989418,0.8484643382365727,0.21334322132465855,0.028911764974947282,0.8765047328181998,0.8501498457487062,1.0,0.0,1.0
cell2,Cell-2,15,0.85,189,0.957429560943952,0.10697781746031744,0.8504517434836345,0.20782375881921436,0.027818794603700944,0.8795082433513863,0.8501498457487062,1.0,0.0,2.0
cell4,Cell-4,15,0.85,189,0.9695767564764729,0.11541942592592591,0.854157330550547,0.20210347539700918,0.026618164683145144,0.8817813282921201,0.8501498457487062,1.0,0.0,4.0
cell8,Cell-8,15,0.85,189,0.9850528066769639,0.13349375925925924,0.8515590474177046,0.20041715576579525,0.026179009644442718,0.883669789506014,0.8501498457487062,1.0,0.0,8.0
cell1,Cell-1,16,0.9,189,0.9909718387383422,0.10101286772486771,0.8899589710134744,0.17147787486291707,0.018999021520059528,0.9185182064298599,0.8998501542512938,1.0,0.0,1.0
cell2,Cell-2,16,0.9,189,1.0119073366715237,0.10782112433862433,0.9040862123328993,0.16738829482223577,0.018308159220155537,0.9205580237050536,0.8998501542512938,1.0,0.0,2.0
cell4,Cell-4,16,0.9,189,1.0218630799123194,0.11698761640211638,0.9048754635102031,0.16285907657368587,0.01760300126656018,0.922799356715389,0.8998501542512938,1.0,0.0,4.0
cell1,Cell-1,17,0.95,189,1.0222234053710355,0.09925449206349206,0.9229689133075435,0.12290570942349925,0.01025216573129881,0.9587106537566614,0.9499906040466426,1.0,0.0,1.0
cell2,Cell-2,17,0.95,189,1.032246283275961,0.10702062433862433,0.9252256589373365,0.11870852620316241,0.009623822396394388,0.9602253512730674,0.9499906040466426,1.0,0.0,2.0
cell4,Cell-4,17,0.95,189,1.0397969843825141,0.11355385449735449,0.9262431298851596,0.11164733468094176,0.0084779681982817,0.9623186600902093,0.9499906040466426,1.0,0.0,4.0
cell8,Cell-8,17,0.95,189,1.0739632437566733,0.13589371164021163,0.9380695321164617,0.10842902977364478,0.008027154301840117,0.9634215396548075,0.9499906040466426,1.0,0.0,8.0
cell16,Cell-16,17,0.95,189,1.0985122567787236,0.1605880476190476,0.9379242091596761,0.10599282564639687,0.007766106772044306,0.9642395118556956,0.9499906040466426,1.0,0.0,16.0
cell32,Cell-32,17,0.95,189,1.1717116773565648,0.22576485449735448,0.9459468228592103,0.1013122347051711,0.006947013120802575,0.9650601829801287,0.9499906040466426,1.0,0.0,32.0
