error_ceiling,method,method_label,interpolated_total_ms
0.5,cell1,Cell-1,0.5956765645440169
0.5,cell2,Cell-2,0.5896996726498586
0.5,cell4,Cell-4,0.577604955914749
0.5,cell8,Cell-8,0.5820676905518367
0.5,cell16,Cell-16,0.590244848261492
0.5,cell32,Cell-32,0.6213486196435142
0.45,cell1,Cell-1,0.6398468819645298
0.45,cell2,Cell-2,0.6393442402463047
0.45,cell4,Cell-4,0.6304114474564328
0.45,cell8,Cell-8,0.6298885540296718
0.45,cell16,Cell-16,0.6345687150623652
0.45,cell32,Cell-32,0.6487118203930674
0.42,cell1,Cell-1,0.6836920644035656
0.42,cell2,Cell-2,0.6848598925179459
0.42,cell4,Cell-4,0.6753397798807022
0.42,cell8,Cell-8,0.6824472441819519
0.42,cell16,Cell-16,0.6905058713753669
0.42,cell32,Cell-32,0.7179906441909382
0.4,cell1,Cell-1,0.7149380976629159
0.4,cell2,Cell-2,0.7114172914528355
0.4,cell4,Cell-4,0.7057321874418886
0.4,cell8,Cell-8,0.7183537540327193
0.4,cell16,Cell-16,0.7310260451651386
0.4,cell32,Cell-32,0.7690327435021963
0.35,cell1,Cell-1,0.7866619477430845
0.35,cell2,Cell-2,0.7806682970005228
0.35,cell4,Cell-4,0.7783984099554766
0.35,cell8,Cell-8,0.79355197030586
0.35,cell16,Cell-16,0.8112926724514236
0.35,cell32,Cell-32,0.8472674879673594
0.3,cell1,Cell-1,0.8381729602263858
0.3,cell2,Cell-2,0.8348164990194374
0.3,cell4,Cell-4,0.8262479900358618
0.3,cell8,Cell-8,0.8444627416846224
0.3,cell16,Cell-16,0.8683870959597921
0.3,cell32,Cell-32,0.9063372805376082
0.25,cell1,Cell-1,0.9112468126543931
0.25,cell2,Cell-2,0.8943361643563514
0.25,cell4,Cell-4,0.8867472841707978
0.25,cell8,Cell-8,0.8996399731508715
0.25,cell16,Cell-16,0.9137070643678239
0.25,cell32,Cell-32,0.9531687831895382
0.2,cell1,Cell-1,0.962975519044172
0.2,cell2,Cell-2,0.9679703322414352
0.2,cell4,Cell-4,0.9723792709306376
0.2,cell8,Cell-8,0.9857004948757804
0.2,cell16,Cell-16,1.0069198881175756
0.2,cell32,Cell-32,1.0706468661181618
0.15,cell1,Cell-1,1.0047908075105763
0.15,cell2,Cell-2,1.0191723588761095
0.15,cell4,Cell-4,1.0263662161526448
0.15,cell8,Cell-8,1.0521742794016191
0.15,cell16,Cell-16,1.093555577376392
0.15,cell32,Cell-32,1.1336931302643045
