model,error_ceiling,method,method_label,budget_fraction,actual_total_ms,achieved_error
qwen05,0.5,cell8,Cell-8,0.45,0.4720146270900132,0.4694178362805692
qwen05,0.45,cell16,Cell-16,0.5,0.48923470638409394,0.43965785824767656
qwen05,0.42,cell8,Cell-8,0.55,0.5279496905916806,0.4083367906776922
qwen05,0.4,cell2,Cell-2,0.6,0.5455517304280704,0.39762368447901236
qwen05,0.35,cell32,Cell-32,0.65,0.5964480325983943,0.34575673974754784
qwen05,0.3,cell8,Cell-8,0.75,0.60471524591734,0.29053667476696393
qwen05,0.25,cell8,Cell-8,0.8,0.6632184680302663,0.24976621373068716
qwen05,0.2,cell1,Cell-1,0.9,0.6961574847612854,0.18131688163645324
qwen05,0.15,cell1,Cell-1,0.95,0.7367062231719627,0.13070852916303366
smol360,0.5,cell1,Cell-1,0.45,0.37165433324861147,0.4793203954422285
smol360,0.45,cell4,Cell-4,0.5,0.38908241269490923,0.4416005617332837
smol360,0.42,cell2,Cell-2,0.55,0.40231420662042255,0.4147561438499935
smol360,0.4,cell2,Cell-2,0.6,0.4173817539208418,0.3697609751233979
smol360,0.35,cell4,Cell-4,0.65,0.4324298014673827,0.33400337681883857
smol360,0.3,cell4,Cell-4,0.7,0.44627368232004794,0.2982469947919959
smol360,0.25,cell2,Cell-2,0.8,0.4661594445318059,0.243520358666068
smol360,0.2,cell1,Cell-1,0.9,0.5084271030032729,0.18071909035955153
smol360,0.15,cell1,Cell-1,0.95,0.5290180236415617,0.13419352108169166
tiny11,0.5,cell2,Cell-2,0.45,0.954389762019199,0.49010273814201355
tiny11,0.45,cell16,Cell-16,0.5,1.0226162457543337,0.4438012351710645
tiny11,0.42,cell1,Cell-1,0.55,1.1172301438024554,0.4099959224935562
tiny11,0.4,cell4,Cell-4,0.55,1.1350398265418817,0.3993563845990196
tiny11,0.35,cell1,Cell-1,0.65,1.3484343649821802,0.3365093114830199
tiny11,0.3,cell4,Cell-4,0.7,1.41339427954879,0.29217402150647503
tiny11,0.25,cell2,Cell-2,0.8,1.5739027863773485,0.22563910323180375
tiny11,0.2,cell1,Cell-1,0.85,1.6708548563155239,0.19289208230902513
tiny11,0.15,cell2,Cell-2,0.95,1.7986262858415314,0.10181349249083603
