error_ceiling,family,feasible,method,method_label,budget_fraction,actual_total_ms,achieved_error
0.5,paper,True,paper,Paper,0.4,0.7758096664365258,0.47238317254201445
0.5,cell8,True,cell8,Cell-8,0.45,0.6063689046872301,0.474022934597636
0.5,best_cell,True,cell2,Cell-2,0.45,0.6036503994254186,0.48543669155271596
0.45,paper,True,paper,Paper,0.45,0.8074182222738205,0.4451630905112892
0.45,cell8,True,cell8,Cell-8,0.5,0.6387589522353574,0.4409397885636993
0.45,best_cell,True,cell4,Cell-4,0.5,0.6350679785274204,0.44522655846935416
0.42,paper,True,paper,Paper,0.5,0.8420936851199061,0.4138078459947513
0.42,cell8,True,cell8,Cell-8,0.55,0.702165082404486,0.4105492445477654
0.42,best_cell,True,cell1,Cell-1,0.55,0.6851408072098222,0.41900873296061364
0.4,paper,True,paper,Paper,0.55,0.8998858097560526,0.3798140349191806
0.4,cell8,True,cell8,Cell-8,0.6,0.7536432038202165,0.3770038552690672
0.4,best_cell,True,cell2,Cell-2,0.6,0.7397392909118742,0.37754263043423336
0.35,paper,True,paper,Paper,0.65,1.00130078621569,0.32310674008888696
0.35,cell8,True,cell8,Cell-8,0.65,0.8025794261922019,0.34389166507337776
0.35,best_cell,True,cell2,Cell-2,0.65,0.7866529841988518,0.34597268432536454
0.3,paper,True,paper,Paper,0.7,1.0494418918631163,0.2939420915873987
0.3,cell8,True,cell8,Cell-8,0.75,0.8533569285365598,0.27386532862616514
0.3,best_cell,True,cell4,Cell-4,0.75,0.8506731534735515,0.2734702424116669
0.25,paper,True,paper,Paper,0.8,1.15093937809788,0.2238820696473811
0.25,cell8,True,cell8,Cell-8,0.8,0.928023359927701,0.23536442754366407
0.25,best_cell,True,cell2,Cell-2,0.8,0.900647354881069,0.24544435686791538
0.2,paper,True,paper,Paper,0.85,1.2065837616333144,0.1927976546754873
0.2,cell8,True,cell8,Cell-8,0.9,1.0464881088346139,0.16084859397129286
0.2,best_cell,True,cell1,Cell-1,0.9,0.9909718387383422,0.17147787486291707
0.15,paper,True,paper,Paper,0.95,1.3226917938091225,0.10231865124645141
0.15,cell8,True,cell8,Cell-8,0.95,1.0739632437566733,0.10842902977364478
0.15,best_cell,True,cell1,Cell-1,0.95,1.0222234053710355,0.12290570942349925
