kl_ceiling,family,feasible,method,method_label,budget_fraction,projection_path_ms,achieved_kl
12.0,paper,True,paper,Paper,0.15,0.5766750368858525,11.60441255569458
12.0,best_s,True,c2_l1,C2 · 1s,0.2,0.3995244444792876,11.317545466952854
12.0,best_gt_s,True,c2_l2,C2 · 2s,0.15,0.3456332698616846,11.820993847317165
10.0,paper,True,paper,Paper,0.5,0.8448409417795864,9.760278330908882
10.0,best_s,True,c2_l1,C2 · 1s,0.6,0.73870068532242,9.776431984371609
10.0,best_gt_s,True,c1_l3,C1 · 3s,0.6,0.728340841521195,9.55406575732761
8.0,paper,True,paper,Paper,0.7,1.0460283229814704,6.2026121616363525
8.0,best_s,True,c1_l1,C1 · 1s,0.65,0.7822758678014949,7.788967609405518
8.0,best_gt_s,True,c2_l2,C2 · 2s,0.65,0.7865339023299811,7.858606550428602
6.0,paper,True,paper,Paper,0.75,1.1053015318766704,4.977282285690308
6.0,best_s,True,c2_l1,C2 · 1s,0.75,0.8407519942843775,5.874280717637804
6.0,best_gt_s,True,c8_l2,C8 · 2s,0.75,0.8446029366967215,5.984268691804674
4.0,paper,True,paper,Paper,0.85,1.2171819951300207,2.9082143041822643
4.0,best_s,True,c2_l1,C2 · 1s,0.85,0.9655653094741922,3.704810619354248
4.0,best_gt_s,True,c1_l4,C1 · 4s,0.85,0.9583793968852705,3.085794117715624
2.0,paper,True,paper,Paper,0.95,1.3221201588476668,1.0912665377060573
2.0,best_s,True,c2_l1,C2 · 1s,0.95,1.028416150843513,0.5475041816631953
2.0,best_gt_s,True,c1_l3,C1 · 3s,0.9,0.9848108574653558,1.9341024160385132
1.0,paper,False,,,,,
1.0,best_s,True,c2_l1,C2 · 1s,0.95,1.028416150843513,0.5475041816631953
1.0,best_gt_s,True,c1_l3,C1 · 3s,0.95,1.0279320028079342,0.6611869550413556
