method,method_label,budget_index,budget_fraction,cases,dense_to_sparse_kl,top1_agreement,nll_delta,logit_relative_l2_error,selected_fraction,fallback_calls,cell_count,length_factor,projection_path_ms
c1_l1,C1 · 1s,0,0.1,9,14.49552387661404,0.0,12.924932797749838,1.2635281085968018,0.10014984574870617,0,1.0,1.0,0.30655409512277315
c1_l1,C1 · 1s,1,0.15,9,14.097130881415474,0.0014245014430747998,12.573583390977648,1.5115827189551458,0.14985015425129372,0,1.0,1.0,0.3573297248293937
c1_l1,C1 · 1s,2,0.2,9,15.045779758029514,0.005952381011512544,13.76084762149387,1.915258268515269,0.19999060404664257,0,1.0,1.0,0.3949300556300421
c1_l1,C1 · 1s,3,0.25,9,12.880446328057182,0.005214545668827155,11.54836474524604,1.6301329996850755,0.25,0,1.0,1.0,0.44047134913398256
c1_l1,C1 · 1s,4,0.3,9,13.133052931891548,0.005494505580928578,11.938399420844185,1.6515792740715876,0.30000939595335735,0,1.0,1.0,0.487168944634857
c1_l1,C1 · 1s,5,0.35,9,11.34723949432373,0.006224280016289811,10.158026960160997,1.320727076795366,0.3501498457487061,0,1.0,1.0,0.526708928592848
c1_l1,C1 · 1s,6,0.4,9,12.266626199086508,0.009908453664845877,11.153278032938639,1.5925648146205478,0.3998501542512938,0,1.0,1.0,0.5682762856670933
c1_l1,C1 · 1s,7,0.45,9,13.041288905673557,0.007059450778696255,11.89489057328966,1.5138594839307997,0.4499906040466426,0,1.0,1.0,0.5953599204820514
c1_l1,C1 · 1s,8,0.5,9,10.001515176561144,0.0188514310866594,8.74906783633762,1.3106243941518996,0.5,0,1.0,1.0,0.6270909707275986
c1_l1,C1 · 1s,9,0.55,9,11.626702361636692,0.021337213977757386,10.665076149834526,1.5194686783684626,0.5500093959533574,0,1.0,1.0,0.6899346745574573
c1_l1,C1 · 1s,10,0.6,9,10.045233408610025,0.027442505583167045,9.017148070865208,1.253073361184862,0.6001498457487062,0,1.0,1.0,0.7467117087751409
c1_l1,C1 · 1s,11,0.65,9,7.788967609405518,0.04818085260275336,6.8228477107154,1.145816703637441,0.6498501542512938,0,1.0,1.0,0.7822758678014949
c1_l1,C1 · 1s,12,0.7,9,7.09538655810886,0.08672209197862275,6.111533959706624,0.9933417439460754,0.6999906040466426,0,1.0,1.0,0.8174240295331568
c1_l1,C1 · 1s,13,0.75,9,6.999083836873372,0.08179832684497035,6.133824004067315,1.055808961391449,0.75,0,1.0,1.0,0.8457220952634411
