method,method_label,budget_index,budget_fraction,cases,actual_total_ms,selector_ms,nonselector_ms,relative_l2_error,cosine_error,importance_retention,selected_fraction,row_match_rate,fallback_rate,cell_count,length_factor
c1_l1,C1 · 1s,0,0.1,189,0.30655409512277315,0.09277256878306878,0.21378152633970435,0.7822972870377637,0.3932216214755225,0.1389282820401368,0.10014984574870615,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,1,0.15,189,0.3573297248293937,0.09363130952380952,0.26369841530558413,0.7294601580453297,0.33071201440518494,0.19505181435554741,0.1498501542512938,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,2,0.2,189,0.3949300556300421,0.09506685185185185,0.29986320377819026,0.6860420031167528,0.2893002686046418,0.24994290994588655,0.19999060404664257,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,3,0.25,189,0.44047134913398256,0.09687672751322751,0.343594621620755,0.6392434468128221,0.24334770787960633,0.3064271489148417,0.25,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,4,0.3,189,0.487168944634857,0.09921719312169311,0.3879517515131638,0.5996124459203904,0.21242456082944514,0.35837113983416685,0.3000093959533574,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,5,0.35,189,0.526708928592848,0.09952348677248675,0.4271854418203613,0.5595351460650957,0.18358497455637288,0.4112371712449997,0.3501498457487061,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,6,0.4,189,0.5682762856670933,0.09866055026455026,0.4696157354025431,0.5298076647989176,0.16393335849519755,0.45940666397412616,0.3998501542512938,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,7,0.45,189,0.5953599204820514,0.09959879894179893,0.4957611215402525,0.4922486434212674,0.14137471573693408,0.5087864539295277,0.4499906040466426,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,8,0.5,189,0.6270909707275986,0.10023085449735449,0.5268601162302441,0.45322658658697806,0.12136162841130813,0.5595130570351131,0.5,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,9,0.55,189,0.6899346745574573,0.1010879947089947,0.5888466798484625,0.41900873296061364,0.10420198257638029,0.6076105019402882,0.5500093959533574,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,10,0.6,189,0.7467117087751409,0.10243897883597883,0.6442727299391621,0.383287300897772,0.08799605047892006,0.6557422873204347,0.6001498457487062,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,11,0.65,189,0.7822758678014949,0.10205440476190475,0.6802214630395902,0.3516446131641272,0.0745456940913326,0.7012052674772878,0.6498501542512938,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,12,0.7,189,0.8174240295331568,0.10393408994708993,0.713489939586067,0.31832677062117937,0.06133856912138596,0.7459776013616531,0.6999906040466426,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,13,0.75,189,0.8457220952634411,0.10357719841269838,0.7421448968507427,0.28270939870850825,0.049611070168712114,0.7901361685581308,0.75,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,14,0.8,189,0.8856785985673173,0.10246788359788359,0.7832107149694338,0.25184029790636875,0.039542024097745335,0.8334334539988685,0.8000093959533574,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,15,0.85,189,0.9528519182645531,0.10290688888888888,0.8499450293756642,0.21334322132465855,0.028911764974947282,0.8765047328181998,0.8501498457487062,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,16,0.9,189,0.991891701367523,0.10417725661375661,0.8877144447537664,0.17147787486291707,0.018999021520059528,0.9185182064298599,0.8998501542512938,1.0,0.0,1.0,1.0
c1_l1,C1 · 1s,17,0.95,189,1.0352804389798895,0.10112266666666664,0.9341577723132227,0.12290570942349925,0.01025216573129881,0.9587106537566614,0.9499906040466426,1.0,0.0,1.0,1.0
c1_l2,C1 · 2s,0,0.1,189,0.30397457934034405,0.09108325661375659,0.21289132272658742,0.7929800740940861,0.4031458039763113,0.13562021747468006,0.10014984574870615,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,1,0.15,189,0.3450297354007347,0.09296712169312168,0.252062613707613,0.7461592604322408,0.344548985440895,0.1908425383624576,0.1498501542512938,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,2,0.2,189,0.38178662176477396,0.09239500529100529,0.2893916164737687,0.7073542732134382,0.30322720480974386,0.24474122781286792,0.19999060404664257,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,3,0.25,189,0.42957755814003534,0.09463185449735449,0.33494570364268084,0.653095678135595,0.25155891943230196,0.2987607941425666,0.25,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,4,0.3,189,0.48159169865109935,0.09495988095238093,0.3866318176987184,0.6126698176893923,0.22109045332701746,0.3483357800062371,0.3000093959533574,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,5,0.35,189,0.533586957449445,0.09745191005291003,0.43613504739653497,0.5705565771078149,0.19082691145952413,0.40352525502916364,0.3501498457487061,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,6,0.4,189,0.5549930262803631,0.09873616402116402,0.45625686225919904,0.5380891627045693,0.168916244986196,0.45324674705979684,0.3998501542512938,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,7,0.45,189,0.5971522564136929,0.09983603174603173,0.49731622466766107,0.5026623054934793,0.14781570592254553,0.5015745394759707,0.4499906040466426,1.0,0.0,1.0,2.0
c1_l2,C1 · 2s,8,0.5,189,0.6328117008246918,0.09925957407407406,0.5335521267506178,0.47020494126808393,0.12826225839594682,0.5477998654047648,0.5,1.0,0.0,1.0,2.0
