error_ceiling,family,feasible,method,method_label,cell_count,length_factor,interpolated_total_ms
0.15,best_s,True,c1_l1,C1 · 1s,1,1,1.0110775430624064
0.15,best_gt_s,True,c1_l3,C1 · 3s,1,3,1.0100441422844737
0.15,best_all,True,c1_l3,C1 · 3s,1,3,1.0100441422844737
0.2,best_s,True,c1_l1,C1 · 1s,1,1,0.965294582912883
0.2,best_gt_s,True,c1_l2,C1 · 2s,1,2,0.9735212132798508
0.2,best_all,True,c1_l1,C1 · 1s,1,1,0.965294582912883
0.25,best_s,True,c2_l1,C2 · 1s,2,1,0.8850818391190717
0.25,best_gt_s,True,c4_l2,C4 · 2s,4,2,0.8966640317501234
0.25,best_all,True,c2_l1,C2 · 1s,2,1,0.8850818391190717
0.3,best_s,True,c2_l1,C2 · 1s,2,1,0.8218253044397343
0.3,best_gt_s,True,c2_l3,C2 · 3s,2,3,0.8322701108508056
0.3,best_all,True,c2_l1,C2 · 1s,2,1,0.8218253044397343
0.35,best_s,True,c4_l1,C4 · 1s,4,1,0.7719580055921632
0.35,best_gt_s,True,c4_l2,C4 · 2s,4,2,0.7842429008953269
0.35,best_all,True,c4_l1,C4 · 1s,4,1,0.7719580055921632
0.4,best_s,True,c2_l1,C2 · 1s,2,1,0.7089597685678682
0.4,best_gt_s,True,c4_l2,C4 · 2s,4,2,0.7260525635124976
0.4,best_all,True,c2_l1,C2 · 1s,2,1,0.7089597685678682
0.42,best_s,True,c2_l1,C2 · 1s,2,1,0.6819613396420926
0.42,best_gt_s,True,c8_l2,C8 · 2s,8,2,0.6958694411976016
0.42,best_all,True,c2_l1,C2 · 1s,2,1,0.6819613396420926
0.45,best_s,True,c8_l1,C8 · 1s,8,1,0.6309695820334698
0.45,best_gt_s,True,c8_l2,C8 · 2s,8,2,0.6405839946744201
0.45,best_all,True,c8_l1,C8 · 1s,8,1,0.6309695820334698
0.5,best_s,True,c8_l1,C8 · 1s,8,1,0.5809501353077604
0.5,best_gt_s,True,c4_l3,C4 · 3s,4,3,0.5905423291706938
0.5,best_all,True,c8_l1,C8 · 1s,8,1,0.5809501353077604
