error_ceiling,family,feasible,method,method_label,cell_count,length_factor,budget_fraction,actual_total_ms,achieved_error
0.5,paper,True,paper,Paper,,,0.4,0.7751553969614159,0.47238317254201445
0.5,best_s,True,c1_l1,C1 · 1s,1.0,1.0,0.45,0.5953599204820514,0.4922486434212674
0.5,best_gt_s,True,c4_l3,C4 · 3s,4.0,3.0,0.45,0.5923473623458992,0.4977114139489396
0.5,best_all,True,c4_l3,C4 · 3s,4.0,3.0,0.45,0.5923473623458992,0.4977114139489396
0.45,paper,True,paper,Paper,,,0.45,0.8193746322111863,0.4451630905112892
0.45,best_s,True,c8_l1,C8 · 1s,8.0,1.0,0.5,0.637566055334304,0.4409397885636993
0.45,best_gt_s,True,c2_l3,C2 · 3s,2.0,3.0,0.55,0.676891624296551,0.4358213765980311
0.45,best_all,True,c8_l1,C8 · 1s,8.0,1.0,0.5,0.637566055334304,0.4409397885636993
0.42,paper,True,paper,Paper,,,0.5,0.8448409417795864,0.4138078459947513
0.42,best_s,True,c2_l1,C2 · 1s,2.0,1.0,0.55,0.6887178149810053,0.415284701416062
0.42,best_gt_s,True,c8_l2,C8 · 2s,8.0,2.0,0.55,0.699881285565223,0.41782301964445245
0.42,best_all,True,c2_l1,C2 · 1s,2.0,1.0,0.55,0.6887178149810053,0.415284701416062
0.4,paper,True,paper,Paper,,,0.55,0.9100629259056152,0.3798140349191806
0.4,best_s,True,c2_l1,C2 · 1s,2.0,1.0,0.6,0.73870068532242,0.37754263043423336
0.4,best_gt_s,True,c4_l3,C4 · 3s,4.0,3.0,0.6,0.7369369838392028,0.3987767296897435
0.4,best_all,True,c4_l3,C4 · 3s,4.0,3.0,0.6,0.7369369838392028,0.3987767296897435
0.35,paper,True,paper,Paper,,,0.65,1.0080141511368619,0.32310674008888696
0.35,best_s,True,c4_l1,C4 · 1s,4.0,1.0,0.65,0.7850286561793556,0.3396157652100243
0.35,best_gt_s,True,c1_l4,C1 · 4s,1.0,4.0,0.7,0.8065072039242532,0.3440654374801963
0.35,best_all,True,c4_l1,C4 · 1s,4.0,1.0,0.65,0.7850286561793556,0.3396157652100243
0.3,paper,True,paper,Paper,,,0.7,1.0460283229814704,0.2939420915873987
0.3,best_s,True,c2_l1,C2 · 1s,2.0,1.0,0.75,0.8407519942843775,0.27693108787819265
0.3,best_gt_s,True,c2_l3,C2 · 3s,2.0,3.0,0.75,0.8339723835492238,0.2941313648138136
0.3,best_all,True,c2_l3,C2 · 3s,2.0,3.0,0.75,0.8339723835492238,0.2941313648138136
0.25,paper,True,paper,Paper,,,0.8,1.161560497504411,0.2238820696473811
0.25,best_s,True,c2_l1,C2 · 1s,2.0,1.0,0.8,0.8925806432550561,0.24544435686791538
0.25,best_gt_s,True,c4_l2,C4 · 2s,4.0,2.0,0.8,0.8996374608264556,0.24786568603049663
0.25,best_all,True,c2_l1,C2 · 1s,2.0,1.0,0.8,0.8925806432550561,0.24544435686791538
0.2,paper,True,paper,Paper,,,0.85,1.2171819951300207,0.1927976546754873
0.2,best_s,True,c1_l1,C1 · 1s,1.0,1.0,0.9,0.991891701367523,0.17147787486291707
0.2,best_gt_s,True,c1_l3,C1 · 3s,1.0,3.0,0.9,0.9848108574653558,0.18478808838938157
0.2,best_all,True,c1_l3,C1 · 3s,1.0,3.0,0.9,0.9848108574653558,0.18478808838938157
0.15,paper,True,paper,Paper,,,0.95,1.3221201588476668,0.10231865124645141
0.15,best_s,True,c2_l1,C2 · 1s,2.0,1.0,0.95,1.028416150843513,0.11870852620316241
0.15,best_gt_s,True,c1_l3,C1 · 3s,1.0,3.0,0.95,1.0279320028079342,0.12533874493757524
0.15,best_all,True,c1_l3,C1 · 3s,1.0,3.0,0.95,1.0279320028079342,0.12533874493757524
