case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.330228
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.281977
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,0,0,0.099907
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,0,1,0.081463
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l2,0,0,0.093745
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l2,0,1,0.077085
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l3,0,0,0.078677
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l3,0,1,0.075932
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l4,0,0,0.08016
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l4,0,1,0.08562
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l1,0,0,0.079138
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l1,0,1,0.075682
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l2,0,0,0.082134
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l2,0,1,0.078066
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l3,0,0,0.080762
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l3,0,1,0.076172
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l4,0,0,0.078567
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c2_l4,0,1,0.074319
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l1,0,0,0.07989
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l1,0,1,0.074459
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l2,0,0,0.079508
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l2,0,1,0.075902
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l3,0,0,0.077936
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l3,0,1,0.07436
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l4,0,0,0.079609
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c4_l4,0,1,0.07507
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l1,0,0,0.078016
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l1,0,1,0.0749
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l2,0,0,0.083446
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l2,0,1,0.077625
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l3,0,0,0.088185
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l3,0,1,0.078768
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l4,0,0,0.078758
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c8_l4,0,1,0.075501
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.23028
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.223278
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,1,0,0.084618
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l1,1,1,0.079398
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l2,1,0,0.091622
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l2,1,1,0.086852
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,c1_l3,1,0,0.086452
