error_ceiling,method,method_label,feasible,budget_fraction,actual_total_ms,achieved_error,selected_fraction,row_match_rate
0.5,paper,Paper,True,0.4,0.8026574868542655,0.47238317254201445,0.3987857669233961,0.5238095238095238
0.5,paper_s,Paper-s,True,0.5,0.6972212166920746,0.48461025268351904,0.4240459610877844,0.14285714285714285
0.5,c1_l1,Cell-1,True,0.45,0.6057590502841453,0.4922486434212674,0.4499906040466426,1.0
0.45,paper,Paper,True,0.45,0.8371050661396943,0.4451630905112892,0.44713818840933506,0.6666666666666666
0.45,paper_s,Paper-s,True,0.6,0.7800515847247353,0.44423397571321516,0.48737621668483977,0.14285714285714285
0.45,c1_l1,Cell-1,True,0.55,0.6953052566968128,0.41900873296061364,0.5500093959533574,1.0
0.42,paper,Paper,True,0.5,0.8736515976754584,0.4138078459947513,0.49998041979949875,0.9523809523809523
0.42,paper_s,Paper-s,True,0.7,0.8645553972010344,0.39993116320677535,0.5656308359169027,0.12169312169312169
0.42,c1_l1,Cell-1,True,0.55,0.6953052566968128,0.41900873296061364,0.5500093959533574,1.0
0.4,paper,Paper,True,0.55,0.9263342063695097,0.3798140349191806,0.5481933323568662,0.6666666666666666
0.4,paper_s,Paper-s,True,0.7,0.8645553972010344,0.39993116320677535,0.5656308359169027,0.12169312169312169
0.4,c1_l1,Cell-1,True,0.6,0.7447967035127377,0.383287300897772,0.6001498457487062,1.0
0.35,paper,Paper,True,0.65,1.0254174524006903,0.32310674008888696,0.6488053471238974,0.5714285714285714
0.35,paper_s,Paper-s,True,0.8,0.9204648309688006,0.3401131884111141,0.6590929330375602,0.164021164021164
0.35,c1_l1,Cell-1,True,0.7,0.8286764845917763,0.31832677062117937,0.6999906040466426,1.0
0.3,paper,Paper,True,0.7,1.0655951407363695,0.2939420915873987,0.6971577686098364,0.6666666666666666
0.3,paper_s,Paper-s,False,,,,,
0.3,c1_l1,Cell-1,True,0.75,0.8527928066362249,0.28270939870850825,0.75,1.0
0.25,paper,Paper,True,0.8,1.182607436364798,0.2238820696473811,0.7982129125573674,0.6666666666666666
0.25,paper_s,Paper-s,False,,,,,
0.25,c1_l1,Cell-1,True,0.85,0.9642163251570668,0.21334322132465855,0.8501498457487062,1.0
0.2,paper,Paper,True,0.85,1.2349053385871094,0.1927976546754873,0.8465141585192689,0.5714285714285714
0.2,paper_s,Paper-s,False,,,,,
0.2,c1_l1,Cell-1,True,0.9,1.004125852118531,0.17147787486291707,0.8998501542512938,1.0
0.15,paper,Paper,True,0.95,1.3326797617533535,0.10231865124645141,0.9471773488103374,0.6666666666666666
0.15,paper_s,Paper-s,False,,,,,
0.15,c1_l1,Cell-1,True,0.95,1.0335012038393616,0.12290570942349925,0.9499906040466426,1.0
