kl_ceiling,method,method_label,feasible,actual_total_ms,achieved_kl,budget_fraction
12.0,paper,Paper |x|,True,0.6095793994241675,11.60441255569458,0.15
12.0,cell1_abs,Cell-1 |x|,True,0.5362299551373606,11.34723949432373,0.35
12.0,cell1_x2,Cell-1 X²,True,0.38905177005900116,11.712644894917807,0.15
12.0,wcell1,WCell-1 X²·W²,True,0.6561895369557168,11.67445633146498,0.5
10.0,paper,Paper |x|,True,0.866243785853121,9.760278330908882,0.5
10.0,cell1_abs,Cell-1 |x|,True,0.7992433863200836,7.788967609405518,0.65
10.0,cell1_x2,Cell-1 X²,True,0.750425391768696,8.927787197960747,0.6
10.0,wcell1,WCell-1 X²·W²,True,0.7553732831765892,8.995937400394016,0.6
8.0,paper,Paper |x|,True,1.0723705616363606,6.2026121616363525,0.7
8.0,cell1_abs,Cell-1 |x|,True,0.7992433863200836,7.788967609405518,0.65
8.0,cell1_x2,Cell-1 X²,True,0.8364232592866748,7.088988039228651,0.7
8.0,wcell1,WCell-1 X²·W²,True,0.8003793147253472,7.916980160607232,0.65
6.0,paper,Paper |x|,True,1.1312144838451084,4.977282285690308,0.75
6.0,cell1_abs,Cell-1 |x|,True,0.9139453998588434,5.184104998906453,0.8
6.0,cell1_x2,Cell-1 X²,True,0.9245735745272616,5.083514014879863,0.8
6.0,wcell1,WCell-1 X²·W²,True,0.8680561323394193,5.571691804462009,0.75
4.0,paper,Paper |x|,True,1.2470963201523921,2.9082143041822643,0.85
4.0,cell1_abs,Cell-1 |x|,True,1.027379338984552,2.6712274187140994,0.9
4.0,cell1_x2,Cell-1 X²,True,0.9835040419691928,3.7595287362734475,0.85
4.0,wcell1,WCell-1 X²·W²,True,1.0050690027656755,3.3826513157950506,0.85
2.0,paper,Paper |x|,True,1.3599639659422877,1.0912665377060573,0.95
2.0,cell1_abs,Cell-1 |x|,True,1.044500606349803,0.6121034158600701,0.95
2.0,cell1_x2,Cell-1 X²,True,1.0397116352600486,0.585207344757186,0.95
2.0,wcell1,WCell-1 X²·W²,True,1.0304660772845708,0.5885870324240791,0.95
1.0,paper,Paper |x|,False,,,
1.0,cell1_abs,Cell-1 |x|,True,1.044500606349803,0.6121034158600701,0.95
1.0,cell1_x2,Cell-1 X²,True,1.0397116352600486,0.585207344757186,0.95
1.0,wcell1,WCell-1 X²·W²,True,1.0304660772845708,0.5885870324240791,0.95
